split_seed,horizon,N_model_raw_rmse,N_model_raw_bias,N_component_clipped_rmse,N_component_clipped_bias,N_aligned_rmse,N_aligned_bias,current_OSI_rmse,O_N_all_OSI_rmse,O_N_all_change_pct,O_N_source_1_OSI_rmse,O_N_source_1_change_pct,O_N_source_6_OSI_rmse,O_N_source_6_change_pct,O_N_source_24_OSI_rmse,O_N_source_24_change_pct,O_N_source_48_OSI_rmse,O_N_source_48_change_pct,O_N_partial_0.25_OSI_rmse,O_N_partial_0.25_change_pct,O_N_partial_0.5_OSI_rmse,O_N_partial_0.5_change_pct,O_P_all_OSI_rmse,O_P_all_change_pct,O_D_all_OSI_rmse,O_D_all_change_pct,O_R_all_OSI_rmse,O_R_all_change_pct,O_all_components_OSI_rmse,O_all_components_change_pct,A_N_zero_OSI_rmse,A_N_zero_change_pct,A_N71_OSI_rmse,A_N71_change_pct
42,1,0.004302055954769182,7.3550441095002345e-06,0.00429948761942347,3.6252860896916266e-05,0.00428668099364763,4.198037871130571e-05,0.010991492021847564,0.010328220575704953,-6.034407747594594,0.010631980658770078,-3.2708149390718977,0.010844552860845845,-1.3368445403922569,0.010870580018467775,-1.1000508678844945,0.010915347269489714,-0.6927608390789763,0.010809691268514759,-1.6540134221217917,0.010638273902829537,-3.213559344954653,0.004430000270395721,-59.69609711229103,0.007681352347426431,-30.11547174707161,0.011135478305106273,1.3099794183766056,0.00020993161110238032,-98.09005355519429,0.01102630514444295,0.31672790669536877,0.01099497392022154,0.031678123106981815
42,6,0.003765900863468105,5.1531428453020714e-05,0.003764674357115683,6.758078480495541e-05,0.0037119168268373607,5.109041958434969e-05,0.01007974033020953,0.00957312315383046,-5.026093528031783,0.00991172251283927,-1.6668863667717804,0.009913442513547324,-1.649822428101666,0.009942937358110714,-1.3572073051208555,0.009993629780880134,-0.8542933300703992,0.009939267938920453,-1.3936112110752852,0.009807842639258716,-2.6974672168480596,0.004164376576653173,-58.685676017145894,0.006766057709418167,-32.8746824048639,0.010232619260415863,1.5166951250534355,0.00021116802853844054,-97.9050251135383,0.010103792975413965,0.2386236591070512,0.010173001976071735,0.9252385756674197
42,24,0.0037968080880991526,4.376861976768117e-05,0.003795218919999953,6.412097927692928e-05,0.003751278596995849,5.1526001984498125e-05,0.008492701524253245,0.0078622316215324,-7.423667262064559,0.008492701524253245,0.0,0.008492701524253245,0.0,0.0078622316215324,-7.423667262064559,0.008492701524253245,0.0,0.008319072068195191,-2.0444549424256553,0.008155875275736843,-3.9660671878612663,0.0033134518837399695,-60.98471288226136,0.006085619034365148,-28.342954041349632,0.008602541938576598,1.2933506965913555,0.00021418260597984689,-97.47803916847673,0.008508062226933039,0.18086945168067636,0.008749423485896454,3.022853928282654
42,48,0.003480128171274755,3.936141662041916e-06,0.0034787655866815458,1.9492325763659062e-05,0.00345547652882615,5.040933230613442e-05,0.007691202257793633,0.007102025629042057,-7.660397022514298,0.007691202257793633,0.0,0.007691202257793633,0.0,0.007691202257793633,0.0,0.007102025629042057,-7.660397022514298,0.007529553237564589,-2.1017392965481108,0.007376871187708337,-4.086891223888678,0.0030135626395691017,-60.818054985936634,0.005510402195579241,-28.354475530851474,0.007788898932234142,1.2702393093551922,0.00021447908103031774,-97.21137120255833,0.007719109347741434,0.36284431240281023,0.007970295207393285,3.6287298168091064
20260917,1,0.004349912028705359,5.367892062741444e-06,0.004346803010606603,3.8494471188136246e-05,0.004313264113901596,2.5434641999884916e-05,0.011279784035266497,0.010616463248978617,-5.880616013693107,0.010917294901713684,-3.213617675830349,0.011133305262136284,-1.2985955464417054,0.011161299195173006,-1.0504176296553758,0.011203970988903203,-0.6721143430252097,0.011098158027951641,-1.610190467716388,0.010926736049367407,-3.129917955833883,0.004722313210301397,-58.13471964058019,0.00774995281005424,-31.293429148786544,0.01142632839209005,1.299176973294669,0.00020993161110238032,-98.13886852402472,0.011307893212634972,0.24919960595513047,0.01126386789365875,-0.14110324770389981
20260917,6,0.003778670424714263,1.8427766013185024e-05,0.0037775079961995988,3.520722742316335e-05,0.003722295245166543,3.645460307810369e-05,0.0103282666639301,0.009825868973015238,-4.864298214427487,0.010161714844462419,-1.61258248733388,0.010162238910212834,-1.6075083953543845,0.010194009326384992,-1.2999019285005464,0.010242400637926743,-0.8313691812705581,0.010189087721156072,-1.3475537309671548,0.010058719335897926,-2.6098021749721645,0.0044078278031136585,-57.322676238527734,0.006806245037374597,-34.100800658600605,0.010482707603390463,1.495322927706022,0.00021116802853844054,-97.95543593702986,0.010349904102103673,0.2094972842746179,0.010397798730690577,0.6732210643176861
20260917,24,0.00378255998007497,1.3262094237012934e-05,0.0037804380068255225,3.5268656421078526e-05,0.0037598314359806534,3.746168604014284e-05,0.008710411518259539,0.008081026496354561,-7.2256634555738835,0.008710411518259539,0.0,0.008710411518259539,0.0,0.008081026496354561,-7.2256634555738835,0.008710411518259539,0.0,0.008538050489451247,-1.9787931769580935,0.008375105330219772,-3.849487332910362,0.0034108116953488555,-60.8421291210087,0.006196584043636164,-28.860031117400897,0.008821417245920553,1.2744027928911716,0.00021418260597984689,-97.5410736274531,0.008725881210862565,0.17760002005182685,0.008921149061921211,2.4193752869184904
20260917,48,0.0034879412610651487,1.241879266865204e-06,0.0034856918378234156,2.5672296964800357e-05,0.003472703828474565,4.059161133199261e-05,0.007895792270846023,0.007305396228616966,-7.477350238924119,0.007895792270846023,0.0,0.007895792270846023,0.0,0.007895792270846023,0.0,0.007305396228616966,-7.477350238924119,0.007732998670729789,-2.0617766340855215,0.0075807007080976214,-3.990626297399291,0.0031046532402296666,-60.679648935381536,0.005619586865035228,-28.828081182116804,0.007989622853980747,1.1883618504146654,0.00021447908103031774,-97.28362811896346,0.007926763841146442,0.39225411761119044,0.008134119601884171,3.018409335794381
20260918,1,0.004306895534776805,1.9978636456247603e-05,0.004303162160095523,5.467103372823518e-05,0.0042759134995518176,2.1293954239393558e-05,0.010683002911169644,0.010034097533253563,-6.074185164150947,0.010319852331753584,-3.399330529399802,0.010537949239950996,-1.3577986678912746,0.01056733533762531,-1.0827252833882195,0.010612934614561167,-0.6558857766032933,0.010503452847665481,-1.6807078028260536,0.010335740860310024,-3.250603353262582,0.004290241644503437,-59.84048979320447,0.007526547192235181,-29.546521190537366,0.01081888868775019,1.2719810872509507,0.00020993161110238032,-98.03490074047545,0.010716379507796457,0.3124271041049509,0.010634195973896926,-0.45686533719547784
20260918,6,0.0037628889159101553,9.265409640138466e-06,0.0037627616157314384,1.2337740873319724e-05,0.003720250170895324,2.9413823553849005e-05,0.009696165799144481,0.009208423182569345,-5.030262752088777,0.009530059267550482,-1.7131156277118809,0.009530263691811482,-1.7110073277381121,0.009563921741356547,-1.3638799142605684,0.009616100925246385,-0.8257374673312667,0.0095586861176608,-1.4178767600674824,0.009432043450191505,-2.7239875474930564,0.004002704166363272,-58.718690982816724,0.006551915477214773,-32.42776977067713,0.009839131835688015,1.474459487441404,0.00021116802853844054,-97.82214915758688,0.009713734034100046,0.18118744377406681,0.009730031734896718,0.3492714177311784
