horizon,fipsCode,countyName,stateAbbr,splits,oracle_improves_splits,oracle_worsens_splits,mean_N_weighted_sse,mean_OSI_sse,mean_oracle_N_sse_reduction
1,18009,Blackford County,IN,3,2,1,1.723822958903864e-05,0.00485969836860394,2.4689287088135847e-05
1,18013,Brown County,IN,3,3,0,0.0019630435189812406,0.11662689203632652,0.01694595897299736
1,18023,Clinton County,IN,3,3,0,1.0730754605370722e-05,0.0005533395944192111,0.00012622948258415124
1,18025,Crawford County,IN,3,3,0,0.002606728626131907,0.021314697395084486,0.008772296814639013
1,18027,Daviess County,IN,3,3,0,1.5259263321875475e-05,0.0016343195112752732,0.00021739196238006292
1,18029,Dearborn County,IN,3,3,0,1.1377466102227349e-05,0.0003295873841966098,7.611555489759471e-05
1,18033,DeKalb County,IN,3,3,0,5.941677762976756e-05,0.0015896741853825595,0.0003913616712458641
1,18035,Delaware County,IN,3,3,0,1.9164673411761234e-05,0.000497019148023508,0.00011314916963908027
1,18037,Dubois County,IN,3,3,0,5.85643640322821e-05,0.0009601731070962373,0.00031508433014455425
1,18039,Elkhart County,IN,3,3,0,7.477349428915731e-06,0.00032231910938514786,6.404371941462618e-05
1,18041,Fayette County,IN,3,3,0,6.281184837777094e-05,0.004042440877557312,0.00026849958957175037
1,18043,Floyd County,IN,3,3,0,2.184771351402252e-05,0.0006222712232948102,0.00017169173408854935
1,18045,Fountain County,IN,3,3,0,7.013737721145911e-05,0.0010970056602337176,0.00037840651284805593
1,18047,Franklin County,IN,3,3,0,0.0001772827345244703,0.0013516543091022582,0.00019008912873462217
1,18051,Gibson County,IN,3,3,0,7.2438242837349105e-06,0.00025515420242038374,5.2181542530217705e-05
1,18059,Hancock County,IN,3,3,0,2.1695843871619723e-05,0.00018878401126342227,5.000828528816591e-05
1,18061,Harrison County,IN,3,3,0,0.00011947807745762451,0.002198756275828302,0.0005245851234097512
1,18065,Henry County,IN,3,3,0,3.628936939597492e-05,0.0007267500069066247,0.00018145365322446731
1,18067,Howard County,IN,3,3,0,2.5903551424545764e-05,0.0003996308629037374,0.00013933399670520684
1,18069,Huntington County,IN,3,3,0,6.223243131154416e-06,0.0001577223029187858,3.837672439338079e-05
1,18071,Jackson County,IN,3,3,0,9.72724356898978e-05,0.003613734576413405,0.0009090939716394613
1,18073,Jasper County,IN,3,3,0,2.905363480798836e-05,0.001480516921426571,0.0003389316200474869
1,18077,Jefferson County,IN,3,3,0,0.00011120870377808286,0.0032308800039239694,0.0006874428646223571
1,18083,Knox County,IN,3,3,0,1.487458870770389e-05,0.0011605593942255602,0.00013641408235712173
1,18085,Kosciusko County,IN,3,3,0,8.195567517460176e-06,0.0013978541409005462,0.00013376307510632994
1,18087,LaGrange County,IN,3,3,0,6.6191481121893245e-06,0.0008254397199156465,8.426912327722204e-05
1,18089,Lake County,IN,3,3,0,4.3648314738210725e-06,0.0008342188329041976,6.832608697789679e-05
1,18091,LaPorte County,IN,3,3,0,1.3972585445484347e-05,0.0002901124839002117,6.952481244795928e-05
1,18093,Lawrence County,IN,3,3,0,0.0005923182022770762,0.008993006646480171,0.003210744960634297
1,18095,Madison County,IN,3,3,0,1.655360321952338e-05,0.0003067811461740073,8.62033006042202e-05
1,18097,Marion County,IN,3,3,0,2.6329913253225427e-06,6.22231595085942e-05,1.4913466956484111e-05
1,18099,Marshall County,IN,3,3,0,0.0007184429129909682,0.01107025107593076,0.00421545169081269
1,18101,Martin County,IN,3,3,0,9.361898011358504e-05,0.001979050994602136,0.00038084112572256694
1,18103,Miami County,IN,3,3,0,1.558274202492798e-05,0.001895452174975748,0.00024103226633150074
1,18105,Monroe County,IN,3,3,0,3.3455116334477795e-05,0.0006698486168622807,0.00015887654517489556
1,18107,Montgomery County,IN,3,2,1,6.970631796151938e-06,0.0001232995804549574,2.0798992689409623e-05
1,18109,Morgan County,IN,3,3,0,2.5189264197231518e-05,0.0014677602826870817,0.0002965277690416761
1,18111,Newton County,IN,3,3,0,2.912224501450522e-05,0.0019851395489225952,0.0002706242780202163
1,18113,Noble County,IN,3,3,0,4.407631521434661e-06,0.0001521298272326644,2.5534065106998216e-05
1,18117,Orange County,IN,3,3,0,0.001489067348460364,0.024491105368716983,0.008631952089896613
1,18121,Parke County,IN,3,3,0,0.0007519145702767645,0.07606652415385295,0.0069580965836740435
1,18123,Perry County,IN,3,3,0,0.0001680545708165406,0.002604556259067166,0.0010089334607755321
1,18125,Pike County,IN,3,3,0,6.720211478747951e-05,0.0013655922527659318,0.00041413905096243176
1,18127,Porter County,IN,3,3,0,5.827008933853623e-06,0.000940803649392058,0.00010983835543367121
1,18129,Posey County,IN,3,3,0,2.2348263003573818e-05,0.0002421996238495556,9.17393014248492e-06
1,18131,Pulaski County,IN,3,3,0,0.0012723230571181395,0.0445664112493574,0.0087174142159254
1,18133,Putnam County,IN,3,3,0,1.4199667161995509e-05,0.00026003847515897286,5.165628225677637e-05
1,18135,Randolph County,IN,3,3,0,1.1254539948821099e-05,0.0016362299473827336,0.00012420650068909215
1,18137,Ripley County,IN,3,3,0,4.977885738149609e-05,0.001963947158463737,0.00015658111083924225
1,18139,Rush County,IN,3,3,0,0.00015479045799836233,0.0012622158410660839,0.0004424940229939065
1,18141,St. Joseph County,IN,3,3,0,5.61771425257032e-06,0.00038266959737006154,3.935304178443052e-05
1,18143,Scott County,IN,3,3,0,3.8793124313457267e-05,0.0020561175153228023,0.00013857618682137937
1,18145,Shelby County,IN,3,3,0,1.2928290317434156e-05,0.00026619234596933906,6.501595884166801e-05
1,18147,Spencer County,IN,3,3,0,2.8361778102825195e-05,0.0004628558469541022,0.00014346988459710167
1,18149,Starke County,IN,3,3,0,2.7991719536030598e-05,0.002146398614914993,0.00023321664654392632
1,18151,Steuben County,IN,3,3,0,0.00015217286777534326,0.01729425571041208,0.0021097240765279228
1,18153,Sullivan County,IN,3,3,0,2.045373657086196e-05,0.0007732423798307965,0.000175644634218776
1,18155,Switzerland County,IN,3,3,0,8.837470786315667e-05,0.0017644108310214046,0.0005661503482547079
1,18157,Tippecanoe County,IN,3,3,0,1.9111190150252334e-06,0.0001677471318471378,2.423973731605204e-05
1,18159,Tipton County,IN,3,3,0,0.00027294332593097605,0.002409847462162503,0.0009497161996096772
1,18161,Union County,IN,3,3,0,4.1638863811985716e-05,0.0010799652977071005,0.00033522971375835346
1,18163,Vanderburgh County,IN,3,3,0,7.204090940511484e-06,8.150966729631138e-05,2.902822356442891e-05
1,18165,Vermillion County,IN,3,3,0,0.001560251034769906,0.027161449954536013,0.009613331086287579
1,18167,Vigo County,IN,3,3,0,1.734403737963957e-05,0.0002715459186205816,7.751138290006523e-05
1,18169,Wabash County,IN,3,3,0,1.3560697023677255e-05,0.00032191088069211284,0.00011767836664392738
1,18171,Warren County,IN,3,3,0,0.00014743694916967884,0.0023609998076149726,0.0006272947955476642
1,18173,Warrick County,IN,3,3,0,1.7815820578264864e-05,0.00036201860542574494,5.788009578648577e-05
1,18175,Washington County,IN,3,3,0,6.211408046449135e-05,0.0017265522379113132,0.0002621259840248289
1,18177,Wayne County,IN,3,3,0,1.146189584610259e-05,0.0005928393128529493,0.00011904184279439569
1,18179,Wells County,IN,3,3,0,0.0001291021198873346,0.003087953945995228,0.0007397381097291617
1,18181,White County,IN,3,3,0,1.755798673513076e-05,0.0005339693521463521,0.0001362067221563344
1,18183,Whitley County,IN,3,3,0,7.010080076806462e-05,0.0010560096050746131,0.0003857625942434787
1,39017,Butler County,OH,3,3,0,3.0158771738076505e-06,9.667642975115156e-05,1.5808447433553795e-05
1,39023,Clark County,OH,3,3,0,4.721443909976173e-06,0.0012360748209201907,2.8400432787725863e-05
1,39025,Clermont County,OH,3,3,0,3.514558220560155e-05,0.00047604180368959775,0.0001773661238537767
1,39027,Clinton County,OH,3,3,0,5.113330588316942e-06,0.00023827262107955962,3.222790127725301e-05
1,39029,Columbiana County,OH,3,3,0,5.1659230917983975e-05,0.011054596998334857,0.00033509980173430524
1,39031,Coshocton County,OH,3,3,0,1.5376146052618018e-05,0.012054216130828408,0.00021438515742008848
1,39033,Crawford County,OH,3,3,0,3.4247755713602996e-05,0.005335345650003028,0.00017874378423899862
1,39035,Cuyahoga County,OH,3,3,0,3.693074316809695e-05,0.00450951829521078,0.00026206788953350696
1,39037,Darke County,OH,3,3,0,6.4438601682583186e-06,0.0003440631210007617,4.312608617966973e-05
1,39039,Defiance County,OH,3,3,0,2.4765072399436717e-05,0.011213249718732304,0.00016675837579748875
1,39045,Fairfield County,OH,3,3,0,9.665376395295398e-06,0.0022362638912245556,5.7723558457089176e-05
1,39049,Franklin County,OH,3,0,3,3.965048395893109e-06,0.0033487953866278425,-2.910892530348147e-05
1,39051,Fulton County,OH,3,3,0,3.073031516413768e-06,0.0013989768967527041,5.261472748114096e-05
1,39053,Gallia County,OH,3,3,0,6.750568376018787e-05,0.001047107635084625,0.0002713908231868944
1,39055,Geauga County,OH,3,3,0,0.000549536391455505,0.021758919316676503,0.004524241921680223
1,39059,Guernsey County,OH,3,0,3,1.7270235804213235e-05,0.05281449991976053,-0.0005808737853376895
1,39061,Hamilton County,OH,3,3,0,6.343021512918711e-06,0.0002546624373943555,6.653226093753836e-05
1,39063,Hancock County,OH,3,3,0,4.095110233882759e-06,0.0004903090341578831,6.372564642293476e-05
1,39065,Hardin County,OH,3,3,0,1.3246595049406132e-05,0.0012395188704368211,0.0001352844567921367
1,39069,Henry County,OH,3,3,0,5.0280579044209736e-05,0.0011723373762869695,0.0002459727819827462
1,39073,Hocking County,OH,3,3,0,1.0250630823634606e-05,0.0010405216490504499,4.517269830000704e-05
1,39075,Holmes County,OH,3,0,3,2.867143582217803e-05,0.024014397160404256,-0.0003795301524071103
1,39077,Huron County,OH,3,3,0,1.7620890327007673e-05,0.0024634965157615094,0.00013186750983058446
1,39081,Jefferson County,OH,3,0,3,2.1245034511767648e-05,0.0160507234399825,-0.00018298828393594892
1,39085,Lake County,OH,3,3,0,1.310202407085112e-05,0.0009896287925004528,5.733153484456852e-05
1,39087,Lawrence County,OH,3,3,0,9.264776040525333e-05,0.0019024313255176543,0.0006345296601710733
1,39089,Licking County,OH,3,3,0,0.000180711994081639,0.06369073735965773,0.003950544727503602
1,39091,Logan County,OH,3,3,0,0.00017567868451045447,0.050376060634085375,0.0029072578547892
1,39093,Lorain County,OH,3,3,0,6.34552049233188e-06,0.0006555340302074698,2.222873642259068e-05
1,39095,Lucas County,OH,3,3,0,3.1680101714634703e-06,0.0003594722053361331,9.008879433164072e-06
1,39097,Madison County,OH,3,0,3,0.0003295086210075252,0.0106121792482771,-0.0013296214272239702
