split_seed,horizon,fipsCode,countyName,stateAbbr,fold,N_sse,N_weighted_sse,N_signed_allocation,OSI_sse,oracle_N_sse_reduction
42,1,18009,Blackford County,IN,0,0.00015130797325966965,1.853522672430953e-05,-1.342261374139127e-06,0.0050116696755896405,-2.8170254185108335e-05
42,1,18013,Brown County,IN,1,0.015532646151436255,0.001902749153550941,0.009335936975722525,0.11967833899204719,0.01677004901208689
42,1,18023,Clinton County,IN,3,0.00012470465099600887,1.5276319747011082e-05,7.830660296387279e-05,0.0005005763868106964,0.0001444397175677413
42,1,18025,Crawford County,IN,2,0.019424823460635024,0.0023795408739277902,0.005214250341841526,0.020443445488939234,0.00806100670448023
42,1,18027,Daviess County,IN,2,0.00017056836687545188,2.0894624942242853e-05,0.00015180371738426004,0.0019702235780400413,0.0002827794042526257
42,1,18029,Dearborn County,IN,1,8.325318078388112e-05,1.0198514646025435e-05,3.690778986620901e-05,0.00027527182804154896,6.47738195561496e-05
42,1,18033,DeKalb County,IN,1,0.0005229908688269827,6.406638143130537e-05,0.0002414508334656513,0.0015281378684394399,0.00041626298790366705
42,1,18035,Delaware County,IN,1,0.00015031275539066207,1.8413312535356103e-05,6.105937218167098e-05,0.0005929437993309165,0.00011105137435701954
42,1,18037,Dubois County,IN,3,0.0005507956528601518,6.747246747536858e-05,0.00020400143732067212,0.0010201463728663727,0.00034681994204833946
42,1,18039,Elkhart County,IN,4,7.577458183100179e-05,9.28238627429772e-06,4.803230339929818e-05,0.0004696985264244337,9.739707619972523e-05
42,1,18041,Fayette County,IN,2,0.0005296452079310586,6.488153797155466e-05,0.00016975702455717854,0.0038541104246049536,0.00029458242424070804
42,1,18043,Floyd County,IN,4,0.00019100959315889688,2.3398675161964868e-05,0.00010520830393134287,0.0007849291329481145,0.00019467146264494546
42,1,18045,Fountain County,IN,3,0.0005144764251583361,6.302336208189616e-05,0.00020532968125578038,0.0010222516231850078,0.0003542292994395757
42,1,18047,Franklin County,IN,4,0.0014015508929600634,0.0001716899843876077,0.00014888421893920388,0.0013188044003934675,0.00012901547121134272
42,1,18051,Gibson County,IN,1,7.133592685092655e-05,8.738651039238502e-06,3.3909221004708305e-05,0.00024352091545926373,6.0314564318642446e-05
42,1,18059,Hancock County,IN,3,0.0001863698105894143,2.283030179720325e-05,3.777940490403244e-05,0.00019062216675321957,5.0758659886807555e-05
42,1,18061,Harrison County,IN,3,0.0009185436871980777,0.0001125216016817645,0.00029377322265899394,0.0023237045406901036,0.0005002368846886822
42,1,18065,Henry County,IN,3,0.00027980397210974347,3.427598658344357e-05,9.283225270746641e-05,0.0006251252657235301,0.0001508966234107413
42,1,18067,Howard County,IN,2,0.00021724701748571635,2.6612759642000255e-05,8.483322161829075e-05,0.0004037206838261472,0.00014235837825946263
42,1,18069,Huntington County,IN,0,5.736170012417529e-05,7.026808265211472e-06,2.3789270247286276e-05,0.00017673756212285708,4.182073797168901e-05
42,1,18071,Jackson County,IN,0,0.0009524349618528673,0.00011667328282697621,0.0004977904244430895,0.0027659365374491413,0.0008809520728847027
42,1,18073,Jasper County,IN,2,0.0003187516307743001,3.9047074769851756e-05,0.0002250862724703073,0.0016662774988957234,0.00041180525572699406
42,1,18077,Jefferson County,IN,2,0.0009059743040668945,0.00011098185224819458,0.0003765549987045795,0.0032200676505449066,0.0006431807385035413
42,1,18083,Knox County,IN,2,0.00015678458011687352,1.9206111064317003e-05,0.0001227725206911669,0.0016216297806950573,0.00022093404436959372
42,1,18085,Kosciusko County,IN,3,4.371557244336894e-05,5.3551576243126945e-06,6.763413962810247e-05,0.002555335070735079,0.00012991312163189217
42,1,18087,LaGrange County,IN,2,7.521382404075425e-05,9.213693444992396e-06,5.919088150203786e-05,0.0008341424665257467,0.00010916806955908333
42,1,18089,Lake County,IN,4,3.064320825681044e-05,3.753793011459279e-06,4.161009595770775e-05,0.0009907297343343501,7.950818774141341e-05
42,1,18091,LaPorte County,IN,0,0.00011738662309725556,1.4379861329413804e-05,4.146059417712821e-05,0.00026645064746048215,6.616859311699272e-05
42,1,18093,Lawrence County,IN,1,0.004714057340787303,0.0005774720242464446,0.0018032946459465467,0.008465059112232838,0.0030313142662395935
42,1,18095,Madison County,IN,0,0.0001540936956575337,1.8876477718047876e-05,5.147714665975455e-05,0.00028781526970780586,8.601828436899621e-05
42,1,18097,Marion County,IN,1,2.0220265387773135e-05,2.4769825100022083e-06,7.532460521166542e-06,5.4842929955873234e-05,1.3243499465155048e-05
42,1,18099,Marshall County,IN,3,0.005887321135566447,0.0007211968391068898,0.0024236525938221456,0.011224747761144733,0.004189279536072954
42,1,18101,Martin County,IN,4,0.0008216757038160894,0.00010065527371747093,0.00025240540039161687,0.0017657685514473464,0.0004115795804620578
42,1,18103,Miami County,IN,0,0.00011553803555019891,1.4153409354899363e-05,8.131017796886369e-05,0.000899578926863812,0.00015494729464548914
42,1,18105,Monroe County,IN,3,0.00025703264818963584,3.148649940323039e-05,8.995969043685763e-05,0.0006221875781003863,0.0001478604459180668
42,1,18107,Montgomery County,IN,1,5.8553507259758246e-05,7.172804639320384e-06,1.4231020431050111e-05,0.00014429799602248277,2.235953259130926e-05
42,1,18109,Morgan County,IN,2,0.00021289459535187927,2.6079587930605207e-05,0.000161781486994421,0.001394170041150106,0.0002952829871633422
42,1,18111,Newton County,IN,2,0.00021650024389635957,2.6521279877304044e-05,0.00013296790433207835,0.002164722931001142,0.0002446973112817755
42,1,18113,Noble County,IN,1,2.0111942842060913e-05,2.4637129981524614e-06,7.02306897615576e-06,0.000140783870236089,7.75917313549211e-06
42,1,18117,Orange County,IN,4,0.011794092052871892,0.0014447762764768066,0.0049842358375275665,0.02457142570265461,0.008533102121320432
42,1,18121,Parke County,IN,1,0.006346705040770802,0.0007774713674944233,0.004037298282952394,0.08299791892214951,0.007312269483828856
42,1,18123,Perry County,IN,3,0.0021800143148195486,0.00026705175356539474,0.0008832656234899402,0.0034795546395816907,0.0015009640473047235
42,1,18125,Pike County,IN,0,0.0004919876233725167,6.026848386313329e-05,0.0001975926561818277,0.0010462210788562845,0.00033470537620935927
42,1,18127,Porter County,IN,2,5.867873717598739e-05,7.1881453040584544e-06,6.662980790216181e-05,0.0010013750157483732,0.00012619509809685253
42,1,18129,Posey County,IN,4,0.0001243691470873676,1.5235220518202532e-05,8.726531529217549e-06,0.00015641243134323146,1.7536991142032432e-06
42,1,18131,Pulaski County,IN,4,0.010502919393145502,0.0012866076256603238,0.005050752375042116,0.04452374631688823,0.008822186257517912
42,1,18133,Putnam County,IN,4,0.00011489754178208885,1.4074948868305881e-05,2.458096225229505e-05,0.0001696776736055245,2.487924069309878e-05
42,1,18135,Randolph County,IN,0,0.0001388807586541798,1.7012892935137024e-05,8.977318762904706e-05,0.0019463856378212458,0.00016731443833385777
42,1,18137,Ripley County,IN,0,0.00039850848575851165,4.8817289505417676e-05,9.992722997995246e-05,0.00185932386776704,0.00015178424337462378
42,1,18139,Rush County,IN,2,0.0012825134048640235,0.00015710789209584286,0.00028235320649836886,0.0011690688595540459,0.0004102550871434775
42,1,18141,St. Joseph County,IN,4,5.641989341264275e-05,6.911436943048736e-06,2.817421455788106e-05,0.0004622429789168986,4.9978012170222094e-05
