fipsCode,countyName,stateAbbr,reason,horizon,rank
42053,Forest County,PA,historical_focus,0,0
39117,Morrow County,OH,historical_focus,0,0
18013,Brown County,IN,historical_focus,0,0
54013,Calhoun County,WV,historical_focus,0,0
54015,Clay County,WV,historical_focus,0,0
39115,Morgan County,OH,historical_focus,0,0
42053,Forest County,PA,seed42_top_N_weighted_sse,1,1
39115,Morgan County,OH,seed42_top_N_weighted_sse,1,2
54015,Clay County,WV,seed42_top_N_weighted_sse,1,3
39115,Morgan County,OH,seed42_top_N_weighted_sse,6,1
54015,Clay County,WV,seed42_top_N_weighted_sse,6,2
42131,Wyoming County,PA,seed42_top_N_weighted_sse,6,3
39115,Morgan County,OH,seed42_top_N_weighted_sse,24,1
54015,Clay County,WV,seed42_top_N_weighted_sse,24,2
54013,Calhoun County,WV,seed42_top_N_weighted_sse,24,3
39115,Morgan County,OH,seed42_top_N_weighted_sse,48,1
54015,Clay County,WV,seed42_top_N_weighted_sse,48,2
54013,Calhoun County,WV,seed42_top_N_weighted_sse,48,3
