horizon,component,rmse,mae,rmse_std,mae_std,best_rounds,final_rounds,valid_rows
osi_target_t01h,P_t,0.019420503530957377,0.005259035700457204,0.005265221928933358,0.0006991241799828422,"[1050, 796, 1185, 644, 401]",815,34177
osi_target_t01h,N_t,0.004294407578858787,0.0008112905755812547,0.0015482726883849723,0.00016352690899248758,"[202, 915, 1332, 215, 1059]",745,34177
osi_target_t01h,D_t,0.01773367439324324,0.005338030794929258,0.004525290629229137,0.0008036994763748899,"[761, 2927, 980, 674, 421]",1153,34177
osi_target_t01h,R_t,0.0040556326563366855,0.0010129849103271756,0.0010920820268252656,0.00014219714153225233,"[197, 765, 506, 436, 963]",573,34177
osi_target_t06h,P_t,0.017450706859059573,0.005124708433597508,0.003953844603263285,0.0007298668890997221,"[811, 295, 1880, 251, 450]",737,32982
osi_target_t06h,N_t,0.0037206241969493787,0.0007324692821254717,0.0013443876864079366,0.00013306966876244701,"[350, 478, 478, 77, 232]",323,32982
osi_target_t06h,D_t,0.016509727600221118,0.004977733665834725,0.004604911415799176,0.0007267408292354103,"[1027, 1140, 1017, 582, 483]",850,32982
osi_target_t06h,R_t,0.004045344096630133,0.0009678373116224854,0.001114244500363075,0.00012200366738402657,"[164, 344, 278, 139, 884]",362,32982
osi_target_t24h,P_t,0.013702813634918976,0.004072221094202468,0.004323695222510741,0.0008318961224133771,"[715, 822, 2564, 199, 903]",1041,28680
osi_target_t24h,N_t,0.0037691417309894514,0.0007464953244698038,0.0015495142750151507,0.00015006569536869303,"[272, 374, 543, 92, 290]",314,28680
osi_target_t24h,D_t,0.011966421878229348,0.00407122895982858,0.003469030986080528,0.0007268262691402914,"[456, 799, 1116, 138, 909]",684,28680
osi_target_t24h,R_t,0.0034313653299544045,0.0008163306077201327,0.0013128585016313381,0.00015762048057048277,"[191, 316, 486, 70, 659]",344,28680
osi_target_t48h,P_t,0.012254311805433592,0.003175632065963344,0.005337906437193604,0.0009629978386545457,"[358, 50, 1667, 188, 1295]",712,22944
osi_target_t48h,N_t,0.0034190619212104657,0.0005664746831837909,0.0017031743003682034,0.00016153221127816593,"[318, 121, 796, 34, 263]",306,22944
osi_target_t48h,D_t,0.011056629990403282,0.003219655598208946,0.0046796685555368315,0.0009156084031579771,"[538, 265, 1155, 30, 674]",532,22944
osi_target_t48h,R_t,0.003260061716969696,0.0006820110330471873,0.0014035812365714153,0.00014504100966824772,"[195, 409, 285, 74, 398]",272,22944
