horizon,rmse,mae,rmse_std,mae_std,valid_rows,direct_rmse,direct_mae,rmse_change_pct_vs_direct,mae_change_pct_vs_direct
osi_target_t01h,0.012086856753495308,0.003374731947906409,0.0032673565786837493,0.0005037747257659219,34177,0.012228192044245587,0.003427025315195186,-1.1558151052819765,-1.5259113218951792
osi_target_t06h,0.0109398268648882,0.003231149976481516,0.002705994585212502,0.000480555965157549,32982,0.010716768612631624,0.003339242727254627,2.0813946845289033,-3.2370438330483364
osi_target_t24h,0.008527133894635268,0.0026223109121066308,0.0027162398897325048,0.0005370870245859754,28680,0.008683365643492836,0.0027345724107400164,-1.7992073036178668,-4.105266995032908
osi_target_t48h,0.007703131005493808,0.002036728764904327,0.0033967567120692698,0.0006496860798763368,22944,0.007894751894576267,0.002125073898437284,-2.427193300578634,-4.157273476368195
