horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,P_t,0,27313,6864,1050,0.010387192885972226,0.004090180287629678
osi_target_t01h,P_t,1,27456,6721,796,0.01617874712005897,0.0051856288975825745
osi_target_t01h,P_t,2,27313,6864,1185,0.020678673221258364,0.006009014435407096
osi_target_t01h,P_t,3,27313,6864,644,0.026311006069786386,0.005945646339539728
osi_target_t01h,P_t,4,27313,6864,401,0.01984573843160207,0.005063179233733722
osi_target_t01h,N_t,0,27313,6864,202,0.0017781180356492624,0.0005497133032156746
osi_target_t01h,N_t,1,27456,6721,915,0.0031935989669735396,0.0008131870715290909
osi_target_t01h,N_t,2,27313,6864,1332,0.005735032836102146,0.001058068160931721
osi_target_t01h,N_t,3,27313,6864,215,0.005777642438580461,0.000864108720286307
osi_target_t01h,N_t,4,27313,6864,1059,0.0035221334562186087,0.0007714151322757275
osi_target_t01h,D_t,0,27313,6864,761,0.010185749565591299,0.004027165198970041
osi_target_t01h,D_t,1,27456,6721,2927,0.014164734833233824,0.005278131142019936
osi_target_t01h,D_t,2,27313,6864,980,0.018018602294820957,0.005879882251718769
osi_target_t01h,D_t,3,27313,6864,674,0.02302104797608492,0.006412011282683927
osi_target_t01h,D_t,4,27313,6864,421,0.020273539707518617,0.005091716189818009
osi_target_t01h,R_t,0,27313,6864,197,0.0023151740658964417,0.0007870369476652811
osi_target_t01h,R_t,1,27456,6721,765,0.003098098599804523,0.0009463107388331914
osi_target_t01h,R_t,2,27313,6864,506,0.005280305467059897,0.0011457629477932855
osi_target_t01h,R_t,3,27313,6864,436,0.004847869628058322,0.0011800150137911717
osi_target_t01h,R_t,4,27313,6864,963,0.003969428480209052,0.0010044098583134895
osi_target_t06h,P_t,0,26358,6624,811,0.010814231784905303,0.004055948565184906
osi_target_t06h,P_t,1,26496,6486,295,0.01499084141095687,0.004978877812627188
osi_target_t06h,P_t,2,26358,6624,1880,0.020907837710872457,0.00608757253394125
osi_target_t06h,P_t,3,26358,6624,251,0.021527750027778583,0.005769622343080707
osi_target_t06h,P_t,4,26358,6624,450,0.016694869771444357,0.00472848277521661
osi_target_t06h,N_t,0,26358,6624,350,0.0017282164671146884,0.0005251848863377998
osi_target_t06h,N_t,1,26496,6486,478,0.0030210674920535226,0.0007258529554159009
osi_target_t06h,N_t,2,26358,6624,478,0.005853049294877215,0.0009453826762801333
osi_target_t06h,N_t,3,26358,6624,77,0.0031406163824563072,0.0007230295246944054
osi_target_t06h,N_t,4,26358,6624,232,0.0035891126675509045,0.0007427585277593362
osi_target_t06h,D_t,0,26358,6624,1027,0.009475012813430548,0.0038698680428489746
osi_target_t06h,D_t,1,26496,6486,1140,0.01360928752501102,0.0049467713002887175
osi_target_t06h,D_t,2,26358,6624,1017,0.018239290962464873,0.005795182793116256
osi_target_t06h,D_t,3,26358,6624,582,0.023158185431202117,0.005726648860478918
osi_target_t06h,D_t,4,26358,6624,483,0.014733421140377151,0.004549552283158553
osi_target_t06h,R_t,0,26358,6624,164,0.0022953911156109803,0.0007716284778597023
osi_target_t06h,R_t,1,26496,6486,344,0.003083913423953872,0.0009196033199451349
osi_target_t06h,R_t,2,26358,6624,278,0.0053619137529416164,0.001097352418238903
osi_target_t06h,R_t,3,26358,6624,139,0.004811123216863853,0.0010966906031081567
osi_target_t06h,R_t,4,26358,6624,884,0.0038736131164607054,0.0009529068641339187
osi_target_t24h,P_t,0,22920,5760,715,0.007368147299556284,0.002965858570802466
osi_target_t24h,P_t,1,23040,5640,822,0.01352665625565024,0.0040649480484420165
osi_target_t24h,P_t,2,22920,5760,2564,0.020542883832682293,0.005493667627730756
osi_target_t24h,P_t,3,22920,5760,199,0.01088206750775528,0.004208269308703541
osi_target_t24h,P_t,4,22920,5760,903,0.012690393351109943,0.0036282103935468837
osi_target_t24h,N_t,0,22920,5760,272,0.0016362407408105574,0.0005180427461227999
osi_target_t24h,N_t,1,23040,5640,374,0.003187090250064056,0.0007433667141680345
osi_target_t24h,N_t,2,22920,5760,543,0.006173757810570485,0.0009858963135559785
osi_target_t24h,N_t,3,22920,5760,92,0.0023914250513027142,0.0007034742170216213
osi_target_t24h,N_t,4,22920,5760,290,0.0037787256931997183,0.0007816314520992977
osi_target_t24h,D_t,0,22920,5760,456,0.007516462503568574,0.0031705818005561283
osi_target_t24h,D_t,1,23040,5640,799,0.012154469382441767,0.004119651846822072
osi_target_t24h,D_t,2,22920,5760,1116,0.01770753109900342,0.00536304462267753
osi_target_t24h,D_t,3,22920,5760,138,0.009438986443961845,0.0040292893018383435
osi_target_t24h,D_t,4,22920,5760,909,0.010449464242420015,0.003674586037394526
osi_target_t24h,R_t,0,22920,5760,191,0.001575168986755566,0.0005870984899708598
osi_target_t24h,R_t,1,23040,5640,316,0.0027483435005450406,0.0007778460482024827
osi_target_t24h,R_t,2,22920,5760,486,0.005450390483448911,0.0010809254827051633
osi_target_t24h,R_t,3,22920,5760,70,0.0024580654131615013,0.0008080131877396071
osi_target_t24h,R_t,4,22920,5760,659,0.0036055532015884626,0.000826968068325933
osi_target_t48h,P_t,0,18336,4608,358,0.005892286400479664,0.002225131960226056
osi_target_t48h,P_t,1,18432,4512,50,0.009202598389355277,0.0027382931634504634
osi_target_t48h,P_t,2,18336,4608,1667,0.021202167042715995,0.005024051574719364
osi_target_t48h,P_t,3,18336,4608,188,0.007996076313455324,0.003027864278153586
osi_target_t48h,P_t,4,18336,4608,1295,0.0107981774156706,0.0028537081261315665
osi_target_t48h,N_t,0,18336,4608,318,0.001476395155789928,0.00040216845436842505
osi_target_t48h,N_t,1,18432,4512,121,0.0023409747628648104,0.0005216262165455362
osi_target_t48h,N_t,2,18336,4608,796,0.0062644856835800565,0.0008758746044828028
osi_target_t48h,N_t,3,18336,4608,34,0.0019858839149272415,0.0004984411988270075
