horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,75,cumul_tp_since_onset,0.059984919930553535,0.000599849199305535
osi_target_t01h,P_t,76,R_t_max_72h,0.05891350470253766,0.0005891350470253763
osi_target_t01h,P_t,77,gust_max_next_24h,0.058636894692943,0.0005863689469294296
osi_target_t01h,P_t,78,total_tp_next_6h,0.05415234133742212,0.0005415234133742208
osi_target_t01h,P_t,79,t2m_at_t6h,0.05336489036514346,0.0005336489036514343
osi_target_t01h,P_t,80,log_customers,0.05314321892426722,0.0005314321892426719
osi_target_t01h,P_t,81,gust_gt40_next_48h,0.05080772185251184,0.0005080772185251181
osi_target_t01h,P_t,82,pct_developed,0.04227288242028127,0.0004227288242028125
osi_target_t01h,P_t,83,last_R_t,0.04040272142715628,0.00040402721427156257
osi_target_t01h,P_t,84,hcc_t,0.03472188851030379,0.00034721888510303773
osi_target_t01h,P_t,85,gust_at_t48h,0.03427029768944387,0.0003427029768944385
osi_target_t01h,P_t,86,outage_pct_max_72h,0.03375768846222152,0.000337576884622215
osi_target_t01h,P_t,87,gust_mean_next_6h,0.030585310748168972,0.00030585310748168954
osi_target_t01h,P_t,88,d2m_t,0.03053592163716365,0.0003053592163716363
osi_target_t01h,P_t,89,gust_peak4h_mean_next_6h,0.030320560294611432,0.0003032056029461142
osi_target_t01h,P_t,90,pop_density,0.03023145046415002,0.0003023145046415
osi_target_t01h,P_t,91,N_t_max_72h,0.029497474163360415,0.00029497474163360396
osi_target_t01h,P_t,92,dewpoint_c_t,0.025863209855467924,0.0002586320985546791
osi_target_t01h,P_t,93,storm_onset_max_osi,0.024899851799099124,0.0002489985179909911
osi_target_t01h,P_t,94,gust_exceed_30,0.021848716653072926,0.00021848716653072913
osi_target_t01h,P_t,95,gust_gt30_next_24h,0.021570079122789822,0.0002157007912278981
osi_target_t01h,P_t,96,hours_since_peak,0.02079847519004572,0.00020798475190045708
osi_target_t01h,P_t,97,osi_std_72h,0.01937932963833356,0.00019379329638333548
osi_target_t01h,P_t,98,gust_peak4h_mean_next_24h,0.01828385031796959,0.00018283850317969577
osi_target_t01h,P_t,99,soil_gust_x_phase,0.01824132887188164,0.0001824132887188163
osi_target_t01h,P_t,100,gust_gt30_frac_next_24h,0.01802673213081989,0.00018026732130819878
osi_target_t01h,P_t,101,wind_speed_max_next_6h,0.017121098834409314,0.00017121098834409305
osi_target_t01h,P_t,102,gust_max_next_1h,0.015742119784550545,0.00015742119784550537
osi_target_t01h,P_t,103,gust_gt30_obs,0.012762147123655357,0.00012762147123655348
osi_target_t01h,P_t,104,gust_x_phase,0.012697708048338224,0.00012697708048338218
osi_target_t01h,P_t,105,gust_change_1h,0.011721476426665472,0.00011721476426665465
osi_target_t01h,P_t,106,gust_peak4h_mean_next_1h,0.010784152329574996,0.0001078415232957499
osi_target_t01h,P_t,107,days_since_onset,0.010626895939164872,0.00010626895939164865
osi_target_t01h,P_t,108,gust_at_t24h,0.009420434981875428,9.420434981875423e-05
