horizon,fold,valid_rows,rmse,mae
osi_target_t01h,0,6864,0.0064676124097864714,0.002535637135948124
osi_target_t01h,1,6721,0.009896135184981501,0.003360995509214647
osi_target_t01h,2,6864,0.01284468291775818,0.0038634595237171418
osi_target_t01h,3,6864,0.016220812168440287,0.003916946029828399
osi_target_t01h,4,6864,0.012711927386629265,0.003196335365017655
osi_target_t06h,0,6624,0.006484916626011313,0.0025071626723272592
osi_target_t06h,1,6486,0.009186615826057905,0.0031565189300213395
osi_target_t06h,2,6624,0.013026991874996183,0.003869367167174458
osi_target_t06h,3,6624,0.01401586649360537,0.0036307340379132754
osi_target_t06h,4,6624,0.010250309817809803,0.002990412261503325
osi_target_t24h,0,5760,0.004738831961186639,0.0019220288875065625
osi_target_t24h,1,5640,0.008523892281472944,0.002678872107000883
osi_target_t24h,2,5760,0.012888683153174115,0.003554049376041119
osi_target_t24h,3,5760,0.006580652758540331,0.0026193256084924856
osi_target_t24h,4,5760,0.007682610144603288,0.002338456939719069
osi_target_t48h,0,4608,0.003622011904349851,0.0014103482456213055
osi_target_t48h,1,4512,0.005804939896057143,0.001787038988787651
osi_target_t48h,2,4608,0.01341005913420304,0.0032932390315923103
osi_target_t48h,3,4608,0.005089820285493021,0.0018798940864916086
osi_target_t48h,4,4608,0.006603385273245221,0.001807921601692996
