fipsCode,elevation_mean_m,elevation_std_m,elevation_min_m,elevation_max_m,slope_mean_deg,slope_std_deg,terrain_ruggedness
18001,252.27447207481578,6.474241742478585,185.90896606445312,272.5995788574219,0.7063433840348656,0.8822741728256708,0.2722277424552495
18003,243.92169052082753,10.77347006476064,141.54319763183594,294.2146301269531,1.0149589097730451,1.5031802681270612,0.3978584549347906
18005,206.29153711881716,19.438217996005505,158.06861877441406,309.6960144042969,2.03786151476887,3.009110376211916,0.7851447724700055
18007,230.63958302212743,10.409783274425532,202.1433868408203,277.4518127441406,0.7732343990718679,0.8329809204184851,0.29034397621259594
18009,272.8958808095201,5.977614680040758,233.6440887451172,292.3705139160156,0.954754380207017,1.0193458386131942,0.362067435479933
18011,279.59782030123336,11.429770744674196,235.0177764892578,308.47845458984375,0.85127424791434,1.2577621656895712,0.3234001968296556
18013,231.55242450497366,29.78265041747418,163.85165405273438,322.0869445800781,8.569127647234545,5.754711704446235,3.3600828670748175
18015,208.72676882709627,15.949736471855738,112.3155517578125,253.10635375976562,1.2398299876304368,2.38207843495451,0.46493703075795034
18017,223.35606592140928,15.360297969578562,146.22747802734375,256.4399719238281,1.3102527501732255,1.8590629811121728,0.503154635542442
18019,187.72301595664942,37.480307249305284,94.9027099609375,314.9952697753906,4.628339247589016,6.368338745005219,1.7753749142164839
18021,185.47739698960518,15.983285337666267,154.36477661132812,241.1944122314453,1.8600635575174362,2.2632182411005073,0.7222665013963057
18023,260.25207679448846,17.38850794879749,191.94195556640625,308.3316955566406,0.874339287147472,1.619008987644576,0.32209742412150333
18025,201.583101293711,31.494905101032618,82.07391357421875,289.9562683105469,7.618945150137884,5.350530550866846,2.885413209012532
18027,152.08738006971967,14.350828372922999,104.90626525878906,223.23223876953125,1.9382116680515609,2.3783769636714456,0.7353227406508314
18029,243.99567036463037,45.54250071891584,137.27687072753906,317.24407958984375,6.765808577114439,5.997103515588973,2.621409146316812
18031,275.2551234557892,25.414722594294606,211.214111328125,334.28582763671875,1.839362727184081,2.565117049506506,0.7001622543774633
18033,270.523734335725,15.469565069978344,232.8025665283203,322.3709411621094,1.447971794207489,1.6098939195238389,0.5531779982064358
18035,286.9781852437013,13.346314343070727,228.624267578125,335.6093444824219,0.9783201282121675,1.5003621311548825,0.368239844815557
18037,163.2044801283009,22.43727735575304,103.03719329833984,247.00326538085938,4.487719555066587,3.967632521232249,1.7279631663819148
18039,252.61314072839536,14.378796665543554,218.00558471679688,319.01519775390625,1.1599036316119966,1.4711268429957367,0.4409131982376597
18041,295.1051837716584,26.1550581983357,221.0210723876953,358.2892761230469,2.8255138637202544,2.954413710041275,1.0804560601509525
18043,222.32675508226873,48.273360247963616,119.43063354492188,306.8957824707031,6.436833464463936,6.942513579034276,2.4854722516735217
18045,200.74176323901673,19.332606858007626,144.8012237548828,237.1448974609375,1.671888271104077,3.012219034172682,0.6142472757174237
18047,277.7502488725296,31.62316959699856,161.5360107421875,326.1997985839844,5.05156357717689,5.105799646833561,1.971338288661633
18049,240.1358736754236,11.345960765333459,217.28091430664062,313.6847229003906,1.1955756259783936,1.4679624205429547,0.4506793698895854
18051,134.6080356462422,12.887327135305625,77.9098892211914,194.43772888183594,1.7371994619442133,2.2857209259677465,0.6608864170900957
18053,262.02256126304087,7.965418548608262,194.61227416992188,289.32000732421875,0.9629454606942405,1.4159894439849487,0.3693260308344724
18055,180.27925819166188,29.398641754432504,138.67955017089844,281.8836669921875,3.8237979264111606,3.883361708750239,1.4747042049126495
18057,259.12714713300784,15.903317803036742,149.49339294433594,298.44659423828125,1.0963824600403087,1.5371080017253549,0.42895697267341754
18059,271.30748522498357,14.306428641954057,239.23489379882812,316.3553771972656,0.8393704882793553,1.4570006527856934,0.30873392910466096
18061,210.03620731876873,31.701022716557002,118.4804458618164,296.5100402832031,5.521324921720743,5.529560402336768,2.126279836704169
18063,264.86087050479966,21.225683142554935,201.52699279785156,316.642822265625,1.279058075790327,2.010659948493802,0.4782809681961335
18065,320.80715385443636,15.347962786169665,269.7476501464844,363.6453857421875,1.3008841889433187,1.7969479837286233,0.49067734780458216
