candidate,horizon,target_day,rmse,mae,n
L0,osi_target_t01h,2026-03-14,0.01963726173217981,0.00634855032597874,5497
L0,osi_target_t01h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L0,osi_target_t01h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L0,osi_target_t01h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L0,osi_target_t01h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L0,osi_target_t01h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L1,osi_target_t01h,2026-03-14,0.01963726173217981,0.00634855032597874,5497
L1,osi_target_t01h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L1,osi_target_t01h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L1,osi_target_t01h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L1,osi_target_t01h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L1,osi_target_t01h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L2,osi_target_t01h,2026-03-14,0.01963726173217981,0.00634855032597874,5497
L2,osi_target_t01h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L2,osi_target_t01h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L2,osi_target_t01h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L2,osi_target_t01h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L2,osi_target_t01h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L0,osi_target_t06h,2026-03-14,0.017660413432723704,0.006243311725541747,4302
L0,osi_target_t06h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L0,osi_target_t06h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L0,osi_target_t06h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L0,osi_target_t06h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L0,osi_target_t06h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L1,osi_target_t06h,2026-03-14,0.017660413432723704,0.006243311725541747,4302
L1,osi_target_t06h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L1,osi_target_t06h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L1,osi_target_t06h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L1,osi_target_t06h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L1,osi_target_t06h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L2,osi_target_t06h,2026-03-14,0.017660413432723704,0.006243311725541747,4302
L2,osi_target_t06h,2026-03-15,0.010524031426082535,0.004749794703009838,5736
L2,osi_target_t06h,2026-03-16,0.00995559642326871,0.004356000737654917,5736
L2,osi_target_t06h,2026-03-17,0.010504068039692767,0.003477043744430819,5736
L2,osi_target_t06h,2026-03-18,0.00539163562654686,0.0007402504311621408,5736
L2,osi_target_t06h,2026-03-19,0.0010073379732931432,0.00026470283676368033,5736
L0,osi_target_t24h,2026-03-15,0.011002857148274862,0.004983057330573211,5736
L0,osi_target_t24h,2026-03-16,0.0102148540687825,0.004523232215983366,5736
L0,osi_target_t24h,2026-03-17,0.010230557732170983,0.0035166597136710013,5736
L0,osi_target_t24h,2026-03-18,0.005418899511504962,0.0007571999686953691,5736
L0,osi_target_t24h,2026-03-19,0.0010931621111844045,0.00029213366803141656,5736
L1,osi_target_t24h,2026-03-15,0.010804353878969747,0.004777079530196639,5736
L1,osi_target_t24h,2026-03-16,0.010139278637034208,0.004265009112139483,5736
L1,osi_target_t24h,2026-03-17,0.010702201830739382,0.003435413285979361,5736
L1,osi_target_t24h,2026-03-18,0.005361433472918962,0.0006048416768907601,5736
L1,osi_target_t24h,2026-03-19,0.0009735843312125435,0.00019475481255287318,5736
L2,osi_target_t24h,2026-03-15,0.011089911754563114,0.004814927682248341,5736
L2,osi_target_t24h,2026-03-16,0.010058554637858408,0.004297109415959048,5736
L2,osi_target_t24h,2026-03-17,0.010137915792959511,0.003369958318721886,5736
L2,osi_target_t24h,2026-03-18,0.005361433472918962,0.0006048416768907601,5736
L2,osi_target_t24h,2026-03-19,0.0009735843312125435,0.00019475481255287318,5736
L0,osi_target_t48h,2026-03-16,0.009851380342539039,0.00431227695207857,5736
L0,osi_target_t48h,2026-03-17,0.01043870476426639,0.0035630681108317643,5736
L0,osi_target_t48h,2026-03-18,0.005435793609578428,0.0007985047457837364,5736
L0,osi_target_t48h,2026-03-19,0.0010267739314685862,0.00026616475260204215,5736
L1,osi_target_t48h,2026-03-16,0.009855863881538723,0.004116565938239896,5736
L1,osi_target_t48h,2026-03-17,0.010846378033332002,0.0034737299096124744,5736
L1,osi_target_t48h,2026-03-18,0.00540332635302103,0.0006515541958677606,5736
L1,osi_target_t48h,2026-03-19,0.0009626460961938343,0.0001807256351829409,5736
L2,osi_target_t48h,2026-03-16,0.00980989141986116,0.004153161096585472,5736
L2,osi_target_t48h,2026-03-17,0.010413428606862098,0.003441733388425855,5736
L2,osi_target_t48h,2026-03-18,0.00540332635302103,0.0006515541958677606,5736
L2,osi_target_t48h,2026-03-19,0.0009626460961938343,0.0001807256351829409,5736
