horizon,left,right,pearson_error_correlation
osi_target_t24h,lgbm_direct,lgbm_component,0.9906894796654935
osi_target_t24h,lgbm_direct,xgboost_direct,0.9460678861222406
osi_target_t24h,lgbm_direct,catboost_direct,0.9448514935801616
osi_target_t24h,lgbm_direct,xgboost_component,0.9426090987244699
osi_target_t24h,lgbm_direct,catboost_component,0.9557081947886884
osi_target_t24h,lgbm_component,xgboost_direct,0.9439717987220827
osi_target_t24h,lgbm_component,catboost_direct,0.9454295369001425
osi_target_t24h,lgbm_component,xgboost_component,0.9421828495082749
osi_target_t24h,lgbm_component,catboost_component,0.9584605597740878
osi_target_t24h,xgboost_direct,catboost_direct,0.9549912011975056
osi_target_t24h,xgboost_direct,xgboost_component,0.992855764223346
osi_target_t24h,xgboost_direct,catboost_component,0.9650495262549488
osi_target_t24h,catboost_direct,xgboost_component,0.9563089892511205
osi_target_t24h,catboost_direct,catboost_component,0.9788941745130494
osi_target_t24h,xgboost_component,catboost_component,0.9666709277757616
osi_target_t48h,lgbm_direct,lgbm_component,0.991968505253568
osi_target_t48h,lgbm_direct,xgboost_direct,0.9639107492916357
osi_target_t48h,lgbm_direct,catboost_direct,0.9667793582874896
osi_target_t48h,lgbm_direct,xgboost_component,0.9663332110147876
osi_target_t48h,lgbm_direct,catboost_component,0.9706153754715245
osi_target_t48h,lgbm_component,xgboost_direct,0.9664922441727319
osi_target_t48h,lgbm_component,catboost_direct,0.9692342530673611
osi_target_t48h,lgbm_component,xgboost_component,0.9698464688481774
osi_target_t48h,lgbm_component,catboost_component,0.9744240711879942
osi_target_t48h,xgboost_direct,catboost_direct,0.9693610088971817
osi_target_t48h,xgboost_direct,xgboost_component,0.9952281250363371
osi_target_t48h,xgboost_direct,catboost_component,0.9762213334488173
osi_target_t48h,catboost_direct,xgboost_component,0.9718949216677586
osi_target_t48h,catboost_direct,catboost_component,0.9851354592933275
osi_target_t48h,xgboost_component,catboost_component,0.9803899798826713
