candidate,horizon,rmse,mae,n,prediction_mean,prediction_max,zero_pct
L0,osi_target_t01h,0.010991492021847564,0.003301564170419752,34177,0.005640110797614061,0.48650874922825244,49.75860959124557
L1,osi_target_t01h,0.010991492021847564,0.003301564170419752,34177,0.005640110797614061,0.48650874922825244,49.75860959124557
L2,osi_target_t01h,0.010991492021847564,0.003301564170419752,34177,0.005640110797614061,0.48650874922825244,49.75860959124557
L0,osi_target_t06h,0.01007974033020953,0.003177439347335253,32982,0.004814560148135607,0.29176680157540186,50.36989873264205
L1,osi_target_t06h,0.01007974033020953,0.003177439347335253,32982,0.004814560148135607,0.29176680157540186,50.36989873264205
L2,osi_target_t06h,0.01007974033020953,0.003177439347335253,32982,0.004814560148135607,0.29176680157540186,50.36989873264205
L0,osi_target_t24h,0.008492701524253245,0.0028144565793908724,28680,0.0030540523491370147,0.12068035433293223,56.14365411436542
L1,osi_target_t24h,0.008529583734061432,0.0026554196835518232,28680,0.002831863139433986,0.1072158957441809,60.65202231520224
L2,osi_target_t24h,0.008445482059497094,0.0026563183812745817,28680,0.0028913173545811496,0.12068035433293223,60.65202231520224
L0,osi_target_t48h,0.007691202257793633,0.0022350036403240283,22944,0.002039247150748182,0.05935841461359391,60.534344490934444
L1,osi_target_t48h,0.007824713932105366,0.002105643919725768,22944,0.0018007845766367327,0.04888125960573624,66.63179916317992
L2,osi_target_t48h,0.007661528701953814,0.0021067935790155074,22944,0.0018593772967029102,0.05935841461359391,66.63179916317992
