fold,early_stopping_fold,best_epoch,horizon,baseline_rmse,baseline_mae,combined_rmse,combined_mae,rmse_change_pct,mae_change_pct,last_train_loss
0,1,3,osi_target_t01h,0.006746959482030167,0.0027580723103685853,0.006775606579550482,0.002661499091560189,0.4245927012992201,-3.5014752312817476,0.16857254536201557
0,1,3,osi_target_t06h,0.006529433130684202,0.0026493566840230004,0.0065534186816179445,0.002474316311662247,0.36734507351068313,-6.606900966424711,0.16857254536201557
0,1,3,osi_target_t24h,0.0046766830010232345,0.002042712180372873,0.004647322820499513,0.0018413877127674107,-0.6277992439790769,-9.8557432388107,0.16857254536201557
0,1,3,osi_target_t48h,0.0036396454480356836,0.0016116307936748667,0.0035463673525273657,0.0014532220055775544,-2.5628346727745166,-9.829099116188145,0.16857254536201557
1,2,6,osi_target_t01h,0.010571187623576759,0.0037877902047682194,0.010709289264271843,0.0037536086497635696,1.306396647308361,-0.9024141559271337,0.16423973441123962
1,2,6,osi_target_t06h,0.010116678438339828,0.004036285280093993,0.0102687041623572,0.0036833178722185506,1.5027236947774414,-8.7448577932832,0.16423973441123962
1,2,6,osi_target_t24h,0.00874346849108584,0.003552848654588235,0.008929107239948079,0.0033405448894426055,2.1231705592752226,-5.975592708444122,0.16423973441123962
1,2,6,osi_target_t48h,0.005772820142488721,0.0024399082035013787,0.005887319016898577,0.0020230742828352753,1.983413160010472,-17.084000130329812,0.16423973441123962
2,3,5,osi_target_t01h,0.013206767967514342,0.004068154488909587,0.013236709169969251,0.0039453667176855235,0.22671105094416166,-3.0182671665690664,0.18440594027439752
2,3,5,osi_target_t06h,0.013196946944637097,0.004088744442504469,0.013252129691276782,0.0039050097133040075,0.41814782518398985,-4.493671144873968,0.18440594027439752
2,3,5,osi_target_t24h,0.012941509009953382,0.0038719276283791866,0.013056215429657533,0.0036733386396302675,0.8863450129032779,-5.128943715098567,0.18440594027439752
2,3,5,osi_target_t48h,0.013045199798293536,0.003312078266753288,0.013255496324208749,0.0031738763432922223,1.6120605982801628,-4.172664784173108,0.18440594027439752
3,4,6,osi_target_t01h,0.016136740672027788,0.003986596641516935,0.016181543941571595,0.003859096505682024,0.27764757737893664,-3.1982201185620007,0.17502980679273605
3,4,6,osi_target_t06h,0.012910304386718795,0.0038630755555492742,0.012924299901267375,0.003670198566356052,0.10840576743471608,-4.992835020173403,0.17502980679273605
3,4,6,osi_target_t24h,0.006038402477824579,0.002771658418591127,0.006004160113727848,0.0026061381994869548,-0.5670765442098769,-5.971883764389274,0.17502980679273605
3,4,6,osi_target_t48h,0.004982909111273269,0.0020412720705008055,0.0050073059114716136,0.0019243434142551484,0.48960957652528503,-5.728224960084316,0.17502980679273605
4,0,2,osi_target_t01h,0.011170562425831858,0.0033508200777721897,0.011190951145609229,0.0032107738795681294,0.18252187311735835,-4.179460399353074,0.17066597690184912
4,0,2,osi_target_t06h,0.009161450345378184,0.0031277184596871614,0.00918816867228183,0.0029688576712085853,0.29163861502696786,-5.079126862795236,0.17066597690184912
4,0,2,osi_target_t24h,0.007484512495798404,0.0024872075187875615,0.007546723429422875,0.002322104874977771,0.8311955342367838,-6.638072720617738,0.17066597690184912
4,0,2,osi_target_t48h,0.007076946293207946,0.002113269962720694,0.007112268084722908,0.0019653082882735845,0.49911063404368683,-7.001551011335005,0.17066597690184912
