horizon,horizon_hours,stage,rmse,mae,n,prediction_mean,prediction_max,zero_pct,evaluation_status
osi_target_t01h,1,baseline_raw,0.011978157413388929,0.003681467560112259,34177,0.005680670682663039,0.294342243199764,0.0,diagnostic_only
osi_target_t01h,1,baseline_clipped,0.011975584278657036,0.00364013761374062,34177,0.005722000629034676,0.294342243199764,16.15121280393247,diagnostic_only
osi_target_t01h,1,baseline_postprocessed,0.011979379181627529,0.0035894603703570567,34177,0.005601587468028269,0.294342243199764,51.40006437077567,diagnostic_only
osi_target_t01h,1,combined_raw,0.012036739964354285,0.003682094977743749,34177,0.005130521088510565,0.2922984744362218,0.0,diagnostic_only
osi_target_t01h,1,combined_clipped,0.012024455575398775,0.003512888998306494,34177,0.005299727067947821,0.2922984744362218,34.91821985545835,diagnostic_only
osi_target_t01h,1,combined_postprocessed,0.012029241285122262,0.0034849495559743644,34177,0.005210228089083905,0.2922984744362218,58.22044064721889,diagnostic_only
osi_target_t06h,6,baseline_raw,0.010675932219301233,0.003629445864291547,32982,0.005055174027180429,0.2650159300735802,0.0,diagnostic_only
osi_target_t06h,6,baseline_clipped,0.010673988384314376,0.003595283366626685,32982,0.005089336524845291,0.2650159300735802,13.513431568734461,diagnostic_only
osi_target_t06h,6,baseline_postprocessed,0.010676993485047985,0.003551014121209561,32982,0.004992951928336845,0.2650159300735802,41.525680674307196,diagnostic_only
osi_target_t06h,6,combined_raw,0.010743436779677467,0.0035956940315344187,32982,0.004289114010656537,0.2639859343378455,0.0,diagnostic_only
osi_target_t06h,6,combined_clipped,0.010726191972155782,0.0033732509479538794,32982,0.004511557094237076,0.2639859343378455,36.11970165544843,diagnostic_only
osi_target_t06h,6,combined_postprocessed,0.010730091704358681,0.003338904973192852,32982,0.004416319250435435,0.2639859343378455,55.25741313443696,diagnostic_only
osi_target_t24h,24,baseline_raw,0.008465723595042196,0.0030580001958551597,28680,0.003187357482488082,0.1201706406684069,0.0,diagnostic_only
osi_target_t24h,24,baseline_clipped,0.00846213734641584,0.003032206525069361,28680,0.003213151153273881,0.1201706406684069,8.800557880055788,diagnostic_only
osi_target_t24h,24,baseline_postprocessed,0.008463831835764856,0.0029427287137235273,28680,0.0030622965155032837,0.1201706406684069,43.333333333333336,diagnostic_only
osi_target_t24h,24,combined_raw,0.008553757258408607,0.002998902518808583,28680,0.002402003121629985,0.11906836906219255,0.0,diagnostic_only
osi_target_t24h,24,combined_clipped,0.008530946809175178,0.0027741828670455296,28680,0.002626722773393038,0.11906836906219255,34.14923291492329,diagnostic_only
osi_target_t24h,24,combined_postprocessed,0.008539937543415014,0.002754260009646586,28680,0.0025518294226351394,0.11906836906219255,52.4163179916318,diagnostic_only
osi_target_t48h,48,baseline_raw,0.0076409198039908595,0.0024074150065724813,22944,0.00218920681996939,0.06160437370759144,0.0,diagnostic_only
osi_target_t48h,48,baseline_clipped,0.007640247720470541,0.0023972053042683183,22944,0.002199416522273553,0.06160437370759144,7.195781032078104,diagnostic_only
osi_target_t48h,48,baseline_postprocessed,0.00764441521900861,0.002303061665521959,22944,0.0020382487502286083,0.06160437370759144,46.90115062761506,diagnostic_only
osi_target_t48h,48,combined_raw,0.007739015690269374,0.002334676283564878,22944,0.0015698556730959388,0.0598245946142514,0.0,diagnostic_only
osi_target_t48h,48,combined_clipped,0.007726968981535751,0.002174695484615014,22944,0.0017298364720458028,0.0598245946142514,33.35076708507671,diagnostic_only
osi_target_t48h,48,combined_postprocessed,0.007734690273842545,0.002108320057638406,22944,0.0015671680211086151,0.0598245946142514,64.85791492329149,diagnostic_only
