scope,fold,horizon,candidate,weight,safe_alpha
outer,0,osi_target_t24h,catboost_direct,0.015682952445385312,0.9278394768185102
outer,0,osi_target_t24h,xgboost_component,0.17765845269396502,0.9278394768185102
outer,0,osi_target_t24h,catboost_component,0.12329435178163901,0.9278394768185102
outer,1,osi_target_t24h,lgbm_direct,0.0,0.8128807712892526
outer,1,osi_target_t24h,lgbm_component,0.8544976267457556,0.8128807712892526
outer,1,osi_target_t24h,xgboost_direct,0.0,0.8128807712892526
outer,1,osi_target_t24h,catboost_direct,0.0,0.8128807712892526
outer,1,osi_target_t24h,xgboost_component,0.0,0.8128807712892526
outer,1,osi_target_t24h,catboost_component,0.14550237325424448,0.8128807712892526
outer,2,osi_target_t24h,lgbm_direct,0.0,0.9410652865012348
outer,2,osi_target_t24h,lgbm_component,0.6356978605712883,0.9410652865012348
outer,2,osi_target_t24h,xgboost_direct,0.0,0.9410652865012348
outer,2,osi_target_t24h,catboost_direct,0.0,0.9410652865012348
outer,2,osi_target_t24h,xgboost_component,0.34529700603401187,0.9410652865012348
outer,2,osi_target_t24h,catboost_component,0.019005133394699718,0.9410652865012348
outer,3,osi_target_t24h,lgbm_direct,0.0,0.9044307309288172
outer,3,osi_target_t24h,lgbm_component,0.5180796855757659,0.9044307309288172
outer,3,osi_target_t24h,xgboost_direct,0.0,0.9044307309288172
outer,3,osi_target_t24h,catboost_direct,0.14634112250372583,0.9044307309288172
outer,3,osi_target_t24h,xgboost_component,0.17332380918550258,0.9044307309288172
outer,3,osi_target_t24h,catboost_component,0.1622553827350056,0.9044307309288172
outer,4,osi_target_t24h,lgbm_direct,0.0,0.9618024090027985
outer,4,osi_target_t24h,lgbm_component,0.6581170473587911,0.9618024090027985
outer,4,osi_target_t24h,xgboost_direct,0.0,0.9618024090027985
outer,4,osi_target_t24h,catboost_direct,0.2018408052161525,0.9618024090027985
outer,4,osi_target_t24h,xgboost_component,0.0,0.9618024090027985
outer,4,osi_target_t24h,catboost_component,0.14004214742505638,0.9618024090027985
final,all,osi_target_t24h,lgbm_direct,0.0,0.9227266804503106
final,all,osi_target_t24h,lgbm_component,0.6943436999713456,0.9227266804503106
final,all,osi_target_t24h,xgboost_direct,0.0,0.9227266804503106
final,all,osi_target_t24h,catboost_direct,0.0,0.9227266804503106
final,all,osi_target_t24h,xgboost_component,0.08586344026417182,0.9227266804503106
final,all,osi_target_t24h,catboost_component,0.2197928597644827,0.9227266804503106
outer,0,osi_target_t48h,lgbm_direct,0.0,0.791241466361108
outer,0,osi_target_t48h,lgbm_component,0.8372045857974438,0.791241466361108
outer,0,osi_target_t48h,xgboost_direct,0.0,0.791241466361108
outer,0,osi_target_t48h,catboost_direct,0.0,0.791241466361108
outer,0,osi_target_t48h,xgboost_component,0.0,0.791241466361108
outer,0,osi_target_t48h,catboost_component,0.16279541420255617,0.791241466361108
outer,1,osi_target_t48h,lgbm_direct,0.0,0.8053803029538896
outer,1,osi_target_t48h,lgbm_component,0.8023025161030298,0.8053803029538896
outer,1,osi_target_t48h,xgboost_direct,0.0,0.8053803029538896
outer,1,osi_target_t48h,catboost_direct,0.0,0.8053803029538896
outer,1,osi_target_t48h,xgboost_component,0.0,0.8053803029538896
outer,1,osi_target_t48h,catboost_component,0.1976974838969703,0.8053803029538896
outer,2,osi_target_t48h,lgbm_direct,0.0,0.883743427054083
outer,2,osi_target_t48h,lgbm_component,0.3380214311699535,0.883743427054083
outer,2,osi_target_t48h,xgboost_direct,0.0,0.883743427054083
outer,2,osi_target_t48h,catboost_direct,0.0,0.883743427054083
outer,2,osi_target_t48h,xgboost_component,0.18100740584971065,0.883743427054083
outer,2,osi_target_t48h,catboost_component,0.48097116298033604,0.883743427054083
outer,3,osi_target_t48h,lgbm_direct,0.0,0.8682941660328564
outer,3,osi_target_t48h,lgbm_component,0.7791605500485771,0.8682941660328564
outer,3,osi_target_t48h,xgboost_direct,0.0,0.8682941660328564
outer,3,osi_target_t48h,catboost_direct,0.0,0.8682941660328564
outer,3,osi_target_t48h,xgboost_component,0.0,0.8682941660328564
outer,3,osi_target_t48h,catboost_component,0.220839449951423,0.8682941660328564
outer,4,osi_target_t48h,lgbm_direct,0.2601720487201354,0.7515978464348302
outer,4,osi_target_t48h,lgbm_component,0.7226746332108572,0.7515978464348302
outer,4,osi_target_t48h,xgboost_direct,0.0,0.7515978464348302
outer,4,osi_target_t48h,catboost_direct,0.0,0.7515978464348302
outer,4,osi_target_t48h,xgboost_component,0.0,0.7515978464348302
outer,4,osi_target_t48h,catboost_component,0.017153318069007436,0.7515978464348302
final,all,osi_target_t48h,lgbm_direct,0.0,0.8630373357314645
final,all,osi_target_t48h,lgbm_component,0.7601533367137507,0.8630373357314645
final,all,osi_target_t48h,xgboost_direct,0.0,0.8630373357314645
final,all,osi_target_t48h,catboost_direct,0.0,0.8630373357314645
final,all,osi_target_t48h,xgboost_component,0.0,0.8630373357314645
final,all,osi_target_t48h,catboost_component,0.23984666328624932,0.8630373357314645
