horizon,model,coverage_pct,rmse,mae,n
osi_target_t01h,convex_hull_oracle_diagnostic_only,60.56119612604969,0.010282993276786502,0.002079925432045747,34177
osi_target_t06h,convex_hull_oracle_diagnostic_only,61.60329876902553,0.008973621787389172,0.0019881498758485532,32982
osi_target_t24h,convex_hull_oracle_diagnostic_only,60.25104602510461,0.007450700776588708,0.0017625953490066537,28680
osi_target_t48h,convex_hull_oracle_diagnostic_only,62.75278940027894,0.007031735207931915,0.0014402536317473908,22944
