horizon,model,counties,replicates,rmse_delta,rmse_ci_low,rmse_ci_high,rmse_probability_improved,mae_delta,mae_ci_low,mae_ci_high,mae_probability_improved
osi_target_t01h,simple_average,239,2000,8.674466231405921e-05,-0.00026476240640923036,0.00045920341445325523,0.3315,-0.0002033459814350636,-0.0003107295036172963,-9.862198955546675e-05,0.9995
osi_target_t01h,static_convex,239,2000,0.0001440095103913911,-6.20877758226886e-05,0.00047953463423914774,0.175,-7.633917174504649e-05,-0.00012664055677196192,-1.5151262769677892e-05,0.991
osi_target_t01h,safe_convex,239,2000,0.0001368647984011217,-6.093472469904807e-05,0.00045837531324703217,0.1855,-7.489912999056065e-05,-0.00012299241287776403,-1.8541752326109634e-05,0.9955
osi_target_t06h,simple_average,239,2000,0.0001032952911942421,-0.00021957318133293622,0.00045329335692733877,0.281,-0.00014507203314275546,-0.0002587182705040852,-3.475887906362745e-05,0.993
osi_target_t06h,static_convex,239,2000,7.227829683734838e-05,-8.864683521485521e-05,0.00026378006119009474,0.2125,-3.395018451119412e-05,-9.323524727574812e-05,4.0515981810747924e-05,0.8375
osi_target_t06h,safe_convex,239,2000,6.997635973428687e-05,-8.689510219817967e-05,0.00025567683326850935,0.1995,-3.345188783414289e-05,-9.196823526910388e-05,3.45479125268837e-05,0.841
osi_target_t24h,simple_average,239,2000,5.1829608660385745e-05,-0.00022180341853070642,0.00027881492805046737,0.365,-0.0003138631767164884,-0.0004030367626200347,-0.000227601563417052,1.0
osi_target_t24h,static_convex,239,2000,7.088290309167043e-05,-8.494307784058505e-05,0.00020635415131743353,0.1935,-0.00010789079907556247,-0.00015009030031657442,-6.363382494927277e-05,1.0
osi_target_t24h,safe_convex,239,2000,6.474911186919383e-05,-7.860009549756763e-05,0.00019934722961055038,0.1895,-9.95004792520896e-05,-0.00013672689788005017,-6.057451358980206e-05,1.0
osi_target_t48h,simple_average,239,2000,0.0001066934144525137,-0.00013473889202194922,0.000305519018385117,0.2155,-0.000262919541927629,-0.00033163770794668605,-0.00019856260826087442,1.0
osi_target_t48h,static_convex,239,2000,9.36852116302303e-05,-8.316282369792756e-05,0.00024674170277493593,0.1595,-8.233041038949998e-05,-0.00011559263926745291,-4.819712953539472e-05,1.0
osi_target_t48h,safe_convex,239,2000,8.049517206546938e-05,-8.074718856177792e-05,0.00023023990230867285,0.196,-7.288176138355333e-05,-0.0001048048683131687,-4.48896608427832e-05,1.0
