population,n,a_mse,b_mse,twice_cross_mean,P_mse
all,34177,8.916290531851098e-05,0.00021969318505164905,2.606441318291417e-05,0.00033492050355307424
fold0,6864,0.00010441842267073824,3.131957469781598e-05,3.5307041143624355e-06,0.00013926870148291666
fold1,6721,7.921370206926599e-05,0.00013011106946026594,2.2407592973174314e-05,0.0002317323645027062
fold2,6864,8.930883064230892e-05,0.000340155780546435,1.4134476915492973e-05,0.000443599088104237
fold3,6864,7.313659617000559e-05,0.0004624419330241581,8.10471302096328e-05,0.0006166256594037965
fold4,6864,9.95296999725436e-05,0.00013257127345474962,9.125977947538767e-06,0.00024122695137483198
