case,space,horizon,n,P_weighted_rmse,other_weighted_rmse,two_mean_P_other_product,P_other_covariance,official_truth_rounding_rmse,linear_osi_rmse,postprocessed_osi_rmse,postprocessing_mse_change
E0,raw,osi_target_t01h,34177,0.007627213669328862,0.004496285140031371,5.9641431167208105e-05,2.982028764616184e-05,2.423938157445867e-05,0.011748860451333469,0.011753906771635035,1.1860249138026004e-07
E0,aligned,osi_target_t01h,34177,0.007542264201356989,0.004429970913537574,5.866619661847542e-05,2.933232765460325e-05,2.423938157445867e-05,0.011626684769041664,0.011628814288783167,4.9523044342171096e-08
E1,raw,osi_target_t01h,34177,0.007629062571416396,0.004496285140031371,5.964523212205197e-05,2.9822467982765563e-05,2.423938157445867e-05,0.01175021222560968,0.01175407644389428,9.082570204320493e-08
E1,aligned,osi_target_t01h,34177,0.007541384610811963,0.004429970913537574,5.864697485596008e-05,2.932282353863885e-05,2.423938157445867e-05,0.011625283841159377,0.011627582891197898,5.345950415672402e-08
E2,raw,osi_target_t01h,34177,0.007320333364573766,0.004496285140031371,5.126844670132388e-05,2.5634454012119555e-05,2.423938157445867e-05,0.011183756957392581,0.011187368590210009,8.079629119049636e-08
E2,aligned,osi_target_t01h,34177,0.007097454083186332,0.004429970913537574,5.3191851797904156e-05,2.6595545905010377e-05,2.423938157445867e-05,0.01109929121265102,0.011101490712958732,4.883062667681171e-08
E0,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
E0,aligned,osi_target_t06h,32982,0.0065415385567572345,0.004164242044690143,4.854600320307799e-05,2.4271636715106158e-05,2.415995982099207e-05,0.010425032696228156,0.010427511705922264,5.169365971975507e-08
E1,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
E1,aligned,osi_target_t06h,32982,0.006538916896870463,0.004164242044690143,4.8531369674889895e-05,2.426436148978508e-05,2.415995982099207e-05,0.01042268371282712,0.010425352686841189,5.564286739504485e-08
E2,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
E2,aligned,osi_target_t06h,32982,0.0063320050064460285,0.004164242044690143,4.546894110814747e-05,2.2733432449509027e-05,2.415995982099207e-05,0.010144311052699608,0.010146817077991867,5.0850080303974695e-08
