population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
all,direct,34177,34177,239,0.01907973927128164,0.01907265642854099,0.01907973927128164,0.01907265642854099,6556,0
all,a,26598,34177,186,0.33232337073009444,0.33231629676678925,0.009442725066698616,0.009442611149386116,260,1
all,b,34177,34177,239,0.01592731926183117,0.01591297389559516,0.014835986131308659,0.014822050635848235,13200,0
fold0,direct,6864,6864,48,0.011186152698271138,0.011177964500662628,0.011186152698271138,0.011177964500662628,1367,0
fold0,a,5577,6864,39,0.3034387406693761,0.30343545354342694,0.010218536055311632,0.010218533293518118,63,0
fold0,b,6864,6864,48,0.005843277179030194,0.005807574625591054,0.005627599082277458,0.005596389434074078,2913,0
fold1,direct,6721,6721,47,0.016533783916486796,0.0165287775932123,0.016533783916486796,0.0165287775932123,1399,0
fold1,a,5720,6721,40,0.3997815867956821,0.3997780062509283,0.008900210824870079,0.008900207978989366,67,0
fold1,b,6721,6721,47,0.011630357024031644,0.011624931494881464,0.011411764278620128,0.011406623929115308,2820,0
fold2,direct,6864,6864,48,0.021092894212408647,0.021091608162487868,0.021092894212408647,0.021091608162487868,698,0
fold2,a,5291,6864,37,0.3324917797510906,0.3324694069213169,0.009450343511429945,0.009450334948683508,40,0
fold2,b,6864,6864,48,0.018665440659437562,0.01866104193005693,0.0184473721242084,0.018443312623995588,2149,0
fold3,direct,6864,6864,48,0.025757382430637965,0.02574819247952914,0.025757382430637965,0.02574819247952914,1558,0
fold3,a,5148,6864,36,0.33377367506204036,0.33377084429079623,0.008552600892987088,0.008551993695624757,7,1
fold3,b,6864,6864,48,0.02475591292195772,0.024737777533808854,0.02152299462495997,0.021504463095463652,2643,0
fold4,direct,6864,6864,48,0.017647785330715184,0.01763438686553455,0.017647785330715184,0.01763438686553455,1534,0
fold4,a,4862,6864,34,0.2688059907947546,0.2688025052748784,0.009976460205616171,0.009976457285657249,83,0
fold4,b,6864,6864,48,0.011630457324097948,0.01160148849425366,0.011541962151240308,0.011513959938038243,2675,0
