comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t06h,v18_rule,39119,Muskingum County,1,138,0.029000897379464492,0.019642652694094372,0.11606518273636382,0.01961801501293495,0.028351032716274985,0.019217990509776076,0.11092178573894265,0.019193352828616655,-0.0006498646631895068,-2.2408432907654596,0.005143396997421168,117
C_minus_B,osi_target_t06h,v18_rule,54009,Brooke County,0,138,0.023301150732603644,0.01147013876003811,0.07492622031396512,-0.0034898541448327197,0.02276588674502501,0.011283880386376975,0.07152341270164816,-0.0032196252070368575,-0.0005352639875786346,-2.297156881740081,0.003402807612316955,101
C_minus_B,osi_target_t06h,v18_rule,42125,Washington County,4,138,0.014930342436540832,0.007467994428963114,0.03076228728758734,0.006951263106787902,0.014153632273843924,0.007171869863799694,0.027644892302961094,0.006658932527010784,-0.0007767101626969079,-5.2022260440321215,0.003117394984626244,93
C_minus_B,osi_target_t06h,v18_rule,39089,Licking County,1,138,0.024384665656302925,0.010328222503442872,0.08205644484541576,-0.010033546441834502,0.023937203903170966,0.010097582780238834,0.07907258283687371,-0.009815792705148674,-0.00044746175313195927,-1.8350128701325907,0.002983862008542046,74
C_minus_B,osi_target_t06h,v18_rule,42021,Cambria County,2,138,0.011495869765487636,0.004247651080023268,0.01823739298977728,0.003065612530681568,0.01061556465632509,0.004000787723517712,0.015551249390221346,0.0027420739461132457,-0.000880305109162545,-7.657577261403537,0.002686143599555933,83
C_minus_B,osi_target_t06h,v18_rule,39081,Jefferson County,4,138,0.011052197475189065,0.00603553909779741,0.016856847526219427,-0.0001932295619103781,0.010467028767095076,0.0058101542428799615,0.015119099387145033,-0.0006528931102600724,-0.0005851687080939885,-5.294591500085177,0.0017377481390743934,96
C_minus_B,osi_target_t06h,v18_rule,42007,Beaver County,0,138,0.007244612966243275,0.004326536807338431,0.007242849550231105,-0.004200924757986964,0.006475584189008089,0.0038599358779878488,0.005786780301272554,-0.0037427367319602914,-0.0007690287772351857,-10.615180974035788,0.0014560692489585508,87
C_minus_B,osi_target_t06h,v18_rule,39111,Monroe County,2,138,0.02166209203663032,0.010942471191910153,0.0647559799336751,0.010115280241037528,0.021459491980877425,0.01091877973214234,0.06355035185867328,0.010098228501791848,-0.00020260005575289605,-0.935274651267759,0.0012056280750018245,87
C_minus_B,osi_target_t06h,v18_rule,39137,Putnam County,0,138,0.010734220787266937,0.004673331736690127,0.01590084243555152,-0.0013043328088919405,0.010336599324802727,0.0045694234726730565,0.014744649413008681,-0.0011689781152919227,-0.00039762146246421007,-3.704241512675732,0.001156193022542839,83
C_minus_B,osi_target_t06h,v18_rule,39055,Geauga County,0,138,0.01226653228075502,0.004776664744195114,0.020764558358883082,-0.0032794466429573823,0.01197975869333581,0.004616671611852029,0.01980501733237658,-0.0031859641534203727,-0.00028677358741920934,-2.3378537703693913,0.0009595410265065031,106
C_minus_B,osi_target_t06h,v18_rule,39031,Coshocton County,2,138,0.011615908345681858,0.007555850712533124,0.01862024708394884,0.0048888019036050475,0.011330917613585708,0.007293468586217904,0.017717777767289625,0.0045204741658603975,-0.0002849907320961499,-2.45345196961797,0.0009024693166592157,115
C_minus_B,osi_target_t06h,v18_rule,42063,Indiana County,2,138,0.006994378576804126,0.004296992593676616,0.0067511437712405985,-0.0013966077145295063,0.006573718333332159,0.004057494681392405,0.005963500636186252,-0.0018353556699893235,-0.0004206602434719672,-6.014261865479053,0.0007876431350543464,86
C_minus_B,osi_target_t06h,v18_rule,54103,Wetzel County,3,138,0.011547437627554462,0.007842449565201881,0.018401377575191964,0.006257722515312266,0.011401663001741238,0.007753585943097823,0.017939712850327954,0.006195581587027747,-0.00014577462581322372,-1.2623980359536824,0.0004616647248640096,133
C_minus_B,osi_target_t06h,v18_rule,39075,Holmes County,3,138,0.0097007669501078,0.0052374718875595324,0.01298647336000192,-0.0031607939561026296,0.009534136368630616,0.005203288285592566,0.012544166368799011,-0.0030533257924931973,-0.00016663058147718332,-1.7177052323201325,0.00044230699120290963,104
C_minus_B,osi_target_t06h,v18_rule,18121,Parke County,1,138,0.02436409742862159,0.008558079162911646,0.0819180756045684,-0.006366092069846948,0.024306082523086043,0.008547638420948835,0.0815284193714315,-0.006328998271972394,-5.801490553554792e-05,-0.23811637474161484,0.0003896562331369008,88
C_minus_B,osi_target_t06h,v18_rule,54045,Logan County,4,138,0.009125270533401368,0.004617460164869721,0.011491337598471332,0.0016728149769380527,0.008975490724997034,0.0045200159795473595,0.011117201858122075,0.0015745753724111678,-0.00014977980840433398,-1.6413738952296586,0.000374135740349257,72
C_minus_B,osi_target_t06h,v18_rule,54059,Mingo County,1,138,0.013888168996451216,0.008403068545862532,0.026617610854210452,-0.0003142430918493378,0.01379801195214483,0.008346469704324795,0.02627314846875136,-0.0002947095873315259,-9.015704430638538e-05,-0.6491643666592939,0.00034446238545909197,138
C_minus_B,osi_target_t06h,v18_rule,54029,Hancock County,4,138,0.012128513302518636,0.0062724686739943905,0.02029991522025327,0.00480511654257422,0.012026940517941535,0.006328758054244092,0.019961327154650325,0.00472640497289713,-0.00010157278457710063,-0.8374710242186723,0.000338588065602944,93
C_minus_B,osi_target_t06h,v18_rule,39161,Van Wert County,3,138,0.006424445526674713,0.0034067313713471445,0.005695743044879082,-0.0006179366233322681,0.006271815172369583,0.0033728142372099435,0.005428321846778411,-0.00047391802374744817,-0.00015263035430513033,-2.375774744628145,0.00026742119810067074,66
C_minus_B,osi_target_t06h,v18_rule,39107,Mercer County,3,138,0.019993151961460013,0.010089802159734635,0.05516220529885647,0.01005936737712594,0.01994479582726659,0.009955430724525345,0.05489569352160641,0.00992499594191665,-4.8356134193423134e-05,-0.2418634854906232,0.00026651177725006,88
C_minus_B,osi_target_t06h,v18_rule,54109,Wyoming County,3,138,0.010043430402107655,0.006351187909088286,0.013920128205393284,0.006345390807639011,0.009947793498581157,0.00635561333968328,0.013656286177677071,0.006349816238234004,-9.563690352649805e-05,-0.9522334471141258,0.00026384202771621325,107
C_minus_B,osi_target_t06h,v18_rule,39127,Perry County,0,138,0.010831603100657177,0.006693332807283878,0.016190660350762935,0.005973991618791637,0.010743275323835719,0.006645046340806407,0.015927679126355773,0.006000848879688339,-8.832777682145874e-05,-0.8154635652787179,0.00026298122440716193,85
C_minus_B,osi_target_t06h,v18_rule,39059,Guernsey County,0,138,0.014862549284068846,0.008402073081145853,0.030483561228549796,-0.007409651120349113,0.01480182717324085,0.008433031942469813,0.03023498409797579,-0.007417163486757263,-6.072211082799525e-05,-0.40855784339153267,0.0002485771305740063,111
C_minus_B,osi_target_t06h,v18_rule,18009,Blackford County,0,138,0.005768480888196379,0.0032092489633969478,0.0045920013025331895,0.002367977874961556,0.0056233737067693315,0.003110274335811733,0.004363881794745881,0.002177130057077122,-0.00014510718142704722,-2.5155181102180513,0.00022811950778730845,68
C_minus_B,osi_target_t06h,v18_rule,39077,Huron County,1,138,0.0048673427059915475,0.002874574626550444,0.0032693614524245385,0.002683151981608452,0.004699556320344613,0.0027967277385322585,0.003047844485916558,0.002595331895262806,-0.00016778638564693416,-3.4471866022582343,0.00022151696650798058,81
C_minus_B,osi_target_t06h,v18_rule,42121,Venango County,1,138,0.012949908969152487,0.005707574555049388,0.02314261963868837,-0.003879354491174723,0.012891811281574168,0.005649628398526618,0.022935434140521776,-0.0038354768347312563,-5.809768757831894e-05,-0.44863394574210513,0.0002071854981665934,103
C_minus_B,osi_target_t06h,v18_rule,42059,Greene County,3,138,0.0116094947385439,0.005700584429576103,0.018599690795630428,-0.004960915428671271,0.011545530017237968,0.005640149802999744,0.018395298346294126,-0.0048466141945011166,-6.396472130593134e-05,-0.5509690365211761,0.00020439244933630196,79
C_minus_B,osi_target_t06h,v18_rule,42023,Cameron County,2,138,0.009171848491879093,0.004484598376405313,0.0116089470566019,0.0014388787405503049,0.009099589414177064,0.0044180487306315075,0.01142674879591125,0.00140068310052549,-7.22590777020287e-05,-0.7878354921148967,0.00018219826069064936,104
C_minus_B,osi_target_t06h,v18_rule,39133,Portage County,0,138,0.005762556028705504,0.0033082499866322274,0.00458257317378788,-0.0026570330342104717,0.005662590593906539,0.0032447642821076487,0.004424960648319436,-0.002603510974091647,-9.996543479896553e-05,-1.7347412207534219,0.00015761252546844448,82
C_minus_B,osi_target_t06h,v18_rule,42047,Elk County,4,138,0.013596180290249896,0.004951817871962923,0.025510144350927206,-0.0023942812482306815,0.013554934893981687,0.0049721758921859645,0.02535560387725136,-0.0023296973534325015,-4.1245396268209736e-05,-0.30336017460571574,0.0001545404736758467,65
C_minus_B,osi_target_t06h,v18_rule,42039,Crawford County,1,138,0.013129378845713795,0.00640786420184998,0.02378852126465021,-0.0059185994338784255,0.013087852829441991,0.006401930833105946,0.02363828105254832,-0.005912794128834244,-4.152601627180341e-05,-0.3162831750061046,0.000150240212101891,76
C_minus_B,osi_target_t06h,v18_rule,39103,Medina County,4,138,0.005672383453723682,0.0038644309732118846,0.004440278898358793,0.0034875297591661475,0.005578196469514882,0.00383306599703037,0.004294046067646145,0.0034552320462545205,-9.418698420879997e-05,-1.6604481163375873,0.00014623283071264846,101
C_minus_B,osi_target_t06h,v18_rule,18103,Miami County,0,138,0.0027462863946797578,0.0013923787030984775,0.0010408082767012336,0.0013134579056518852,0.002561087628073649,0.001194673101106721,0.0009051654377367235,0.001100535146098925,-0.0001851987666061086,-6.74360718404624,0.00013564283896451011,65
C_minus_B,osi_target_t06h,v18_rule,18109,Morgan County,2,138,0.0029983278548172156,0.0012304998437259874,0.001240615849646247,0.0009304998437259875,0.0028312110045908795,0.0011721188866552473,0.0011061742938472765,0.000872118886655247,-0.0001671168502263361,-5.57366833509686,0.00013444155579897055,27
C_minus_B,osi_target_t06h,v18_rule,18151,Steuben County,1,138,0.011278161428574004,0.008563402053426428,0.01755317567883847,-0.00852547372990719,0.011235754669470435,0.00852785615631068,0.017421421252968684,-0.008488178585625823,-4.2406759103569974e-05,-0.37600773292825185,0.00013175442586978517,73
C_minus_B,osi_target_t06h,v18_rule,39175,Wyandot County,2,138,0.0031223733854808733,0.0018888100576959985,0.001345391747053582,0.001363929476784815,0.002969686671869542,0.001711823094705929,0.001217027372212984,0.001103135651737759,-0.00015268671361133145,-4.890085033434155,0.00012836437484059797,84
C_minus_B,osi_target_t06h,v18_rule,54043,Lincoln County,2,138,0.00850531434112262,0.003843373156789511,0.009982971341700243,-0.0020502270213223154,0.008452293835197107,0.003799531700421884,0.00985889540855852,-0.002004225338435652,-5.30205059255124e-05,-0.6233809098525778,0.00012407593314172315,78
C_minus_B,osi_target_t06h,v18_rule,18111,Newton County,2,138,0.0044862280477592975,0.002903236389710802,0.0027774214093173035,0.0025774736190846714,0.004385627671457486,0.0028785402720230527,0.0026542547500261983,0.0025609880166135466,-0.00010060037630181106,-2.2424267164050438,0.0001231666592911053,84
C_minus_B,osi_target_t06h,v18_rule,39023,Clark County,1,138,0.0028259482223725336,0.001657634855256198,0.0011020657030632068,0.000930533409801678,0.0026712617000813474,0.0016117845887272234,0.0009847181917043658,0.0008757565727596967,-0.00015468652229118623,-5.47379180788099,0.00011734751135884097,66
C_minus_B,osi_target_t06h,v18_rule,42031,Clarion County,4,138,0.007994757602607561,0.005498030101040696,0.00882042857917429,0.004421718949425492,0.007952860056861504,0.005493411349679735,0.008728221665595197,0.004434760988117839,-4.1897545746056794e-05,-0.5240627399684006,9.220691357909351e-05,107
C_minus_B,osi_target_t06h,v18_rule,54075,Pocahontas County,4,138,0.0030651949581559966,0.002009755296290567,0.001296567978147682,0.0015716821150336094,0.0029549366750259124,0.001921587735191953,0.0012049678039710208,0.0014822714684513377,-0.00011025828313008428,-3.5971050662439774,9.160017417666122e-05,74
C_minus_B,osi_target_t06h,v18_rule,42119,Union County,4,138,0.003320898674779672,0.0015157849961003951,0.0015219147851251663,0.0013902216629404736,0.0032318377267932822,0.001461264865218985,0.0014413789627407629,0.0013347667613531386,-8.906094798638966e-05,-2.68183274192485,8.053582238440348e-05,40
C_minus_B,osi_target_t06h,v18_rule,42085,Mercer County,4,138,0.004430031563762293,0.0029098454882543487,0.0027082747925183657,-7.973719681257049e-05,0.004367728104411955,0.0028867870961310754,0.0026326327335816674,-2.9415702029204926e-05,-6.230345935033781e-05,-1.4063886104103807,7.56420589366983e-05,102
C_minus_B,osi_target_t06h,v18_rule,54069,Ohio County,3,138,0.007731400751938882,0.004956523967428709,0.008248888947017193,0.003404876553196583,0.007696888998409518,0.0049011683138182865,0.008175409835029571,0.003280997805959216,-3.4511753529363996e-05,-0.4463842276020813,7.347911198762186e-05,111
C_minus_B,osi_target_t06h,v18_rule,18123,Perry County,3,138,0.005484312733823716,0.0021588346724692037,0.004150720690408573,0.0021095593101503633,0.005436488472497067,0.002137691206057941,0.004078646153799902,0.002088415843739101,-4.782426132664882e-05,-0.8720192236977953,7.207453660867166e-05,42
C_minus_B,osi_target_t06h,v18_rule,39143,Sandusky County,4,138,0.0017027630703450932,0.0010558899392474276,0.00040011748617488477,0.0008053608490220701,0.0015524342434514867,0.0009824085500016967,0.000332587187073229,0.0007295763660119853,-0.00015032882689360646,-8.828522858622945,6.753029910165577e-05,57
C_minus_B,osi_target_t06h,v18_rule,42019,Butler County,1,138,0.0035757174619595747,0.00217893820023897,0.001764434240751242,-0.0006468733638375876,0.0035076794804254695,0.0021442642462287846,0.0016979265165609088,-0.0007201065129230189,-6.803798153410525e-05,-1.9027784565735506,6.650772419033307e-05,84
C_minus_B,osi_target_t06h,v18_rule,18071,Jackson County,0,138,0.004456462827704948,0.001800876572514747,0.0027406884089908054,0.001774244963062314,0.004403407728954435,0.0017871589497772023,0.00267581994858336,0.0017598071686533467,-5.305509875051361e-05,-1.1905203925561936,6.486846040744529e-05,35
C_minus_B,osi_target_t06h,v18_rule,18135,Randolph County,0,138,0.0039550737545501246,0.0023700072647292888,0.0021586799597425087,0.002101403766935921,0.0038954949575648514,0.0023389396744836815,0.002094133573089019,0.0020618563289041356,-5.957879698527315e-05,-1.5063890254064294,6.454638665348957e-05,63
C_minus_B,osi_target_t06h,v18_rule,39065,Hardin County,3,138,0.0027573678088084284,0.0014863232534199113,0.001049224658161313,0.0006611899688035359,0.0026759354822494677,0.001463305180204892,0.0009881670373123133,0.000668033589010459,-8.143232655896063e-05,-2.9532631192264125,6.105762084899981e-05,78
C_minus_B,osi_target_t06h,v18_rule,42089,Monroe County,1,138,0.005193605985037018,0.002411368225826338,0.003722348951638101,-0.0019984918804521377,0.00515131104622087,0.002407072401376906,0.0036619687582985666,-0.001968907207522585,-4.22949388161481e-05,-0.8143655667757876,6.0380193339534555e-05,53
C_minus_B,osi_target_t06h,v18_rule,18175,Washington County,4,138,0.004009922334941024,0.0012790425259339073,0.0022189678442517246,-0.0001243820359041576,0.003957253016521806,0.0012575881558265709,0.0021610594982743887,-0.00011335088273601913,-5.2669318419218056e-05,-1.3134747763136612,5.7908345977335934e-05,31
C_minus_B,osi_target_t06h,v18_rule,42051,Fayette County,4,138,0.0033814132056405174,0.0024825820278882318,0.001577885826884651,0.001858892613465113,0.003320756906940728,0.0024718160969242255,0.001521784848029248,0.0018626763278070848,-6.065629869978937e-05,-1.7938150415515275,5.61009788554031e-05,86
C_minus_B,osi_target_t06h,v18_rule,54019,Fayette County,2,138,0.005813069437225204,0.0030149354779817703,0.004663265126916241,-0.001850347387579743,0.0057784947424873116,0.0029817001621679144,0.004607958205475583,-0.0018238172229594549,-3.4574694737892105e-05,-0.5947751891020925,5.530692144065791e-05,63
C_minus_B,osi_target_t06h,v18_rule,54039,Kanawha County,3,138,0.0030061066031720047,0.001752431174975616,0.001247061413529537,0.0009023938542688521,0.0029397122675418664,0.0017096913182185842,0.0011925833337991876,0.0008688503198073914,-6.639433563013827e-05,-2.2086487405363453,5.447807973034944e-05,71
C_minus_B,osi_target_t06h,v18_rule,54067,Nicholas County,3,138,0.0051700470039848035,0.0021852953839764,0.0036886552712308896,-0.0007655586598757003,0.005131843583513992,0.002156255159251458,0.0036343429620602145,-0.0007301333177846242,-3.820342047081149e-05,-0.7389375849265245,5.431230917067511e-05,63
C_minus_B,osi_target_t06h,v18_rule,39155,Trumbull County,1,138,0.004192262141570588,0.0013305233783412766,0.00242535853718315,-0.0007213108340011821,0.004147236760015961,0.0012827185422886354,0.002373541038620621,-0.000600978225236654,-4.5025381554627056e-05,-1.074011596463731,5.1817498562528944e-05,83
C_minus_B,osi_target_t06h,v18_rule,18045,Fountain County,3,138,0.0025926898584252376,0.0010433580478596252,0.000927641616873389,0.001029776920756035,0.002528356657710957,0.0010110551949207983,0.0008821770596256024,0.0009974740678172084,-6.433320071428045e-05,-2.481330364494716,4.5464557247786594e-05,34
C_minus_B,osi_target_t06h,v18_rule,18161,Union County,0,138,0.0030964838124170908,0.0016658906288948903,0.001323173256077429,0.0015502395456208026,0.0030460763782808775,0.001632931193760741,0.0012804442197202632,0.0015100238769565747,-5.040743413621323e-05,-1.6278927063683057,4.272903635716579e-05,50
C_minus_B,osi_target_t06h,v18_rule,54095,Tyler County,4,138,0.011636225648793656,0.004981358282676534,0.018685441134250778,-0.003121962283334623,0.011623683318078419,0.004939147833685436,0.018645181915298483,-0.0031434149050148237,-1.2542330715237249e-05,-0.10778693275458329,4.025921895229462e-05,95
C_minus_B,osi_target_t06h,v18_rule,42113,Sullivan County,2,138,0.0047146123347038,0.003316486852279759,0.003067404586382688,0.0028375063786370363,0.00468384906873381,0.0033302883325105983,0.0030275050096176437,0.0028555802926947212,-3.076326596999045e-05,-0.6525089187831012,3.98995767650445e-05,97
C_minus_B,osi_target_t06h,v18_rule,42045,Delaware County,2,138,0.0019301617471908813,0.0008582694950330799,0.0005141223631040159,0.0007423274660475729,0.001853842649806808,0.0008151065943685581,0.0004742690946934964,0.0006962660146584132,-7.631909738407328e-05,-3.9540260030096697,3.985326841051952e-05,33
C_minus_B,osi_target_t06h,v18_rule,18037,Dubois County,3,138,0.003038072244009791,0.0012973446873313587,0.0012737238484555307,0.0009335765713893297,0.002991694185262672,0.0012771249644423785,0.0012351323055425584,0.0009133568485003496,-4.6378058747118846e-05,-1.5265620769408295,3.859154291297232e-05,30
C_minus_B,osi_target_t06h,v18_rule,39069,Henry County,0,138,0.0026557685487670762,0.0011888531385665095,0.0009733287086776128,-0.001021152404905832,0.0026041317586226174,0.0011526447404136416,0.0009358473058448359,-0.0009305578856755807,-5.1636790144458846e-05,-1.944325689391524,3.748140283277692e-05,55
C_minus_B,osi_target_t06h,v18_rule,39063,Hancock County,0,138,0.002284491039130068,0.0013987225906119134,0.0007202081044854499,0.0013422008514814786,0.002224366304628158,0.001354856465607099,0.0006827971530887876,0.0012983347264766646,-6.012473450191019e-05,-2.6318656309899824,3.741095139666228e-05,60
