comparison,horizon,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,34177,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,-0.0003075004977526989,-1.7974375820696387,0.35635350233489405,31146
C_minus_A,osi_target_t01h,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,-0.0004187556978988427,-2.4319439229354534,0.48687622470662717,31176
B_minus_A,osi_target_t01h,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,-0.00011125520014614379,-0.6461199435565446,0.13052272237173312,92
C_minus_B,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
C_minus_B,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
C_minus_A,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
B_minus_A,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
