model,mean_within_target_std,median_within_target_std,p90_within_target_std,county_target_pairs,evaluation_status
B0_lightgbm,0.0009174624987285145,0.0005433718878473968,0.0023883777189005555,32982,strict_nested_cv
B1_target_aligned,0.0,0.0,0.0,32982,strict_nested_cv
B2_mlp_huber,0.0009379015878910308,0.00053343732345213,0.0024734222812651547,32982,strict_nested_cv
B3_gru_huber,0.0009164122489047702,0.0005343385618999631,0.0024180455515880528,32982,strict_nested_cv
B4_constant_mean,0.0009147546921356491,0.0005396104696382563,0.0023825543951528252,32982,strict_nested_cv
B5_gru_no_future,0.0009111168370280847,0.0005148916708050276,0.002439415058401743,32982,strict_nested_cv
B6_gru_mse,0.0009169446858104377,0.0005418730767281429,0.0023882662221901755,32982,strict_nested_cv
B7_gru_weighted_mse,0.0009529093035518645,0.0005892409740553591,0.002403189606751128,32982,strict_nested_cv
