model,reference,purpose,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t06h,rmse,-7.999798971014202e-05,-0.0002391938018850182,5.8179472903160086e-05,0.83,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t06h,mae,2.094769293253156e-05,-5.844790663251504e-06,4.7829278740232134e-05,0.062,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t06h,rmse,2.57493841104503e-06,-7.232490091987637e-07,7.141008057583116e-06,0.068,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t06h,mae,1.4579835412604353e-05,1.0549580399898278e-05,1.9005548046004322e-05,0.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t06h,rmse,-2.5555530250428657e-05,-0.00010445532807345083,5.16400562753222e-05,0.712,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t06h,mae,2.725686955383803e-05,6.432135720208269e-06,4.6647278258202574e-05,0.0075,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t06h,rmse,2.5555530250428657e-05,-5.1640056275322225e-05,0.00010445532807345081,0.288,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t06h,mae,-2.725686955383803e-05,-4.6647278258202574e-05,-6.432135720208274e-06,0.9925,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t06h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t06h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t06h,rmse,6.077869402015476e-05,-4.430442559554019e-05,0.00019695012739819918,0.1465,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t06h,mae,0.0001083337751885639,3.5952991513962545e-05,0.0001969554431146743,0.0005,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t06h,rmse,6.077869402015476e-05,-4.430442559554019e-05,0.00019695012739819918,0.1465,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t06h,mae,0.0001083337751885639,3.5952991513962545e-05,0.0001969554431146743,0.0005,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t24h,rmse,-0.0001328207590561882,-0.0003232877673280562,2.518457770091585e-05,0.946,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t24h,mae,-9.121668151784506e-05,-0.00016266449027016157,-1.89895468529648e-05,0.994,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t24h,rmse,0.0001919116254055775,-9.282673449564891e-05,0.00048763248611745754,0.132,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t24h,mae,-4.7499396100869444e-05,-9.971964330702753e-05,3.3795798931582207e-06,0.965,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t24h,rmse,0.0003247323844617657,0.00011285762838570143,0.0005330406817423205,0.0015,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t24h,mae,4.371728541697562e-05,-4.1559843871235734e-05,0.00012244286373332627,0.146,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t24h,rmse,-0.0003057675969181141,-0.0005673544900885099,-3.53434207202946e-05,0.9875,2000,county_full_trajectory,strict_nested_cv
