model,reference,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B1_target_aligned,B0_lightgbm,osi_target_t01h,rmse,-0.00011630176056913293,-0.00028045031529761187,1.6923853126606293e-05,0.95,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t01h,mae,-8.903126240308564e-05,-0.00014919281796543966,-3.056343086254327e-05,0.998,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t01h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t01h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t01h,rmse,2.538420446670381e-06,-9.203360949606607e-06,1.2738017580044773e-05,0.378,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t01h,mae,-2.1118857998333063e-05,-2.862406138375334e-05,-1.3655901820531536e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t01h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t01h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t01h,rmse,5.244657178224768e-06,-1.2296434292115776e-05,2.1927249621198022e-05,0.284,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t01h,mae,-3.2866600483609336e-05,-4.701085606797148e-05,-1.8909520185714675e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t01h,rmse,7.179713347911509e-07,-3.6765198760550355e-06,4.5482830139784495e-06,0.382,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t01h,mae,-6.900274970522702e-06,-9.688436773907367e-06,-4.218704471344656e-06,1.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t01h,rmse,4.927728662789885e-05,-4.702896387471637e-05,0.00017495103683493385,0.1655,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t01h,mae,0.00019092714540590305,0.00011212612314559446,0.0002784784563863605,0.0,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t06h,rmse,-0.00022916694560360523,-0.00036051855391204985,-7.944686168092194e-05,0.9995,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t06h,mae,-0.00016856544216194364,-0.00024572000252008744,-9.111434567256671e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t06h,rmse,7.999798971014202e-05,-5.451135460495886e-05,0.00023758768506718108,0.1525,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t06h,mae,-2.094769293253156e-05,-4.857346719451e-05,7.5520652636765896e-06,0.924,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t06h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t06h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
