model,horizon,horizon_hours,rmse,mae,n,rmse_change_vs_B0_pct,mae_change_vs_B0_pct,prediction_mean,prediction_max,zero_pct,error_lag1_autocorrelation,worst_county,worst_county_sse_share_pct,evaluation_status
B0_lightgbm,osi_target_t01h,1,0.012032610569280556,0.0036033622957952496,34177,0.0,0.0,0.005618931290558258,0.29361575841903687,52.14325423530445,0.9280758019273382,42053,26.48816538625099,strict_nested_cv
B0_lightgbm,osi_target_t06h,6,0.01073976681342812,0.003463488496547176,32982,0.0,0.0,0.004904752371141451,0.2588467597961426,51.64028864228973,0.9201773756536117,42053,18.67219536155779,strict_nested_cv
B0_lightgbm,osi_target_t24h,24,0.0086141226191434,0.002837277247407106,28680,0.0,0.0,0.00304297469540907,0.11929267644882202,57.04323570432357,0.8963880162289714,54015,15.214752832961983,strict_nested_cv
B0_lightgbm,osi_target_t48h,48,0.007731066572094298,0.0022334425015981562,22944,0.0,0.0,0.002007171627497132,0.06099781394004822,61.362447698744774,0.8945037134875515,54015,22.73463428632336,strict_nested_cv
B1_target_aligned,osi_target_t01h,1,0.011916308808711421,0.003514331033392164,34177,-0.9665546798801494,-2.470782982520958,0.005610436782259316,0.29361575841903687,51.23913743160605,0.9295157294736315,42053,27.32283281065624,strict_nested_cv
B1_target_aligned,osi_target_t06h,6,0.010510599867824514,0.0032949230543852324,32982,-2.1338167726051016,-4.866926577928298,0.00478558699293332,0.27207040786743164,51.970771936207626,0.9212691940599305,42053,18.859160335772167,strict_nested_cv
B1_target_aligned,osi_target_t24h,24,0.008481301860087212,0.002746060565889261,28680,-1.541895384226566,-3.214937193790457,0.003020177613209928,0.1317286491394043,54.187587168758725,0.8974504219741475,54015,16.725919352578394,strict_nested_cv
B1_target_aligned,osi_target_t48h,48,0.007803386475732874,0.002210913430114502,22944,0.9354453614410563,-1.0087150874729667,0.0020269132811225666,0.050758231431245804,59.95031380753139,0.899084298698824,54015,24.614156690273106,strict_nested_cv
B2_mlp_huber,osi_target_t01h,1,0.012032610569280556,0.0036033622957952496,34177,0.0,0.0,0.005618931290558258,0.29361575841903687,52.14325423530445,0.9280758019273382,42053,26.48816538625099,strict_nested_cv
B2_mlp_huber,osi_target_t06h,6,0.010819764803138262,0.0034425408036146445,32982,0.7448764121220863,-0.6048148551212051,0.004791773505455447,0.2588467597961426,51.534170153417016,0.9216374104546478,42053,18.39710324983817,strict_nested_cv
B2_mlp_huber,osi_target_t24h,24,0.009111801841467091,0.002820416639839486,28680,5.7774801256913255,-0.594253084820251,0.002645984584883062,0.1111864298582077,56.746861924686186,0.9079912171892923,54015,18.445109645585553,strict_nested_cv
B2_mlp_huber,osi_target_t48h,48,0.008504252014459222,0.002175001932652169,22944,10.001019072268491,-2.616613989577521,0.0015920069704793954,0.04758461192250252,64.1910739191074,0.9127638375880118,54015,27.355033390513302,strict_nested_cv
B3_gru_huber,osi_target_t01h,1,0.012035148989727225,0.0035822434377969165,34177,0.021096173868939694,-0.586087555585979,0.005567031476441224,0.29361575841903687,53.02396348421453,0.9281233593919359,42053,26.54885321595881,strict_nested_cv
B3_gru_huber,osi_target_t06h,6,0.01073976681342812,0.003463488496547176,32982,0.0,0.0,0.004904752371141451,0.2588467597961426,51.64028864228973,0.9201773756536117,42053,18.67219536155779,strict_nested_cv
B3_gru_huber,osi_target_t24h,24,0.008806034244548977,0.0027897778513062367,28680,2.2278719945207914,-1.6741189513389099,0.0028595910939387004,0.11011553555727005,56.8444909344491,0.9014898576365317,54015,17.11291609025908,strict_nested_cv
B3_gru_huber,osi_target_t48h,48,0.008151456255069097,0.0021862331299907735,22944,5.437667352292874,-2.1137491371997164,0.001765570796849505,0.05130528658628464,63.824965132496516,0.9054073796711821,54015,25.445227344324927,strict_nested_cv
B4_constant_mean,osi_target_t01h,1,0.012032610569280556,0.0036033622957952496,34177,0.0,0.0,0.005618931290558258,0.29361575841903687,52.14325423530445,0.9280758019273382,42053,26.48816538625099,strict_nested_cv
B4_constant_mean,osi_target_t06h,6,0.010737191875017073,0.0034489086611345717,32982,-0.02397573854049373,-0.42095810126522304,0.004876140239154227,0.2587091624736786,52.255775877751496,0.9201531018822272,42053,18.6945891590554,strict_nested_cv
B4_constant_mean,osi_target_t24h,24,0.0086141226191434,0.002837277247407106,28680,0.0,0.0,0.00304297469540907,0.11929267644882202,57.04323570432357,0.8963880162289714,54015,15.214752832961983,strict_nested_cv
B4_constant_mean,osi_target_t48h,48,0.007731066572094298,0.0022334425015981562,22944,0.0,0.0,0.002007171627497132,0.06099781394004822,61.362447698744774,0.8945037134875515,54015,22.73463428632336,strict_nested_cv
B5_gru_no_future,osi_target_t01h,1,0.012037855226458779,0.00357049569531164,34177,0.04358702667244252,-0.912109240915393,0.0055307941335647265,0.29361575841903687,53.834450068759686,0.928167455418518,42053,26.525952770708756,strict_nested_cv
B5_gru_no_future,osi_target_t06h,6,0.01076532234367855,0.003436231626993338,32982,0.23795237545081172,-0.7869773374737932,0.0048253819062311284,0.25868281722068787,52.046570856830996,0.9207734739097794,42053,18.61811342328438,strict_nested_cv
B5_gru_no_future,osi_target_t24h,24,0.009000958266586914,0.0027907763378954903,28680,4.490714429625586,-1.6389272339920824,0.0027587782144591973,0.11522536724805832,58.49023709902371,0.9054173950731693,54015,18.159920880067176,strict_nested_cv
B5_gru_no_future,osi_target_t48h,48,0.008194000987883202,0.0021652602382032917,22944,5.987976063482514,-3.0527879426524795,0.0017269975463858926,0.05127890780568123,65.00174337517434,0.9061004409949387,54015,25.959922765911916,strict_nested_cv
B6_gru_mse,osi_target_t01h,1,0.012033328540615345,0.003596462020824727,34177,0.0059668791793310305,-0.19149545352613595,0.005606795104543313,0.29345986247062683,52.44462650320391,0.9280844426404145,42053,26.49486231828748,strict_nested_cv
B6_gru_mse,osi_target_t06h,6,0.01073976681342812,0.003463488496547176,32982,0.0,0.0,0.004904752371141451,0.2588467597961426,51.64028864228973,0.9201773756536117,42053,18.67219536155779,strict_nested_cv
B6_gru_mse,osi_target_t24h,24,0.008614212202021758,0.002837773371215581,28680,0.001039953600834309,0.017485912204318055,0.0030425528240819737,0.11929267644882202,57.02580195258019,0.8964221940106077,54015,15.214436385158468,strict_nested_cv
B6_gru_mse,osi_target_t48h,48,0.007731066572094298,0.0022334425015981562,22944,0.0,0.0,0.002007171627497132,0.06099781394004822,61.362447698744774,0.8945037134875515,54015,22.73463428632336,strict_nested_cv
B7_gru_weighted_mse,osi_target_t01h,1,0.012081887855908453,0.0037942894412011526,34177,0.40953113494508475,5.298583093592768,0.005992206809125573,0.29459530115127563,46.43181086695731,0.9286051826321522,42053,26.025042608588972,strict_nested_cv
B7_gru_weighted_mse,osi_target_t06h,6,0.010800545507448274,0.00357182227173574,32982,0.5659219150285555,3.1278803234531916,0.0051158951595475025,0.2588467597961426,49.457279728336665,0.921157589113966,42053,18.462635858296466,strict_nested_cv
B7_gru_weighted_mse,osi_target_t24h,24,0.008712685356273259,0.002996200073308904,28680,1.1441993745343382,5.601244152189655,0.0033297937725053003,0.11929267644882202,53.601813110181304,0.8985000215419606,54015,14.872464451050147,strict_nested_cv
B7_gru_weighted_mse,osi_target_t48h,48,0.007817725417991318,0.00238154426508772,22944,1.1209170829005632,6.631098109021782,0.002224385244886305,0.06099781394004822,59.19194560669456,0.8967697119424702,54015,22.23340469613747,strict_nested_cv
