horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,P_t,0,27313,6864,1114,0.011160538743493948,0.004125748227065866
osi_target_t01h,P_t,1,27456,6721,1995,0.015675898342983895,0.005042541075501638
osi_target_t01h,P_t,2,27313,6864,1992,0.021017539291267533,0.006080058792412091
osi_target_t01h,P_t,3,27313,6864,1464,0.025915748116954376,0.006273872418080247
osi_target_t01h,P_t,4,27313,6864,1999,0.017914361609411792,0.004831586114353048
osi_target_t01h,N_t,0,27313,6864,341,0.0017116393993540195,0.0005155898214808042
osi_target_t01h,N_t,1,27456,6721,1414,0.0032154982695405147,0.0007083009396685033
osi_target_t01h,N_t,2,27313,6864,1454,0.005753200820659923,0.0009023042523527141
osi_target_t01h,N_t,3,27313,6864,1021,0.005706384708565467,0.0008443373175032857
osi_target_t01h,N_t,4,27313,6864,1148,0.0036269728269400807,0.000748505833674902
osi_target_t01h,D_t,0,27313,6864,1184,0.010858401545328748,0.004200575243770824
osi_target_t01h,D_t,1,27456,6721,1955,0.013783392387812295,0.004895842384937041
osi_target_t01h,D_t,2,27313,6864,1426,0.018973254107336916,0.0061773140351622
osi_target_t01h,D_t,3,27313,6864,1997,0.023359683592225906,0.006580012023144578
osi_target_t01h,D_t,4,27313,6864,1982,0.01759818019899414,0.004831604860194796
osi_target_t01h,R_t,0,27313,6864,182,0.0023011613270479277,0.00075295824337922
osi_target_t01h,R_t,1,27456,6721,1171,0.003130482962734231,0.0009266652698039739
osi_target_t01h,R_t,2,27313,6864,853,0.00526738250861983,0.0011005987342480423
osi_target_t01h,R_t,3,27313,6864,383,0.004829903455710609,0.001110014124066474
osi_target_t01h,R_t,4,27313,6864,1208,0.003953203915546231,0.0009724671139841189
osi_target_t06h,P_t,0,26358,6624,1675,0.011490209546006904,0.004188751431107297
osi_target_t06h,P_t,1,26496,6486,742,0.014684146505364317,0.004612777897601868
osi_target_t06h,P_t,2,26358,6624,1953,0.021353814262790802,0.006089997362211234
osi_target_t06h,P_t,3,26358,6624,1556,0.01920193531201241,0.005622886760837729
osi_target_t06h,P_t,4,26358,6624,1543,0.014830856158887365,0.004412609943592417
osi_target_t06h,N_t,0,26358,6624,461,0.0017217866233463772,0.0005070381017492444
osi_target_t06h,N_t,1,26496,6486,1029,0.003050727440078356,0.0006869214396015768
osi_target_t06h,N_t,2,26358,6624,1152,0.005873193211862974,0.0008998989312996055
osi_target_t06h,N_t,3,26358,6624,266,0.003119596025491049,0.0007032067117610598
osi_target_t06h,N_t,4,26358,6624,472,0.0035627836753658625,0.0007155915688938507
osi_target_t06h,D_t,0,26358,6624,1371,0.010796797463286618,0.004054917205140399
osi_target_t06h,D_t,1,26496,6486,521,0.014024043309777981,0.004716925300841583
osi_target_t06h,D_t,2,26358,6624,1607,0.018821038580297267,0.005991539040866
osi_target_t06h,D_t,3,26358,6624,1388,0.0222860595447838,0.006054976794117885
osi_target_t06h,D_t,4,26358,6624,1979,0.013790507219310631,0.004358447525221438
osi_target_t06h,R_t,0,26358,6624,186,0.0022789447186314,0.0007281516680525006
osi_target_t06h,R_t,1,26496,6486,1123,0.0030769083926789594,0.0008860050545595897
osi_target_t06h,R_t,2,26358,6624,584,0.005338102004576273,0.0010693984781506402
osi_target_t06h,R_t,3,26358,6624,570,0.004729939921355748,0.001032958408061698
osi_target_t06h,R_t,4,26358,6624,602,0.0039185554101403815,0.0009299425114333184
osi_target_t24h,P_t,0,22920,5760,1303,0.008083276696848704,0.003138483497450802
osi_target_t24h,P_t,1,23040,5640,535,0.013050093584818984,0.0038621510284183305
osi_target_t24h,P_t,2,22920,5760,1985,0.021476760228446662,0.005551147585274189
osi_target_t24h,P_t,3,22920,5760,400,0.010662358017523969,0.004205547687419554
osi_target_t24h,P_t,4,22920,5760,1540,0.012515484017491531,0.0038315785798655514
osi_target_t24h,N_t,0,22920,5760,519,0.0016177911162100441,0.000502719395987716
osi_target_t24h,N_t,1,23040,5640,546,0.003188356842938436,0.0007192559347933165
osi_target_t24h,N_t,2,22920,5760,1723,0.006156156410036284,0.0009420268163926172
osi_target_t24h,N_t,3,22920,5760,148,0.002387452215371701,0.0006842117332479897
osi_target_t24h,N_t,4,22920,5760,1100,0.003742172755875677,0.0007567566324004481
osi_target_t24h,D_t,0,22920,5760,853,0.007719999033760875,0.003089483220075278
osi_target_t24h,D_t,1,23040,5640,1096,0.011424560282405138,0.003763026973573358
osi_target_t24h,D_t,2,22920,5760,1993,0.018341978052201266,0.005530752108911312
osi_target_t24h,D_t,3,22920,5760,235,0.01002498918163985,0.0041185350973767364
osi_target_t24h,D_t,4,22920,5760,1054,0.010178737747522927,0.0037648641394934248
osi_target_t24h,R_t,0,22920,5760,131,0.0015618553780887786,0.0005485652481473388
osi_target_t24h,R_t,1,23040,5640,317,0.0027114052082771525,0.0007359124668025714
osi_target_t24h,R_t,2,22920,5760,461,0.0055150092080887055,0.0010173530535343154
osi_target_t24h,R_t,3,22920,5760,92,0.0024560269586085233,0.0007943042283557241
osi_target_t24h,R_t,4,22920,5760,598,0.003598502732987272,0.0007913126846076127
osi_target_t48h,P_t,0,18336,4608,975,0.005806672864568827,0.0023088631678333887
osi_target_t48h,P_t,1,18432,4512,116,0.008807915395364034,0.0026006902467426937
osi_target_t48h,P_t,2,18336,4608,1994,0.02193396187658549,0.00494326906981396
osi_target_t48h,P_t,3,18336,4608,258,0.008229438464020869,0.0030813876887622335
osi_target_t48h,P_t,4,18336,4608,697,0.011125447341977778,0.0029600451158985045
osi_target_t48h,N_t,0,18336,4608,1252,0.0014953553103333923,0.0003815555129742645
osi_target_t48h,N_t,1,18432,4512,139,0.0023516620665881335,0.000520189828909867
osi_target_t48h,N_t,2,18336,4608,1627,0.0063550968463566716,0.0008087029655886463
osi_target_t48h,N_t,3,18336,4608,154,0.0019923428606246144,0.0005246068521080006
