horizon,component,rmse,mae,rmse_std,mae_std,best_rounds,final_rounds,valid_rows
osi_target_t01h,P_t,0.019010462321834218,0.005271716221926013,0.004967582815606252,0.0008021481905719021,"[1114, 1995, 1992, 1464, 1999]",1713,34177
osi_target_t01h,N_t,0.004295467576315665,0.000743956196506199,0.0015476828389881453,0.0001331116551381577,"[341, 1414, 1454, 1021, 1148]",1076,34177
osi_target_t01h,D_t,0.017467918052377764,0.005338915848874962,0.004306424084186823,0.0008936120028639753,"[1184, 1955, 1426, 1997, 1982]",1709,34177
osi_target_t01h,R_t,0.004048051359258185,0.0009727326444908946,0.0010849574879820978,0.00013085779932905969,"[182, 1171, 853, 383, 1208]",759,34177
osi_target_t06h,P_t,0.01669501507581354,0.004986963786942362,0.0035175268085225267,0.0007386622130543467,"[1675, 742, 1953, 1556, 1543]",1494,32982
osi_target_t06h,N_t,0.0037225257435470832,0.0007025966640964627,0.0013519373375272506,0.0001245682680247248,"[461, 1029, 1152, 266, 472]",676,32982
osi_target_t06h,D_t,0.0164673906033164,0.005036693540904389,0.004082071253223054,0.0008336397297589445,"[1371, 521, 1607, 1388, 1979]",1373,32982
osi_target_t06h,R_t,0.004025520064044112,0.0009294723377314321,0.001100692291138731,0.00012058869376837615,"[186, 1123, 584, 570, 602]",613,32982
osi_target_t24h,P_t,0.013911885773033036,0.0041188512599838745,0.004507932719256823,0.0007960558856461856,"[1303, 535, 1985, 400, 1540]",1153,28680
osi_target_t24h,N_t,0.0037541108641568057,0.0007210013752329159,0.001546486630932689,0.00014080783399612933,"[519, 546, 1723, 148, 1100]",807,28680
osi_target_t24h,D_t,0.01209116046109074,0.004054546974556786,0.003606131247641458,0.0008103723597950203,"[853, 1096, 1993, 235, 1054]",1046,28680
osi_target_t24h,R_t,0.0034432999605089904,0.0007776634989233491,0.0013408108159266357,0.00014976201294872906,"[131, 317, 461, 92, 598]",320,28680
osi_target_t48h,P_t,0.012534365862203158,0.003181270140701652,0.005636593171906638,0.0009232220666519931,"[975, 116, 1994, 258, 697]",808,22944
osi_target_t48h,N_t,0.003453928265940491,0.0005507065181534994,0.001734008726744968,0.000139904758993966,"[1252, 139, 1627, 154, 393]",713,22944
osi_target_t48h,D_t,0.01104578207457428,0.0032741144085153303,0.004807857723715964,0.0009119850242901337,"[613, 105, 1808, 149, 677]",670,22944
osi_target_t48h,R_t,0.003277478874175995,0.0006474756396746871,0.0014214208105225662,0.00013945254164499636,"[540, 241, 639, 43, 382]",369,22944
