horizon,fold,valid_rows,rmse,mae
osi_target_t01h,0,6864,0.00702990797044187,0.0026400317199072585
osi_target_t01h,1,6721,0.009721949134047742,0.003233395683665843
osi_target_t01h,2,6864,0.013292275502744273,0.0039643060715334995
osi_target_t01h,3,6864,0.016184383480435764,0.004104295075236581
osi_target_t01h,4,6864,0.011386449163183099,0.003074100735520409
osi_target_t06h,0,6624,0.0071818346897162865,0.0026340388149203673
osi_target_t06h,1,6486,0.009349980832490163,0.0030281150191018634
osi_target_t06h,2,6624,0.01341661231710003,0.003921425862266735
osi_target_t06h,3,6624,0.012890146831962912,0.003676431351883574
osi_target_t06h,4,6624,0.0092251187300465,0.0027861672843461642
osi_target_t24h,0,5760,0.005113098652850275,0.001977817549142806
osi_target_t24h,1,5640,0.00816006388670482,0.0025004894371631406
osi_target_t24h,2,5760,0.013409347699861502,0.003623720243155757
osi_target_t24h,3,5760,0.006741289634939145,0.002684435142082625
osi_target_t24h,4,5760,0.0075743157146164605,0.0024522351821230346
osi_target_t48h,0,4608,0.0036358777918965883,0.001456254964343033
osi_target_t48h,1,4512,0.005542474743892143,0.0017067106649167208
osi_target_t48h,2,4608,0.013837818871204558,0.003237352002191977
osi_target_t48h,3,4608,0.005121134995949526,0.001989289768655801
osi_target_t48h,4,4608,0.006781958649864898,0.0019303417961615763
