horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,1,hours_since_obs,0.14196574687957764,0.14196574616891716
osi_target_t01h,P_t,2,last_osi,0.043418750166893005,0.04341874994954487
osi_target_t01h,P_t,3,last_P_t,0.04333241656422615,0.04333241634731019
osi_target_t01h,P_t,4,gust_mean_next_24h,0.039446569979190826,0.039446569781726865
osi_target_t01h,P_t,5,storm_phase,0.037635114043951035,0.037635113855554965
osi_target_t01h,P_t,6,cumul_gust_since_onset,0.03296476975083351,0.032964769585816525
osi_target_t01h,P_t,7,last_outage_pct,0.02683320641517639,0.026833206280853148
osi_target_t01h,P_t,8,gust_mean_next_48h,0.023393044248223305,0.02339304413112103
osi_target_t01h,P_t,9,last_D_t,0.023115957155823708,0.02311595704010849
osi_target_t01h,P_t,10,sdwe_t,0.020615385845303535,0.020615385742105825
osi_target_t01h,P_t,11,gust_x_hso,0.019505880773067474,0.01950588067542379
osi_target_t01h,P_t,12,cumul_tp_since_onset,0.01906336285173893,0.019063362756310428
osi_target_t01h,P_t,13,gust_x_phase,0.01889989897608757,0.018899898881477344
osi_target_t01h,P_t,14,outage_pct_max_72h,0.01830087974667549,0.01830087965506387
osi_target_t01h,P_t,15,min_t2m_next_48h,0.016157321631908417,0.016157321551027146
osi_target_t01h,P_t,16,gust_gt30_next_48h,0.015039565041661263,0.015039564966375324
osi_target_t01h,P_t,17,gust_gt30_since_onset,0.014229542575776577,0.014229542504545495
osi_target_t01h,P_t,18,gust_peak4h_mean_next_48h,0.013126782141625881,0.013126782075915062
osi_target_t01h,P_t,19,osi_std_72h,0.012030643410980701,0.012030643350756999
osi_target_t01h,P_t,20,t2m_at_t24h,0.011812850832939148,0.011812850773805684
osi_target_t01h,P_t,21,storm_onset_max_osi,0.010956290178000927,0.010956290123155285
osi_target_t01h,P_t,22,N_t_max_72h,0.010877511464059353,0.010877511409608066
osi_target_t01h,P_t,23,pct_wetland,0.010774722322821617,0.010774722268884878
osi_target_t01h,P_t,24,gust_max_last6h_obs,0.010133880190551281,0.010133880139822507
osi_target_t01h,P_t,25,total_tp_next_48h,0.009639844298362732,0.009639844250107032
osi_target_t01h,P_t,26,soil_gust_x_phase,0.00886653084307909,0.008866530798694488
osi_target_t01h,P_t,27,osi_mean_72h,0.008706549182534218,0.008706549138950461
osi_target_t01h,P_t,28,t2m_at_t48h,0.00789269246160984,0.007892692422100136
osi_target_t01h,P_t,29,days_since_onset,0.007453366182744503,0.007453366145434005
osi_target_t01h,P_t,30,wind_speed_at_t48h,0.006776586640626192,0.0067765866067035566
osi_target_t01h,P_t,31,osi_max_72h,0.006671836134046316,0.006671836100648047
osi_target_t01h,P_t,32,log_customers,0.0065693324431777,0.00656933241029255
osi_target_t01h,P_t,33,tree_canopy_pct,0.0061352127231657505,0.006135212692453742
osi_target_t01h,P_t,34,gust_gt40_next_48h,0.006054901517927647,0.006054901487617665
osi_target_t01h,P_t,35,wind_speed_max_next_48h,0.005897614639252424,0.005897614609729798
osi_target_t01h,P_t,36,d2m_t,0.0058557018637657166,0.0058557018344529
osi_target_t01h,P_t,37,t2m_t,0.005851791240274906,0.005851791210981666
osi_target_t01h,P_t,38,temp_c_t,0.005772449541836977,0.005772449512940909
osi_target_t01h,P_t,39,mslma_t,0.005724792834371328,0.005724792805713824
osi_target_t01h,P_t,40,wind_speed_at_t24h,0.0056440569460392,0.005644056917785848
osi_target_t01h,P_t,41,gust_at_t48h,0.005605719052255154,0.005605719024193716
osi_target_t01h,P_t,42,storm_onset_mean_osi,0.005561635829508305,0.005561635801667541
osi_target_t01h,P_t,43,gust_at_t24h,0.005332089029252529,0.005332089002560845
osi_target_t01h,P_t,44,gust_last_obs,0.00519935879856348,0.0051993587725362245
osi_target_t01h,P_t,45,frac_zero_72h,0.005150287877768278,0.005150287851986664
osi_target_t01h,P_t,46,pct_forest,0.005121276248246431,0.005121276222610045
osi_target_t01h,P_t,47,N_t_mean_72h,0.005044040270149708,0.005044040244899954
osi_target_t01h,P_t,48,outage_pct_mean_72h,0.004956723190844059,0.004956723166031403
osi_target_t01h,P_t,49,min_t2m_next_24h,0.004749056417495012,0.004749056393721906
osi_target_t01h,P_t,50,last_N_t,0.004586740862578154,0.004586740839617577
osi_target_t01h,P_t,51,tree_canopy_std,0.004489694256335497,0.004489694233860721
osi_target_t01h,P_t,52,gust_max_obs,0.004469260573387146,0.0044692605510146585
osi_target_t01h,P_t,53,soil_moist_x_gust,0.0044691236689686775,0.004469123646596875
osi_target_t01h,P_t,54,osi_trend_last6h,0.004461506847292185,0.004461506824958512
osi_target_t01h,P_t,55,total_tp_next_24h,0.004370684269815683,0.004370684247936655
osi_target_t01h,P_t,56,min_t2m_next_6h,0.004233097657561302,0.004233097636371013
osi_target_t01h,P_t,57,pop_density,0.004200783558189869,0.004200783537161339
osi_target_t01h,P_t,58,gust_mean_obs,0.004187067039310932,0.0041870670183510655
osi_target_t01h,P_t,59,min_t2m_next_1h,0.00403347983956337,0.0040334798193723395
osi_target_t01h,P_t,60,gust_gt40_obs,0.003924697637557983,0.003924697617911501
osi_target_t01h,P_t,61,wind_cos_t,0.0036475928500294685,0.0036475928317701335
osi_target_t01h,P_t,62,gust_max_next_48h,0.00359257566742599,0.0035925756494420637
osi_target_t01h,P_t,63,wind_speed_max_next_24h,0.003570502158254385,0.0035705021403809553
osi_target_t01h,P_t,64,sp_t,0.003460542531684041,0.003460542514361054
osi_target_t01h,P_t,65,last_R_t,0.0034383756574243307,0.0034383756402123077
osi_target_t01h,P_t,66,forest_x_customers,0.0033764156978577375,0.0033764156809558774
osi_target_t01h,P_t,67,pct_developed,0.003358778776600957,0.0033587787597873847
osi_target_t01h,P_t,68,gust_max_next_1h,0.003342767246067524,0.003342767229334103
osi_target_t01h,P_t,69,gust_gt30_next_24h,0.003293788991868496,0.0032937889753802533
osi_target_t01h,P_t,70,dewpoint_c_t,0.0032566101290285587,0.003256610112726428
osi_target_t01h,P_t,71,pressure_change_6h,0.0032421364448964596,0.0032421364286667823
osi_target_t01h,P_t,72,gust_peak4h_mean_next_1h,0.003235089825466275,0.003235089809271872
