outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
3,b,P_excess_b_t01h,1,5,115,115,20592,144,6864,0.918662437882226,20018.62240828062,37681991bd3250b8ad6e934e437a8b8d09ca491adec112b5c12a6e1b0bfe45c6
3,b,P_excess_b_t01h,2,15,115,115,20592,144,6864,0.922489772518981,20049.509335464834,37681991bd3250b8ad6e934e437a8b8d09ca491adec112b5c12a6e1b0bfe45c6
3,b,P_excess_b_t01h,4,279,115,115,20592,144,6864,0.9210041951430976,20099.996104659564,37681991bd3250b8ad6e934e437a8b8d09ca491adec112b5c12a6e1b0bfe45c6
4,direct,P_direct_l2_t01h,0,190,111,111,20449,143,6864,1.0,20449.0,f7d39190caaf36d0d2a1c3bc3488530bde6841ce343d61c173b62b065e6fc7fa
4,direct,P_direct_l2_t01h,1,18,111,111,20449,143,6864,1.0,20449.0,f7d39190caaf36d0d2a1c3bc3488530bde6841ce343d61c173b62b065e6fc7fa
4,direct,P_direct_l2_t01h,2,116,111,111,20449,143,6864,1.0,20449.0,f7d39190caaf36d0d2a1c3bc3488530bde6841ce343d61c173b62b065e6fc7fa
4,direct,P_direct_l2_t01h,3,122,111,111,20592,144,6721,1.0,20592.0,f7d39190caaf36d0d2a1c3bc3488530bde6841ce343d61c173b62b065e6fc7fa
4,a,P_anchor_a_t01h,0,213,130,130,15444,108,5720,0.011556630039969002,2014.0010073096857,f2a004b1189665abccc77b7d1d1f0b201dee2aafe4f3fd40e2cdcbacabc03509
4,a,P_anchor_a_t01h,1,57,130,130,16445,115,4719,0.011704820192226868,1702.5109349714726,f2a004b1189665abccc77b7d1d1f0b201dee2aafe4f3fd40e2cdcbacabc03509
4,a,P_anchor_a_t01h,2,205,130,130,15873,111,5291,0.011379900827016383,1551.6074440656532,f2a004b1189665abccc77b7d1d1f0b201dee2aafe4f3fd40e2cdcbacabc03509
4,a,P_anchor_a_t01h,3,46,130,130,15730,110,5434,0.012367472496418688,1605.8014604136554,f2a004b1189665abccc77b7d1d1f0b201dee2aafe4f3fd40e2cdcbacabc03509
4,b,P_excess_b_t01h,0,96,85,85,20449,143,6864,0.9216167057224941,19980.928863728113,d938b662decec7eb6609b379e6bc3d40e22254118192e7a366f5f34f5e5f847d
4,b,P_excess_b_t01h,1,2,85,85,20449,143,6864,0.9188507810357069,19960.424420419815,d938b662decec7eb6609b379e6bc3d40e22254118192e7a366f5f34f5e5f847d
4,b,P_excess_b_t01h,2,38,85,85,20449,143,6864,0.9227048802503415,19990.907124080506,d938b662decec7eb6609b379e6bc3d40e22254118192e7a366f5f34f5e5f847d
4,b,P_excess_b_t01h,3,204,85,85,20592,144,6721,0.9210041951430976,20099.996104659564,d938b662decec7eb6609b379e6bc3d40e22254118192e7a366f5f34f5e5f847d
