comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,v18_rule,0,6864,0.010838423756310818,0.0035165388253260736,0.8063238922346334,-0.0016205919859248786,0.010746932926274506,0.0034785245525582533,0.7927684380971312,-0.0016548814733305043,-9.149083003631188e-05,-0.8441340926815144,0.013555454137502254,2937
C_minus_B,osi_target_t01h,v18_rule,1,6864,0.01208270694703122,0.003824786685062139,1.0020877644000297,0.0016385569437405258,0.01201464547094778,0.003823857916718194,0.9908301085601732,0.0016353512302873126,-6.80614760834395e-05,-0.5632965889333486,0.011257655839856495,3349
C_minus_B,osi_target_t01h,v18_rule,2,6864,0.008182864516483592,0.003107107717569186,0.4596084409153466,0.0007616778886932254,0.008188944655660132,0.0031099112250299395,0.46029170323226126,0.0007759115195012868,6.080139176540406e-06,0.07430330985307432,-0.000683262316914679,3641
C_minus_B,osi_target_t01h,v18_rule,3,6721,0.01574867740210999,0.0033169613102939912,1.6669480650736206,-0.00042620399492103905,0.015837561249256733,0.003345001875831419,1.6858173156433254,-0.000421053120676842,8.888384714674305e-05,0.5643892809362727,-0.018869250569704787,3474
C_minus_B,osi_target_t01h,v18_rule,4,6864,0.014200603040025368,0.0041244171294483305,1.3841745176713927,-0.001225720041358601,0.013807583570057812,0.0041050739327300355,1.3086172347989113,-0.0011744614954218055,-0.00039301946996755585,-2.7676252118294165,0.07555728287248131,3323
C_minus_A,osi_target_t01h,v18_rule,0,6864,0.010838144774828778,0.0035167961658113325,0.8062823831472583,-0.0016223761784951397,0.010746932926274506,0.0034785245525582533,0.7927684380971312,-0.0016548814733305043,-9.121184855427275e-05,-0.8415817508371837,0.013513945050127152,2940
C_minus_A,osi_target_t01h,v18_rule,1,6864,0.012082683304091806,0.003824802640950612,1.0020838427163832,0.0016380142928942116,0.01201464547094778,0.003823857916718194,0.9908301085601732,0.0016353512302873126,-6.803783314402595e-05,-0.5631020149388877,0.011253734156210005,3354
C_minus_A,osi_target_t01h,v18_rule,2,6864,0.008182971186894053,0.003107635882790988,0.4596204237461747,0.0007603520293638586,0.008188944655660132,0.0031099112250299395,0.46029170323226126,0.0007759115195012868,5.973468766079168e-06,0.07299877550157596,-0.0006712794860865845,3649
C_minus_A,osi_target_t01h,v18_rule,3,6721,0.01574868019971668,0.0033170478226930457,1.6669486573094454,-0.0004263555423345123,0.015837561249256733,0.003345001875831419,1.6858173156433254,-0.000421053120676842,8.88810495400516e-05,0.5643714166070346,-0.018868658333879962,3474
C_minus_A,osi_target_t01h,v18_rule,4,6864,0.014324211328444903,0.004132185248263724,1.4083763191688998,-0.0012343458509883145,0.013807583570057812,0.0041050739327300355,1.3086172347989113,-0.0011744614954218055,-0.0005166277583870914,-3.606675066020393,0.09975908436998848,3327
