horizon,n,A_rmse,B_rmse,C_rmse,A_mae,B_mae,C_mae,C_minus_B_rmse_delta,C_minus_B_rmse_change_pct,C_minus_A_rmse_change_pct,C_minus_B_sse_reduction,changed_predictions_C_vs_B
osi_target_t01h,34177,0.012503692436569555,0.012475381943844085,0.012380245088583607,0.0035807924882082544,0.0035790543880305126,0.003573425666367468,-9.51368552604779e-05,-0.7625967340216255,-0.9872871442750841,0.0808178799632211,16724
osi_target_t06h,32982,0.010870630226386284,0.010870630226386284,0.010925830680753895,0.003348082840773493,0.003348082840773493,0.0033605251256584472,5.5200454367611285e-05,0.5077944260639455,0.5077944260639455,-0.039683102865617936,15886
osi_target_t24h,28680,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.002956278833563109,0.002956278833563109,0.002956278833563109,0.0,0.0,0.0,0.0,0
osi_target_t48h,22944,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.002249936035520659,0.002249936035520659,0.002249936035520659,0.0,0.0,0.0,0.0,0
