space,F0_rmse,F1_rmse,F2_rmse,F1_change_pct,F2_change_pct
raw,0.018300833411434417,0.018267665291731735,0.017861487700620824,-0.18123830186858036,-2.4006869028111444
aligned,0.017743635207965833,0.017591030478503616,0.01749044167001514,-0.8600533525041532,-1.4269541443064804
