candidate,kind,group,mean_gain_fraction,minimum_gain_fraction,maximum_gain_fraction
F1,a,DEM,0.008349636072377776,0.0050472946822080495,0.012420989866154022
F1,a,original_163,0.9916503639276222,0.987579010133846,0.9949527053177919
F1,b,DEM,0.02047330165892721,0.009396276893656982,0.03748092880500503
F1,b,original_163,0.9795266983410726,0.9625190711949949,0.990603723106343
F2,a,neighbor,0.05547469818887901,0.04483902867345327,0.07056718929328624
F2,a,original_163,0.9445253018111209,0.9294328107067137,0.9551609713265466
F2,b,neighbor,0.08906560893945159,0.06586198899899776,0.1257345985422391
F2,b,original_163,0.9109343910605483,0.8742654014577609,0.9341380110010022
