horizon,n,F0_rmse,F1_rmse,F2_rmse,F1_change_pct,F2_change_pct
osi_target_t01h,34177,0.011101490712958732,0.01102623235674826,0.010991492021847564,-0.6779121665401511,-0.990846130085643
osi_target_t06h,32982,0.010146817077991867,0.010124254873295465,0.01007974033020953,-0.22235745971354026,-0.6610619592997691
osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0,0.0
osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0,0.0
