candidate,kind,outer_fold,group,gain_fraction,split_count
F1,a,0,DEM,0.0050472946822080495,190
F1,a,0,original_163,0.9949527053177919,4370
F1,a,1,DEM,0.006069534717872232,193
F1,a,1,original_163,0.9939304652821278,3647
F1,a,2,DEM,0.008640871147493581,156
F1,a,2,original_163,0.9913591288525063,2724
F1,a,3,DEM,0.009569489948161,349
F1,a,3,original_163,0.990430510051839,9821
F1,a,4,DEM,0.012420989866154022,233
F1,a,4,original_163,0.987579010133846,4627
F1,b,0,DEM,0.01961941772021376,183
F1,b,0,original_163,0.9803805822797862,5787
F1,b,1,DEM,0.020290622535911462,167
F1,b,1,original_163,0.9797093774640885,3793
F1,b,2,DEM,0.015579262339848831,98
F1,b,2,original_163,0.9844207376601511,2992
F1,b,3,DEM,0.03748092880500503,329
F1,b,3,original_163,0.9625190711949949,9601
F1,b,4,DEM,0.009396276893656982,154
F1,b,4,original_163,0.990603723106343,5156
F2,a,0,neighbor,0.07056718929328624,777
F2,a,0,original_163,0.9294328107067137,3873
F2,a,1,neighbor,0.04483902867345327,461
F2,a,1,original_163,0.9551609713265466,2389
F2,a,2,neighbor,0.06770011954005378,841
F2,a,2,original_163,0.9322998804599462,4829
F2,a,3,neighbor,0.046880627751095034,460
F2,a,3,original_163,0.9531193722489049,2720
F2,a,4,neighbor,0.047386525686506725,648
F2,a,4,original_163,0.9526134743134933,3402
F2,b,0,neighbor,0.0781241965834967,1464
F2,b,0,original_163,0.9218758034165033,11616
F2,b,1,neighbor,0.06586198899899776,684
F2,b,1,original_163,0.9341380110010022,5736
F2,b,2,neighbor,0.1257345985422391,1047
F2,b,2,original_163,0.8742654014577609,6843
F2,b,3,neighbor,0.10394096730944015,1197
F2,b,3,original_163,0.8960590326905599,8223
F2,b,4,neighbor,0.07166629326308424,939
F2,b,4,original_163,0.9283337067369157,6171
