domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction,focus_name
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18013,1,Brown County,143,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,0.02893711554084355,0.012980652305464168,0.11974200178285048,-0.008956908512216985,9.36298500454659e-05,0.32461350562542624,-0.0007736284311263275,92,-0.013592740556014173,Brown IN
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39115,1,Morgan County,143,0.03165796843854411,0.006586400532790727,0.14331845608878732,-0.005619263004166435,0.03167802250732182,0.0067051800806543676,0.14350008672633746,-0.005493635323208305,2.005406877770427e-05,0.06334603819140305,-0.00018163063755013975,94,-0.0031912712019232267,Morgan OH
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39117,1,Morrow County,143,0.01889602213156497,0.010603645932844916,0.05105953029271281,-0.0056717663451987576,0.017564112990908494,0.010174056725547661,0.04411522331750827,-0.004090928893513703,-0.0013319091406564752,-7.048621828356028,0.0069443069752045394,143,0.12201227263306375,Morrow OH
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39119,1,Muskingum County,143,0.02570617896463824,0.017602908567665814,0.09449549208556737,0.017576335141092386,0.025820596681371245,0.01757791974205615,0.09533855945643169,0.017554143518279924,0.00011441771673300488,0.4450981100318385,-0.0008430673708643144,121,-0.014812790717522563,Muskingum OH
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,42053,1,Forest County,143,0.09523359914620216,0.03442158667300922,1.296929692106551,-0.02674722685808619,0.09317909323340269,0.03373281930349396,1.2415751084592785,-0.025740584333169135,-0.002054505912799473,-2.1573330538998126,0.055354583647272415,143,0.9725864043131247,Forest PA
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,54013,1,Calhoun County,143,0.04308755682068436,0.021623101967256114,0.26548487004692556,-0.02012593412255579,0.043480605939552074,0.02180724290115187,0.27035052228049733,-0.020376567547669602,0.00039304911886771376,0.912210271061431,-0.004865652233571771,104,-0.08549006963257819,Calhoun WV
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,54015,1,Clay County,143,0.05073104312598738,0.026853356181596132,0.36803033934106305,-0.024117463079891346,0.05060357677193438,0.02688796557805702,0.36618324344216713,-0.023685053781791823,-0.00012746635405299495,-0.25125908358800686,0.001847095898895923,101,0.03245368748821264,Clay WV
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18013,1,Brown County,143,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,8.593638228950734e-05,0.29794035024319765,-0.0007099656403230514,94,-0.008547941119409899,Brown IN
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,39115,1,Morgan County,143,0.03165796843854411,0.006586400532790727,0.14331845608878732,-0.005619263004166435,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,6.817739653601496e-06,0.021535619592372157,-6.173568188297396e-05,94,-0.0007432936803281913,Morgan OH
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,39117,1,Morrow County,143,0.01889602213156497,0.010603645932844916,0.05105953029271281,-0.0056717663451987576,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,-0.0009365220862378454,-4.956186438167998,0.004935789504143799,143,0.059426591461559646,Morrow OH
