split_seed,horizon,n,A_rmse,B_rmse,C_full_U_rmse,G_gated_rmse,G_vs_B_pct,G_vs_A_pct,G_vs_C_pct,sse_reduction_G_vs_B,G_vs_B_changed_rows
42,osi_target_t01h,34177,0.011783624615677923,0.011755140271263249,0.011631455064359725,0.011628814288783167,-1.0746446198426018,-1.3137751069291825,-0.02270374223986016,0.10095889334132213,607
42,osi_target_t06h,32982,0.010427511705922264,0.010427511705922264,0.010425919401839094,0.010427511705922264,0.0,0.0,0.015272553161005398,0.0,0
42,osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0,0.0,0.0,0.0,0
42,osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0,0.0,0.0,0.0,0
20260917,osi_target_t01h,34177,0.012503692436569555,0.012475381943844085,0.012380245088583607,0.01232246237425789,-1.2257706439332994,-1.4494123494402489,-0.4667332020672377,0.12960177050817112,623
20260917,osi_target_t06h,32982,0.010870630226386284,0.010870630226386284,0.010925830680753895,0.010870630226386284,0.0,0.0,-0.5052289018614209,0.0,0
20260917,osi_target_t24h,28680,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.0,0.0,0.0,0.0,0
20260917,osi_target_t48h,22944,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.0,0.0,0.0,0.0,0
20260918,osi_target_t01h,34177,0.01144658086857706,0.01142626207696064,0.01132776337201061,0.011304946679319743,-1.0617242701400298,-1.2373493087890486,-0.20142275170792479,0.09424805466665376,618
20260918,osi_target_t06h,32982,0.01001049575133449,0.01001049575133449,0.010029440966010272,0.01001049575133449,0.0,0.0,-0.1888960186314126,0.0,0
20260918,osi_target_t24h,28680,0.008094958237266874,0.008094958237266874,0.008094958237266874,0.008094958237266874,0.0,0.0,0.0,0.0,0
20260918,osi_target_t48h,22944,0.007386039443917857,0.007386039443917857,0.007386039443917857,0.007386039443917857,0.0,0.0,0.0,0.0,0
