split_seed,space,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,raw_D1,osi_target_t01h,G_minus_B,34177,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-0.00032733900473052094,-1.913399924487591,0.3791218361492241,754
42,raw_D1,osi_target_t01h,G_minus_A,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-0.00043859420487666473,-2.5471570095320306,0.5096445585209572,784
42,raw_D1,osi_target_t01h,G_minus_C,34177,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-1.9838506977822024e-05,-0.11808484377875406,0.022768333814330077,30392
42,aligned_D1,osi_target_t01h,G_minus_B,34177,0.016864703901893898,0.0052274382287803775,9.720562109823524,2.9286587167134728e-05,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-0.00033214984150529286,-1.9694970243028798,0.37912183614922235,754
42,aligned_D1,osi_target_t01h,G_minus_A,34177,0.01697755164672897,0.005238612352273099,9.851084832195257,1.811245953907745e-05,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-0.0004449975863403642,-2.6210939928202226,0.5096445585209555,784
42,aligned_D1,osi_target_t01h,G_minus_C,34177,0.016565559002049094,0.0051743041244085245,9.37877527258649,2.0161518981989855e-06,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-3.300494166048884e-05,-0.1992383212447324,0.037334998912188055,30392
42,aligned_D6,osi_target_t06h,G_minus_B,32982,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.0,0.0,0.0,0
42,aligned_D6,osi_target_t06h,G_minus_A,32982,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.0,0.0,0.0,0
42,aligned_D6,osi_target_t06h,G_minus_C,32982,0.015951937527372187,0.005032676845572973,8.392741901351318,1.653002923439982e-05,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,-8.69517976952866e-06,-0.05450861222725534,0.00914704063440297,30019
20260917,raw_D1,osi_target_t01h,G_minus_B,34177,0.017916634952049714,0.005337988882091109,10.971015500187207,-7.598713290387676e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0004454680611917332,-2.486337765902691,0.5387708581904995,748
