split_seed,comparison,horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
42,G_minus_B,osi_target_t01h,v18_rule,all_counties,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-0.00012632598248008171,-1.0746446198426018,0.10095889334132213,607,239,2000,20260910,-0.00035094432144103677,-1.532773103812306e-05,0.9995,0.0
42,G_minus_B,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335007148167394,0.0034217159330142068,4.372769560825867,-3.843627604002501e-05,0.011304794811298029,0.003410803695334322,4.349490259783398,-3.56774704702224e-05,-3.0212336869365683e-05,-0.26654007778239563,0.02327930104246967,603,238,2000,20260910,-5.449081064806019e-05,-8.815335834140224e-06,0.997,0.0
42,G_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-0.00015481032689475607,-1.3137751069291825,0.1238741031425814,628,239,2000,20260910,-0.0004439266155785383,-1.5409973417391615e-05,0.9995,0.0
42,G_minus_A,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335123004986174,0.0034222507600559894,4.372858950757969,-4.000127218551757e-05,0.011304794811298029,0.003410803695334322,4.349490259783398,-3.56774704702224e-05,-3.032819368814499e-05,-0.2675594581091345,0.023368690974571393,624,238,2000,20260910,-5.452731776331658e-05,-9.010173197453756e-06,0.997,0.0
42,G_minus_C,osi_target_t01h,v18_rule,all_counties,34177,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-2.6407755765577717e-06,-0.02270374223986016,0.0020993273929708067,16437,239,2000,20260910,-4.2044205608597144e-05,3.9122587992577414e-05,0.558,0.0
42,G_minus_C,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011293730744089438,0.0034061208449240165,4.3409806841197724,-4.843697611748434e-05,0.011304794811298029,0.003410803695334322,4.349490259783398,-3.56774704702224e-05,1.1064067208590989e-05,0.09796645111608271,-0.008509575663625313,16298,238,2000,20260910,-1.9360210442079816e-05,4.750759896708119e-05,0.2625,0.0
42,G_minus_B,osi_target_t06h,v18_rule,all_counties,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,G_minus_B,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.0,0.0,0.0,0,238,2000,20260910,0.0,0.0,0.0,1.0
42,G_minus_A,osi_target_t06h,v18_rule,all_counties,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,G_minus_A,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.0,0.0,0.0,0,238,2000,20260910,0.0,0.0,0.0,1.0
