split_seed,comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,G_minus_B,osi_target_t01h,v18_rule,0,6864,0.006620343232609534,0.0026738201764924204,0.300841875168524,0.00017144239388025188,0.006613629391056501,0.002666556465825112,0.3002320033094992,0.0001817120635496489,-6.713841553033194e-06,-0.10141228811163527,0.0006098718590248353,136
42,G_minus_B,osi_target_t01h,v18_rule,1,6721,0.010543316288098507,0.0036747096345607915,0.7471165648362865,-0.000411349559126646,0.010499168837400048,0.0036567516701321973,0.7408729435225571,-0.00040536324629899726,-4.4147450698459045e-05,-0.4187245216981106,0.006243621313729464,124
42,G_minus_B,osi_target_t01h,v18_rule,2,6864,0.012954814732213871,0.004018496888837247,1.1519660706564447,-0.0004614993310006978,0.012953471738703173,0.004019953835882285,1.1517272401060608,-0.00046603191407301324,-1.34299351069872e-06,-0.01036675196410819,0.00023883055038398382,107
42,G_minus_B,osi_target_t01h,v18_rule,3,6864,0.01590148973819583,0.003907665063001949,1.735613028136054,0.0004932590319072748,0.015842786994115662,0.0038837293617479066,1.7228221278216778,0.0005045469238415974,-5.870274408016629e-05,-0.36916505966834157,0.012790900314376241,108
42,G_minus_B,osi_target_t01h,v18_rule,4,6864,0.010708809281040742,0.003184415100577655,0.7871538844383227,-0.00034958675723454887,0.010142330739740373,0.003150634477129997,0.7060782151345151,-0.0003317938394618829,-0.0005664785413003696,-5.289836866394504,0.08107566930380761,132
42,G_minus_A,osi_target_t01h,v18_rule,0,6864,0.0066210477909235945,0.002674924165033607,0.3009059117043011,0.00016947644075714517,0.006613629391056501,0.002666556465825112,0.3002320033094992,0.0001817120635496489,-7.418399867093785e-06,-0.11204268722033728,0.0006739083948019142,141
42,G_minus_A,osi_target_t01h,v18_rule,1,6721,0.010542975641947719,0.0036740989781378092,0.7470682881340304,-0.0004122859955544898,0.010499168837400048,0.0036567516701321973,0.7408729435225571,-0.00040536324629899726,-4.3806804547670206e-05,-0.41550702605605006,0.006195344611473308,125
42,G_minus_A,osi_target_t01h,v18_rule,2,6864,0.012954966983834245,0.004019172851147257,1.1519931478065435,-0.0004639014855132105,0.012953471738703173,0.004019953835882285,1.1517272401060608,-0.00046603191407301324,-1.4952451310723536e-06,-0.011541867555031615,0.00026590770048273704,118
42,G_minus_A,osi_target_t01h,v18_rule,3,6864,0.015901577595244742,0.003908416331296008,1.7356322070007346,0.0004924769715197644,0.015842786994115662,0.0038837293617479066,1.7228221278216778,0.0005045469238415974,-5.879060112908008e-05,-0.36971552524864837,0.012810079179056855,109
42,G_minus_A,osi_target_t01h,v18_rule,4,6864,0.010863149830558083,0.0031919389879833462,0.8100070783912817,-0.0003580847558184917,0.010142330739740373,0.003150634477129997,0.7060782151345151,-0.0003317938394618829,-0.0007208190908177103,-6.6354519827209195,0.10392886325676665,135
42,G_minus_C,osi_target_t01h,v18_rule,0,6864,0.006542650868638455,0.0026527175446121013,0.29382230858937897,0.00019210591643446106,0.006613629391056501,0.002666556465825112,0.3002320033094992,0.0001817120635496489,7.097852241804564e-05,1.0848587803802046,-0.006409694720120207,3337
42,G_minus_C,osi_target_t01h,v18_rule,1,6721,0.010444591182606594,0.0036447322561947142,0.7331904284953564,-0.00041002894242758345,0.010499168837400048,0.0036567516701321973,0.7408729435225571,-0.00040536324629899726,5.457765479345393e-05,0.5225446725415361,-0.0076825150272006315,3134
42,G_minus_C,osi_target_t01h,v18_rule,2,6864,0.012961300993899295,0.0040180221795205725,1.1531199001913781,-0.0005046200221376689,0.012953471738703173,0.004019953835882285,1.1517272401060608,-0.00046603191407301324,-7.829255196122042e-06,-0.0604048559616599,0.0013926600853173543,3330
