horizon,n,E0_rmse,E1_rmse,E2_rmse,E1_change_pct,E2_change_pct,E2_vs_E1_pct
osi_target_t01h,34177,0.011628814288783167,0.011627582891197898,0.011101490712958732,-0.010589192970922312,-4.534628920276729,-4.524518837336499
osi_target_t06h,32982,0.010427511705922264,0.010425352686841189,0.010146817077991867,-0.020705026682910077,-2.69186586260054,-2.6717140150173235
osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0,0.0,0.0
osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0,0.0,0.0
