domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,39119,1,Muskingum County,143,0.028681984583838076,0.019531048707302583,0.11763984227245608,0.01950727248352636,0.028529161104556663,0.01941326610679801,0.11638956376615407,0.019389489883021787,-0.00015282347928141302,-0.5328204498357025,0.0012502785063020078,121,1.2774152406506334
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,54013,1,Calhoun County,143,0.04323241938410713,0.02173013286073092,0.26727301826987504,-0.020299937083866078,0.04320677581767739,0.021767162864810737,0.2669560431479415,-0.020236099457478635,-2.5643566429742193e-05,-0.05931559416535448,0.00031697512193351596,111,0.3238549248219736
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,42053,1,Forest County,143,0.09508783745392434,0.03465426344235957,1.2929626469279427,-0.026517586342145835,0.09508783745392434,0.03465426344235957,1.2929626469279427,-0.026517586342145835,0.0,0.0,0.0,0,0.0
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,39115,1,Morgan County,143,0.031690122167604265,0.006678311589631365,0.14360972954866869,-0.005331572949344253,0.03169976357303805,0.006702296103241579,0.14369712651387098,-0.00524039855745086,9.641405433788441e-06,0.03042400841120063,-8.739696520229656e-05,94,-0.08929387714280937
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,54015,1,Clay County,143,0.05007024721654765,0.0264978276678463,0.35850524085464636,-0.023972505950862068,0.05007668878821752,0.026550088740170747,0.35859749067885455,-0.0239320964355485,6.4415716698670855e-06,0.012865068634493326,-9.224982420819039e-05,124,-0.09425206527738172
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,39117,1,Morrow County,143,0.04363246610813674,0.01869800775473918,0.2722422701109113,-0.015916039379035112,0.04365322055336542,0.018625304965808717,0.27250132404934946,-0.015764922960086653,2.075444522868508e-05,0.047566518878960906,-0.0002590539384381696,143,-0.26467658801098704
OSI,v18_rule,osi_target_t01h,E1_minus_E0,county,18013,1,Brown County,143,0.029011771952107804,0.013445112392466057,0.12036065638755859,-0.008328726338841583,0.029068761046036333,0.013334569077871639,0.12083398023147299,-0.008542919227232416,5.6989093928528495e-05,0.19643437850884737,-0.0004733238439143944,86,-0.48359712570595764
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,39117,1,Morrow County,143,0.04363246610813674,0.01869800775473918,0.2722422701109113,-0.015916039379035112,0.01889602213156497,0.010603645932844916,0.05105953029271281,-0.0056717663451987576,-0.024736443976571768,-56.69274781596365,0.22118273981819847,143,0.5399267484660245
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,39119,1,Muskingum County,143,0.028681984583838076,0.019531048707302583,0.11763984227245608,0.01950727248352636,0.02570617896463824,0.017602908567665814,0.09449549208556737,0.017576335141092386,-0.0029758056191998353,-10.375173344443755,0.023144350186888707,121,0.05649741816218193
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,54013,1,Calhoun County,143,0.04323241938410713,0.02173013286073092,0.26727301826987504,-0.020299937083866078,0.04308755682068436,0.021623101967256114,0.26548487004692556,-0.02012593412255579,-0.00014486256342276932,-0.33507854865976183,0.0017881482229494816,105,0.004365028919462623
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,18013,1,Brown County,143,0.029011771952107804,0.013445112392466057,0.12036065638755859,-0.008328726338841583,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,-0.00016828626130972052,-0.5800619885869995,0.0013922830358344407,92,0.003398686774114388
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,39115,1,Morgan County,143,0.031690122167604265,0.006678311589631365,0.14360972954866869,-0.005331572949344253,0.03165796843854411,0.006586400532790727,0.14331845608878732,-0.005619263004166435,-3.215372906015257e-05,-0.10146293816759577,0.00029127345988136377,94,0.0007110244327267992
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,42053,1,Forest County,143,0.09508783745392434,0.03465426344235957,1.2929626469279427,-0.026517586342145835,0.09523359914620216,0.03442158667300922,1.296929692106551,-0.02674722685808619,0.00014576169227782654,0.15329162612247593,-0.003967045178608242,143,-0.009683910263813158
OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,54015,1,Clay County,143,0.05007024721654765,0.0264978276678463,0.35850524085464636,-0.023972505950862068,0.05073104312598738,0.026853356181596132,0.36803033934106305,-0.024117463079891346,0.0006607959094397237,1.3197376609343614,-0.009525098486416694,122,-0.023251612936962422
