horizon,rmse,mae,rmse_std,mae_std,final_rounds,valid_rows
osi_target_t01h,0.011900408812564942,0.003488166127072245,0.0030370937514711646,0.000522912649771922,1435,34177
osi_target_t06h,0.010655281768276821,0.003297989657138615,0.0024962779881754515,0.0005546921934970904,1391,32982
osi_target_t24h,0.008731686091476362,0.0027337240770088918,0.0027337986410773956,0.0005183470240609462,956,28680
osi_target_t48h,0.007942428231321573,0.002103938576671536,0.0036010752138535707,0.0006468125654905899,553,22944
