model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C0_direct_osi,first_four_target_hours,956,0.03445346613620243,0.010173586350774033,1.1348115103313159,-7.708011479969907e-05,0.03445346613620243,0.010173586350774033,1.1348115103313159,-7.708011479969907e-05,0.0,0.0,0.0,0
C0_direct_osi,remaining_scoreable_hours,33221,0.011547299401417454,0.0035088023357094456,4.429692241663185,-0.00013774099797377097,0.011547299401417454,0.0035088023357094456,4.429692241663185,-0.00013774099797377097,0.0,0.0,0.0,0
C1_component_osi,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,-0.00037702743566940533,-1.1182554257434862,0.02416894579313844,55
C1_component_osi,remaining_scoreable_hours,33221,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.0,0.0,0.0,0
C1_component_osi,changed_final_predictions,55,0.05144381691329869,0.011997541714746512,0.1455556464234948,-0.009845682148434492,0.04697904767608573,0.010917486264298169,0.12138670063035648,-0.0082948047100263,-0.004464769237212958,-8.67892295926972,0.02416894579313833,55
C2_equal_blend,first_four_target_hours,956,0.03404140468414499,0.009943151784304766,1.1078292746234601,-0.00010580506589177482,0.03384673908642124,0.009909510292408854,1.0951952699257672,-6.209007496021348e-05,-0.00019466559772374908,-0.5718494860302181,0.012634004697692935,50
C2_equal_blend,remaining_scoreable_hours,33221,0.011441181090398418,0.0034472403673746865,4.348649654596848,-0.0001572947831921087,0.011441181090398418,0.0034472403673746865,4.348649654596848,-0.0001572947831921087,0.0,0.0,0.0,0
C2_equal_blend,changed_final_predictions,50,0.05444755563969181,0.013234885706765032,0.14822681575686678,-0.011272813201415148,0.052075485798823595,0.012591660381715166,0.1355928110591739,-0.010436982574803686,-0.002372069840868213,-4.356614016918314,0.01263400469769288,50
C3_aligned_component,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,-0.00037702743566940533,-1.1182554257434862,0.02416894579313844,55
C3_aligned_component,remaining_scoreable_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
C3_aligned_component,changed_final_predictions,55,0.05144381691329869,0.011997541714746512,0.1455556464234948,-0.009845682148434492,0.04697904767608573,0.010917486264298169,0.12138670063035648,-0.0082948047100263,-0.004464769237212958,-8.67892295926972,0.02416894579313833,55
v18_rule,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,-0.00037702743566940533,-1.1182554257434862,0.02416894579313844,55
v18_rule,remaining_scoreable_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
v18_rule,changed_final_predictions,55,0.05144381691329869,0.011997541714746512,0.1455556464234948,-0.009845682148434492,0.04697904767608573,0.010917486264298169,0.12138670063035648,-0.0082948047100263,-0.004464769237212958,-8.67892295926972,0.02416894579313833,55
