horizon,model,rmse,mae
osi_target_t01h,lightgbm_base,0.01195768483497515,0.003590930579439884
osi_target_t01h,gat_residual,0.006690354494990306,0.0027047566074337613
osi_target_t06h,lightgbm_base,0.010596681050203081,0.0034118912994682083
osi_target_t06h,gat_residual,0.006419437562154916,0.002607170625895244
osi_target_t24h,lightgbm_base,0.008450619198005915,0.0029179890995903236
osi_target_t24h,gat_residual,0.004712291304173674,0.0020574484393862903
osi_target_t48h,lightgbm_base,0.007640781626664056,0.0022908732973117786
osi_target_t48h,gat_residual,0.0036491644778137086,0.0016348518284453146
