case,horizon,P_self_sse_gain,P_other_cross_sse_gain,postprocessing_sse_gain,OSI_sse_gain
NB_P06,osi_target_t01h,0.0037482909869927597,0.006520212880978718,-5.729978946344481e-05,0.010211204078508175
NB_P06,osi_target_t06h,0.0037482909869927597,0.006520212880978715,-5.729978946344481e-05,0.010211204078508175
NB_P06,osi_target_t24h,0.0,0.0,0.0,0.0
NB_P06,osi_target_t48h,0.0,0.0,0.0,0.0
NB_P24,osi_target_t01h,0.004642710216764641,0.004427917093667702,0.00011502008417928233,0.009185647394611637
NB_P24,osi_target_t06h,0.004642710216764642,0.004427917093667702,0.00011502008417928233,0.00918564739461164
NB_P24,osi_target_t24h,0.011589581131888073,0.016442629697301567,0.00010854004011070348,0.028140750869300343
NB_P24,osi_target_t48h,0.0,0.0,0.0,0.0
NB_P48,osi_target_t01h,0.0006226676664550162,0.0007899230153354309,-1.626495350146644e-05,0.0013963257282889213
NB_P48,osi_target_t06h,0.0006226676664550164,0.0007899230153354307,-1.626495350146644e-05,0.0013963257282889213
NB_P48,osi_target_t24h,0.0,0.0,0.0,0.0
NB_P48,osi_target_t48h,0.001295327411387,0.004139714622997531,-0.0006807035963927815,0.004754338437991774
