case,horizon,direction,fipsCode,countyName,stateAbbr,sse_reduction
NB_P06,osi_target_t06h,worsened,54009,Brooke County,WV,-0.0060611992351397095
NB_P06,osi_target_t06h,worsened,39075,Holmes County,OH,-0.004490166351797092
NB_P06,osi_target_t06h,worsened,39111,Monroe County,OH,-0.003935091165982521
NB_P06,osi_target_t06h,worsened,54015,Clay County,WV,-0.0038865363924334706
NB_P06,osi_target_t06h,worsened,39055,Geauga County,OH,-0.0037445886446569702
NB_P06,osi_target_t06h,improved,39139,Richland County,OH,0.0029104429435846263
NB_P06,osi_target_t06h,improved,39107,Mercer County,OH,0.0032745870269571473
NB_P06,osi_target_t06h,improved,39059,Guernsey County,OH,0.004281914187750549
NB_P06,osi_target_t06h,improved,39117,Morrow County,OH,0.005106960687174828
NB_P06,osi_target_t06h,improved,42053,Forest County,PA,0.008228234004924895
NB_P24,osi_target_t24h,worsened,54015,Clay County,WV,-0.02784622804577641
NB_P24,osi_target_t24h,worsened,18121,Parke County,IN,-0.004123459066744856
NB_P24,osi_target_t24h,worsened,39159,Union County,OH,-0.0028209394089564995
NB_P24,osi_target_t24h,worsened,18027,Daviess County,IN,-0.002610376063805166
NB_P24,osi_target_t24h,worsened,54013,Calhoun County,WV,-0.0024939872231627414
NB_P24,osi_target_t24h,improved,39139,Richland County,OH,0.005563775457945768
NB_P24,osi_target_t24h,improved,54109,Wyoming County,WV,0.0056517922438428896
NB_P24,osi_target_t24h,improved,39157,Tuscarawas County,OH,0.0071945928734298
NB_P24,osi_target_t24h,improved,18013,Brown County,IN,0.008444460479934496
NB_P24,osi_target_t24h,improved,39119,Muskingum County,OH,0.008606606223275692
NB_P48,osi_target_t48h,worsened,54013,Calhoun County,WV,-0.004366800177881575
NB_P48,osi_target_t48h,worsened,39157,Tuscarawas County,OH,-0.0035379939683815725
NB_P48,osi_target_t48h,worsened,54103,Wetzel County,WV,-0.002059584032842121
NB_P48,osi_target_t48h,worsened,54045,Logan County,WV,-0.0020115943446217463
NB_P48,osi_target_t48h,worsened,54085,Ritchie County,WV,-0.0015668529448346312
NB_P48,osi_target_t48h,improved,54095,Tyler County,WV,0.0010236255410713962
NB_P48,osi_target_t48h,improved,39119,Muskingum County,OH,0.0012114378692260723
NB_P48,osi_target_t48h,improved,54033,Harrison County,WV,0.0016415643511751366
NB_P48,osi_target_t48h,improved,54015,Clay County,WV,0.0028501698599440184
NB_P48,osi_target_t48h,improved,54101,Webster County,WV,0.0053183329865888924
