case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P06,osi_target_t01h,18013,Brown County,IN,1,143,0.028921506399844952,0.013026988687641815,0.11961285513838697,-0.008843174995147996,0.029030526797628693,-0.00010902039778374131,-0.37553709770311583,0.0009034673807538085
NB_P06,osi_target_t01h,39115,Morgan County,OH,2,143,0.03169232399113709,0.006808138313027589,0.1436296861941661,-0.005267549799960059,0.03168935177603044,2.9722151066516322e-06,0.009379223430183714,-2.693890831059753e-05
NB_P06,osi_target_t01h,39117,Morrow County,OH,4,143,0.014486655515331816,0.008840854267690348,0.030010435886844804,-0.0010366842763325644,0.015670871061249887,-0.00118421554591807,-7.556794649700982,0.005106960687174828
NB_P06,osi_target_t01h,42053,Forest County,PA,3,143,0.09398024042092833,0.03403601958099141,1.2630168393092953,-0.025713445367903057,0.09428587215225846,-0.000305631731330136,-0.32415432381702747,0.008228234004924895
NB_P06,osi_target_t01h,42131,Wyoming County,PA,3,143,0.01603449973498798,0.003560299508719672,0.03676604099044014,-0.0033466365113143954,0.015883138738186208,0.00015136099680177276,0.9529665344915061,-0.0006908452372047375
NB_P06,osi_target_t01h,54013,Calhoun County,WV,2,143,0.043628374997987,0.021799218065748506,0.2721912200099918,-0.020426970512644534,0.04349600795892995,0.00013236703905705055,0.30431997157540636,-0.001649132714040269
NB_P06,osi_target_t01h,54015,Clay County,WV,2,143,0.05013844595605722,0.026445847194538807,0.35948251809305126,-0.0237222903833502,0.04986667410924461,0.00027177184681261013,0.5449969376686958,-0.0038865363924334706
NB_P06,osi_target_t06h,18013,Brown County,IN,1,138,0.029423181105519218,0.013315100956550007,0.11946985491880927,-0.009347459961123489,0.029534225086264063,-0.00011104398074484462,-0.37598406736761847,0.0009034673807538501
NB_P06,osi_target_t06h,39115,Morgan County,OH,2,138,0.032252606319977575,0.006925122610823056,0.1435518247915411,-0.00558809043379458,0.03224957991898415,3.026400993422218e-06,0.009384311364746267,-2.6938908310569776e-05
NB_P06,osi_target_t06h,39117,Morrow County,OH,4,138,0.012643315424892582,0.0078012103946939184,0.022059772640799082,0.0002857193789594362,0.014030694438786469,-0.0013873790138938871,-9.888170681407004,0.005106960687174828
NB_P06,osi_target_t06h,42053,Forest County,PA,3,138,0.06878276151915566,0.02373565509062987,0.6528874229437437,-0.015111538333589043,0.06921483342676409,-0.00043207190760842507,-0.6242475582428408,0.008228234004924895
NB_P06,osi_target_t06h,42131,Wyoming County,PA,3,138,0.016322393036055687,0.003688571230050096,0.03676603099044014,-0.0034671668196953522,0.016168314368424388,0.0001540786676312994,0.9529667974059519,-0.0006908452372047444
NB_P06,osi_target_t06h,54013,Calhoun County,WV,2,138,0.04441135449712298,0.02255755681058721,0.2721868403411394,-0.021189870484414272,0.04427660975290297,0.00013474474422001115,0.30432489066345436,-0.0016491327140403245
NB_P06,osi_target_t06h,54015,Clay County,WV,2,138,0.051024950404817054,0.02718082877098732,0.3592892878063375,-0.024804994951028097,0.05074822417210767,0.00027672623270938446,0.545292445644785,-0.0038865363924334706
NB_P06,osi_target_t24h,18013,Brown County,IN,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0
NB_P06,osi_target_t24h,39115,Morgan County,OH,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0
NB_P06,osi_target_t24h,39117,Morrow County,OH,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0
NB_P06,osi_target_t24h,42053,Forest County,PA,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0
NB_P06,osi_target_t24h,42131,Wyoming County,PA,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0
NB_P06,osi_target_t24h,54013,Calhoun County,WV,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0
NB_P06,osi_target_t24h,54015,Clay County,WV,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0
NB_P06,osi_target_t48h,18013,Brown County,IN,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0
NB_P06,osi_target_t48h,39115,Morgan County,OH,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0
NB_P06,osi_target_t48h,39117,Morrow County,OH,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0
NB_P06,osi_target_t48h,42053,Forest County,PA,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0
NB_P06,osi_target_t48h,42131,Wyoming County,PA,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0
NB_P06,osi_target_t48h,54013,Calhoun County,WV,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0
