horizon,kind,supported_rows,all_valid_rows,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clip_low_rows,clip_high_rows
osi_target_t06h,a,25668,32982,0.33184982032408755,0.3318138335088156,0.008640654980783537,0.008640582745406565,1031,0
osi_target_t06h,b,32982,32982,0.013536512271493422,0.013522301475452591,0.012966066628375062,0.012952572339092756,12084,0
osi_target_t24h,direct,28680,28680,0.01354682878384225,0.013537162835787092,0.01354682878384225,0.013537162835787092,6370,0
osi_target_t48h,direct,22944,22944,0.01233690352804012,0.012332158259541832,0.01233690352804012,0.012332158259541832,4758,0
