model,horizon,target_day,rmse,mae,n
C2_equal_blend,osi_target_t48h,2026-03-17,0.010353039461137945,0.0035387782776797605,5736
C2_equal_blend,osi_target_t48h,2026-03-18,0.005431748248081681,0.000920305410430118,5736
C2_equal_blend,osi_target_t48h,2026-03-19,0.001115379065891658,0.0004546707527708212,5736
C3_aligned_component,osi_target_t01h,2026-03-14,0.022038915928468662,0.007277729957566081,5497
C3_aligned_component,osi_target_t01h,2026-03-15,0.010572394360004338,0.004886182176397557,5736
C3_aligned_component,osi_target_t01h,2026-03-16,0.009829843568113655,0.004304667789577551,5736
C3_aligned_component,osi_target_t01h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736
C3_aligned_component,osi_target_t01h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736
C3_aligned_component,osi_target_t01h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736
C3_aligned_component,osi_target_t06h,2026-03-14,0.018816901895799633,0.006782494457740367,4302
C3_aligned_component,osi_target_t06h,2026-03-15,0.010572394360004338,0.004886182176397557,5736
C3_aligned_component,osi_target_t06h,2026-03-16,0.009829843568113655,0.004304667789577551,5736
C3_aligned_component,osi_target_t06h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736
C3_aligned_component,osi_target_t06h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736
C3_aligned_component,osi_target_t06h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736
C3_aligned_component,osi_target_t24h,2026-03-15,0.010572394360004338,0.004886182176397557,5736
C3_aligned_component,osi_target_t24h,2026-03-16,0.009829843568113655,0.004304667789577551,5736
C3_aligned_component,osi_target_t24h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736
C3_aligned_component,osi_target_t24h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736
C3_aligned_component,osi_target_t24h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736
C3_aligned_component,osi_target_t48h,2026-03-16,0.009829843568113655,0.004304667789577551,5736
C3_aligned_component,osi_target_t48h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736
C3_aligned_component,osi_target_t48h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736
C3_aligned_component,osi_target_t48h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736
