target_kind,target,rank,feature,importance_gain,importance_fraction
direct_osi,osi_target_t01h,72,d2m_t,0.10413924983004108,0.0007636838376133553
direct_osi,osi_target_t01h,73,gust_mean_next_24h,0.1028098859678721,0.0007539352202812487
direct_osi,osi_target_t01h,74,t2m_t,0.0996245129063027,0.000730575940011229
direct_osi,osi_target_t01h,75,pct_water,0.097651352363755,0.0007161061717171483
direct_osi,osi_target_t01h,76,gust_max_next_1h,0.09664879555930384,0.0007087541269396203
direct_osi,osi_target_t01h,77,gust_peak4h_mean_next_6h,0.09616377715428825,0.0007051973439067108
direct_osi,osi_target_t01h,78,vpd_t,0.09552344441181049,0.000700501595023144
direct_osi,osi_target_t01h,79,gust_at_t48h,0.09501078173343558,0.0006967420883792853
direct_osi,osi_target_t01h,80,outage_pct_mean_72h,0.09289038405404426,0.0006811925867292659
direct_osi,osi_target_t01h,81,gust_t,0.09266118946834467,0.000679511835225362
direct_osi,osi_target_t01h,82,gust_gt40_next_48h,0.0827107727091061,0.0006065424939928358
direct_osi,osi_target_t01h,83,n_utilities,0.08254992381262127,0.0006053629415883017
direct_osi,osi_target_t01h,84,gust_gt40_obs,0.07966276074876077,0.0005841905231963605
direct_osi,osi_target_t01h,85,gust_max_next_48h,0.07845364947570488,0.0005753237535718829
direct_osi,osi_target_t01h,86,pct_agriculture,0.0778855877724709,0.0005711579895373338
direct_osi,osi_target_t01h,87,hours_since_peak,0.07029495949973352,0.0005154936733579763
direct_osi,osi_target_t01h,88,gust_max_next_24h,0.06918649734870996,0.0005073649934344665
direct_osi,osi_target_t01h,89,gust_at_t24h,0.06826144843944348,0.0005005813369153192
direct_osi,osi_target_t01h,90,min_t2m_next_1h,0.06825890544860158,0.0005005626884133534
direct_osi,osi_target_t01h,91,gust_gt30_obs,0.06549178113345988,0.0004802705495743521
direct_osi,osi_target_t01h,92,wind_speed_max_next_1h,0.06499533235910349,0.0004766299442713785
direct_osi,osi_target_t01h,93,gust_gt30_frac_next_48h,0.0630516050150618,0.0004623760183040381
direct_osi,osi_target_t01h,94,osi_max_72h,0.06200571892259177,0.000454706227076355
direct_osi,osi_target_t01h,95,tree_canopy_pct,0.06113280006684363,0.00044830485561678745
direct_osi,osi_target_t01h,96,gust_mean_next_6h,0.060103659707237966,0.0004407578657877929
direct_osi,osi_target_t01h,97,osi_std_72h,0.05901991315477062,0.0004328104326390114
direct_osi,osi_target_t01h,98,days_since_onset,0.056257080868817866,0.00041254976851609946
direct_osi,osi_target_t01h,99,N_t_max_72h,0.05331108544487506,0.0003909459150735234
direct_osi,osi_target_t01h,100,wind_speed_at_t1h,0.0522990384924924,0.000383524276241845
direct_osi,osi_target_t01h,101,diffuse_rad_t,0.051779415749479085,0.00037971372939093887
direct_osi,osi_target_t01h,102,gust_at_t6h,0.04627238250395749,0.0003393290301572878
direct_osi,osi_target_t01h,103,dewpoint_c_t,0.046106925889034756,0.00033811568799428074
direct_osi,osi_target_t01h,104,hour_sin,0.04012673947727308,0.00029426121702362507
direct_osi,osi_target_t01h,105,et0_t,0.04002646042499691,0.00029352584115334104
direct_osi,osi_target_t01h,106,wind_speed_at_t6h,0.03927527960331645,0.00028801721060742555
direct_osi,osi_target_t01h,107,storm_onset_max_osi,0.03869819495594129,0.0002837852786619346
direct_osi,osi_target_t01h,108,soil_gust_x_phase,0.03712183065363206,0.00027222533424300585
direct_osi,osi_target_t01h,109,tp_at_t24h,0.03316442799405195,0.0002432045332003463
direct_osi,osi_target_t01h,110,hcc_t,0.03184229222824797,0.0002335089216310013
direct_osi,osi_target_t01h,111,gust_change_3h,0.03107543315854855,0.00022788531786765133
direct_osi,osi_target_t01h,112,gust_change_1h,0.030718492220330518,0.00022526776467858445
direct_osi,osi_target_t01h,113,wind_speed_t,0.028578774028574117,0.00020957658001229874
direct_osi,osi_target_t01h,114,gust_gt30_next_24h,0.02680650635738857,0.0001965800184025508
direct_osi,osi_target_t01h,115,lcc_t,0.02660407313669566,0.00019509551588220905
direct_osi,osi_target_t01h,116,cumul_gust_obs,0.022353435881086625,0.00016392433904961588
direct_osi,osi_target_t01h,117,wind_change_1h,0.022157398867420852,0.0001624867418021336
direct_osi,osi_target_t01h,118,tp_rate_next_24h,0.02167727251071483,0.0001589658336025164
direct_osi,osi_target_t01h,119,r2_t,0.02070960327546345,0.00015186962966093608
direct_osi,osi_target_t01h,120,total_tp_next_1h,0.015318320991354994,0.00011233376637111679
direct_osi,osi_target_t01h,121,tp_rate_next_6h,0.015201724978396669,0.00011147873341503395
direct_osi,osi_target_t01h,122,sdswrf_t,0.01505054734298028,0.00011037010322070739
direct_osi,osi_target_t01h,123,gust_exceed_30,0.014888505276758224,0.00010918180095053337
direct_osi,osi_target_t01h,124,gust_gt30_next_6h,0.00956606914405711,7.01508067969665e-05
direct_osi,osi_target_t01h,125,gust_exceed30_x_hso,0.0091250890691299,6.691696982885836e-05
direct_osi,osi_target_t01h,126,gust_at_t1h,0.008753346904995851,6.419087488413859e-05
direct_osi,osi_target_t01h,127,tp_t,0.007312672008993104,5.362598090681306e-05
direct_osi,osi_target_t01h,128,direct_rad_t,0.007118863970390521,5.2204729390963925e-05
direct_osi,osi_target_t01h,129,tcc_t,0.0060681579052470624,4.44995918818889e-05
direct_osi,osi_target_t01h,130,gust_gt40_next_6h,0.0055723309342283756,4.086354644620797e-05
direct_osi,osi_target_t01h,131,hour_cos,0.004381635953905061,3.213182892870808e-05
direct_osi,osi_target_t01h,132,tp_at_t48h,0.0037808740307809785,2.7726264535915314e-05
direct_osi,osi_target_t01h,133,storm_phase,0.003445979906246066,2.527038713487406e-05
direct_osi,osi_target_t01h,134,hour_of_day,0.0020386449759826064,1.4949984960814167e-05
direct_osi,osi_target_t01h,135,tp_at_t6h,0.0019136449554935098,1.40333229385252e-05
direct_osi,osi_target_t01h,136,gust_gt30_frac_next_6h,0.001480891980463639,1.0859817720763656e-05
direct_osi,osi_target_t01h,137,temp_c_t,0.0008994010277092457,6.5955730381711886e-06
direct_osi,osi_target_t01h,138,tp_at_t1h,0.0008866610005497932,6.502146661004964e-06
direct_osi,osi_target_t01h,139,gust_gt40_next_24h,0.0007956590270623565,5.834802345996976e-06
direct_osi,osi_target_t01h,140,gust_gt30_frac_next_24h,0.0006212670123204589,4.55593426038495e-06
direct_osi,osi_target_t01h,141,rain_t,0.000512578000780195,3.7588856780786966e-06
direct_osi,osi_target_t01h,142,gust_gt30_next_1h,0.0004623729910235852,3.3907175322459086e-06
direct_osi,osi_target_t01h,143,is_worsening,0.0,0.0
direct_osi,osi_target_t01h,144,csnow_t,0.0,0.0
direct_osi,osi_target_t01h,145,gust_peak4h_mean_next_1h,0.0,0.0
direct_osi,osi_target_t01h,146,gust_gt40_next_1h,0.0,0.0
direct_osi,osi_target_t01h,147,icing_risk_t,0.0,0.0
direct_osi,osi_target_t01h,148,is_snowing,0.0,0.0
direct_osi,osi_target_t01h,149,has_weather_at_t1h,0.0,0.0
direct_osi,osi_target_t01h,150,gust_gt30_frac_next_1h,0.0,0.0
direct_osi,osi_target_t01h,151,window_len_next_1h,0.0,0.0
direct_osi,osi_target_t01h,152,is_metro,0.0,0.0
direct_osi,osi_target_t01h,153,window_len_next_6h,0.0,0.0
direct_osi,osi_target_t01h,154,is_full_next_6h,0.0,0.0
direct_osi,osi_target_t01h,155,window_len_next_24h,0.0,0.0
direct_osi,osi_target_t01h,156,has_weather_at_t6h,0.0,0.0
direct_osi,osi_target_t01h,157,is_full_next_24h,0.0,0.0
direct_osi,osi_target_t01h,158,has_weather_at_t24h,0.0,0.0
direct_osi,osi_target_t01h,159,is_full_next_1h,0.0,0.0
direct_osi,osi_target_t01h,160,tp_rate_next_1h,0.0,0.0
direct_osi,osi_target_t01h,161,is_full_next_48h,0.0,0.0
direct_osi,osi_target_t01h,162,window_len_next_48h,0.0,0.0
direct_osi,osi_target_t01h,163,has_weather_at_t48h,0.0,0.0
direct_osi,osi_target_t06h,1,hours_since_obs,17.352114558336325,0.18599462656879204
direct_osi,osi_target_t06h,2,last_osi,13.00694926000142,0.13941947318754555
direct_osi,osi_target_t06h,3,last_P_t,10.779256423862535,0.11554117894423283
direct_osi,osi_target_t06h,4,gust_x_hso,9.810064042467275,0.10515255602194312
direct_osi,osi_target_t06h,5,cumul_gust_since_onset,7.402979755788692,0.07935139262394658
direct_osi,osi_target_t06h,6,pct_forest,2.1236298214716953,0.022762858917688502
direct_osi,osi_target_t06h,7,last_outage_pct,1.6338612834733794,0.01751310586748308
direct_osi,osi_target_t06h,8,total_tp_next_6h,1.4397913162392797,0.01543289996735647
direct_osi,osi_target_t06h,9,pressure_change_6h,1.3754151359607931,0.014742861668533115
direct_osi,osi_target_t06h,10,t2m_at_t48h,1.3376345047872746,0.014337896938555817
direct_osi,osi_target_t06h,11,gust_max_next_1h,1.2694547013670672,0.013607088192795037
direct_osi,osi_target_t06h,12,wind_sin_t,1.1731649969005957,0.01257497377443692
direct_osi,osi_target_t06h,13,N_t_mean_72h,1.146406592517451,0.012288154585104821
