model,horizon,rmse,mae,n,rmse_change_pct_vs_C0,mae_change_pct_vs_C0,prediction_mean,prediction_max,zero_pct
C0_direct_osi,osi_target_t01h,0.011979379161386963,0.0035894603675201875,34177,0.0,0.0,0.005601587468028269,0.294342243199764,51.40006437077567
C0_direct_osi,osi_target_t06h,0.010676993494381172,0.0035510141183561625,32982,0.0,0.0,0.004992951928336845,0.2650159300735802,41.525680674307196
C0_direct_osi,osi_target_t24h,0.008463831869463107,0.0029427287130505816,28680,0.0,0.0,0.0030622965155032837,0.1201706406684069,43.333333333333336
C0_direct_osi,osi_target_t48h,0.007644415252022217,0.0023030616654518086,22944,0.0,0.0,0.0020382487502286083,0.06160437370759144,46.90115062761506
C1_component_osi,osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,-0.951234996905781,-1.742337815981465,0.00562748524698006,0.2926764026968674,51.58732480908213
C1_component_osi,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,-1.5400570335467934,-4.559446957595359,0.004828756502075627,0.257321594928204,47.541083014977865
C1_component_osi,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,-1.0752588483536885,-0.6088107596687986,0.003075882620338982,0.12131757109497565,42.62900976290098
C1_component_osi,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,-0.6669812735540237,0.15635338210788774,0.0020663867687127366,0.061932949881020403,46.71373779637378
C2_equal_blend,osi_target_t01h,0.011900940279087323,0.003532878827257618,34177,-0.6547825329084711,-1.5763244184155534,0.00560606093629228,0.29276124120934766,51.195248266377966
C2_equal_blend,osi_target_t06h,0.010567195925244516,0.0034340061138569446,32982,-1.0283566173795777,-3.2950588366960187,0.004883877173789123,0.2611687625008921,45.7067491358923
C2_equal_blend,osi_target_t24h,0.00840302098047452,0.0029195064012712303,28680,-0.7184794065674738,-0.7891421209289096,0.003062943825747351,0.12074410588169127,42.82775453277545
C2_equal_blend,osi_target_t48h,0.007607652953164135,0.0022918712439553746,22944,-0.48090400175941905,-0.48589326392346477,0.0020461532998574112,0.060961260574855694,46.827057182705715
C3_aligned_component,osi_target_t01h,0.011676613766703986,0.003502269606663691,34177,-2.5273880274102933,-2.4290771294051883,0.005605508037151523,0.2926764026968674,42.22137694941042
C3_aligned_component,osi_target_t06h,0.01032059984086345,0.003300881630204454,32982,-3.3379588898810986,-7.043973349998955,0.004790710156182373,0.2724774255106815,42.59899339033412
C3_aligned_component,osi_target_t24h,0.008329503508198619,0.002778639706074067,28680,-1.5870868341458344,-5.576083389841657,0.003053194118583182,0.13341913184272436,43.69595536959554
C3_aligned_component,osi_target_t48h,0.007666935844292914,0.0022517540884931945,22944,0.2946018960016561,-2.2277986615937495,0.0020974852854349214,0.05405995210824589,48.81014644351465
