candidate,horizon,fold,rmse,mae,n
L0,osi_target_t01h,0,0.01032889515431733,0.0033163937393729894,6864
L0,osi_target_t01h,1,0.009128825179162282,0.0034076109182033876,6864
L0,osi_target_t01h,2,0.007897741228747618,0.002975379559712814,6864
L0,osi_target_t01h,3,0.015279319269127336,0.0031939733662273064,6721
L0,osi_target_t01h,4,0.012350190393401898,0.0037906114964491645,6864
L1,osi_target_t01h,0,0.01032889515431733,0.0033163937393729894,6864
L1,osi_target_t01h,1,0.009128825179162282,0.0034076109182033876,6864
L1,osi_target_t01h,2,0.007897741228747618,0.002975379559712814,6864
L1,osi_target_t01h,3,0.015279319269127336,0.0031939733662273064,6721
L1,osi_target_t01h,4,0.012350190393401898,0.0037906114964491645,6864
L2,osi_target_t01h,0,0.01032889515431733,0.0033163937393729894,6864
L2,osi_target_t01h,1,0.009128825179162282,0.0034076109182033876,6864
L2,osi_target_t01h,2,0.007897741228747618,0.002975379559712814,6864
L2,osi_target_t01h,3,0.015279319269127336,0.0031939733662273064,6721
L2,osi_target_t01h,4,0.012350190393401898,0.0037906114964491645,6864
L0,osi_target_t06h,0,0.010377520213846135,0.0032750793699886822,6624
L0,osi_target_t06h,1,0.008723310788985644,0.003279990645958768,6624
L0,osi_target_t06h,2,0.007782321396237782,0.0028823248684384894,6624
L0,osi_target_t06h,3,0.011893618884585877,0.002891234293984512,6486
L0,osi_target_t06h,4,0.012176960915303606,0.003713330428144963,6624
L1,osi_target_t06h,0,0.010377520213846135,0.0032750793699886822,6624
L1,osi_target_t06h,1,0.008723310788985644,0.003279990645958768,6624
L1,osi_target_t06h,2,0.007782321396237782,0.0028823248684384894,6624
L1,osi_target_t06h,3,0.011893618884585877,0.002891234293984512,6486
L1,osi_target_t06h,4,0.012176960915303606,0.003713330428144963,6624
L2,osi_target_t06h,0,0.010377520213846135,0.0032750793699886822,6624
L2,osi_target_t06h,1,0.008723310788985644,0.003279990645958768,6624
L2,osi_target_t06h,2,0.007782321396237782,0.0028823248684384894,6624
L2,osi_target_t06h,3,0.011893618884585877,0.002891234293984512,6486
L2,osi_target_t06h,4,0.012176960915303606,0.003713330428144963,6624
L0,osi_target_t24h,0,0.010292288527218797,0.0031032469357711425,5760
L0,osi_target_t24h,1,0.006936390394075493,0.0030706789773871325,5760
L0,osi_target_t24h,2,0.006425406407371111,0.0026138385184966677,5760
L0,osi_target_t24h,3,0.006297646551881186,0.002443474538539895,5640
L0,osi_target_t24h,4,0.011983782189686838,0.003539471774807722,5760
L1,osi_target_t24h,0,0.010272279766164577,0.0030044243985436333,5760
L1,osi_target_t24h,1,0.007216370257719264,0.0029317801270562246,5760
L1,osi_target_t24h,2,0.006364348516245061,0.002380001742113701,5760
L1,osi_target_t24h,3,0.005463193360048352,0.0020145569843235266,5640
L1,osi_target_t24h,4,0.012301139962822342,0.0033926639040581506,5760
L2,osi_target_t24h,0,0.010198239454043372,0.002993857750614943,5760
L2,osi_target_t24h,1,0.007090573353410486,0.0029034702873889317,5760
L2,osi_target_t24h,2,0.006353968668568384,0.0023882703092476384,5760
L2,osi_target_t24h,3,0.005727586859213692,0.00205442082402579,5640
L2,osi_target_t24h,4,0.011928892281543447,0.0033543129185204263,5760
L0,osi_target_t48h,0,0.009747827678557438,0.0024350176144370735,4608
L0,osi_target_t48h,1,0.005400262868545189,0.0022557715794543267,4608
L0,osi_target_t48h,2,0.004382269551473135,0.0017654079598535012,4608
L0,osi_target_t48h,3,0.003945728344992405,0.0015838545188318462,4512
L0,osi_target_t48h,4,0.012320193244812688,0.0031957518067621967,4608
L1,osi_target_t48h,0,0.009691302234728437,0.0023773505029009915,4608
L1,osi_target_t48h,1,0.005198604799609464,0.002102332734482242,4608
L1,osi_target_t48h,2,0.004378802779317359,0.001662307006223697,4608
L1,osi_target_t48h,3,0.003631254833117316,0.0013730212349896073,4512
L1,osi_target_t48h,4,0.012582980834513905,0.003180985674446343,4608
L2,osi_target_t48h,0,0.009705311939191984,0.0023831671454663606,4608
L2,osi_target_t48h,1,0.005322905002131675,0.002136367979991073,4608
L2,osi_target_t48h,2,0.00438995975463438,0.0016699097726282101,4608
L2,osi_target_t48h,3,0.003693460477329475,0.001390598640141218,4512
L2,osi_target_t48h,4,0.01230797121998681,0.0031148419587499706,4608
