candidate,horizon,fipsCode,rmse,mae,n
L0,osi_target_t01h,18009,0.005356287653721213,0.0033832658846074783,143
L0,osi_target_t01h,18013,0.027935266537810664,0.01254115420927679,143
L0,osi_target_t01h,18023,0.0015095569294524983,0.0005690673959322639,143
L0,osi_target_t01h,18025,0.01196696435454542,0.0021933224283832283,143
L0,osi_target_t01h,18027,0.0021963839010535847,0.0007428326762167433,143
L0,osi_target_t01h,18029,0.0015055141604735467,0.0004437443511228429,143
L0,osi_target_t01h,18033,0.0033698464704762666,0.001378876087846137,143
L0,osi_target_t01h,18035,0.00181116410601439,0.0008302383133646843,143
L0,osi_target_t01h,18037,0.002371848209388276,0.0008932436025360029,143
L0,osi_target_t01h,18039,0.0009413684745680799,0.0005628760947501318,143
L0,osi_target_t01h,18041,0.005613527564155656,0.0020921054429417175,143
L0,osi_target_t01h,18043,0.0019059758770906174,0.0007395455096481867,143
L0,osi_target_t01h,18045,0.003245661863536794,0.001395574215815724,143
L0,osi_target_t01h,18047,0.0031866428206602797,0.0012087780983114074,143
L0,osi_target_t01h,18051,0.0013190503110531784,0.0004096271474722046,143
L0,osi_target_t01h,18059,0.0011893608949388118,0.00036390147529418614,143
L0,osi_target_t01h,18061,0.003875058604265313,0.0015342409850689152,143
L0,osi_target_t01h,18065,0.0023584687705192064,0.0008293505149849772,143
L0,osi_target_t01h,18067,0.0016477777036486268,0.0005174169703118995,143
L0,osi_target_t01h,18069,0.0011292708154775173,0.0006557960355706706,143
L0,osi_target_t01h,18071,0.004615004372600369,0.0018127054660086544,143
L0,osi_target_t01h,18073,0.003448779260324671,0.0019125321824976515,143
L0,osi_target_t01h,18077,0.005121118161717356,0.00150137377252936,143
L0,osi_target_t01h,18083,0.0014319729194060932,0.0006196453784824513,143
L0,osi_target_t01h,18085,0.002308383323690957,0.0016808748945853554,143
L0,osi_target_t01h,18087,0.0016728589588604383,0.0014998854384926088,143
L0,osi_target_t01h,18089,0.0022480367714673008,0.001346583231881009,143
L0,osi_target_t01h,18091,0.0014915533435694507,0.0008415908407516342,143
L0,osi_target_t01h,18093,0.007541084740762152,0.002431795726359817,143
L0,osi_target_t01h,18095,0.001466198274550524,0.0007400108068273605,143
L0,osi_target_t01h,18097,0.0006817681046894271,0.0002996706350232638,143
L0,osi_target_t01h,18099,0.008793563109609088,0.00258843033957295,143
L0,osi_target_t01h,18101,0.0035888867963367117,0.0019494625334837584,143
L0,osi_target_t01h,18103,0.00381790472272392,0.0021835803408830714,143
L0,osi_target_t01h,18105,0.00217807259656696,0.000811436436600187,143
L0,osi_target_t01h,18107,0.0011343220535620067,0.0005283958371844587,143
L0,osi_target_t01h,18109,0.0034769046035050665,0.001539456930523744,143
L0,osi_target_t01h,18111,0.00442361195709987,0.0029162159419473845,143
L0,osi_target_t01h,18113,0.0009917235093291977,0.0005820391923528137,143
L0,osi_target_t01h,18117,0.012585213410660167,0.003406006889453806,143
L0,osi_target_t01h,18121,0.021892961326343517,0.00930583170485926,143
L0,osi_target_t01h,18123,0.004808691636214589,0.0020101750514161226,143
L0,osi_target_t01h,18125,0.00359213191320294,0.0012450663887230975,143
L0,osi_target_t01h,18127,0.0028443941332973502,0.0020169077709886363,143
L0,osi_target_t01h,18129,0.001549068323472795,0.0007237888392931268,143
L0,osi_target_t01h,18131,0.01782139165719121,0.004153389868150477,143
L0,osi_target_t01h,18133,0.0016062527774156274,0.0006381783747674604,143
L0,osi_target_t01h,18135,0.0032442985537368,0.002052439929125142,143
L0,osi_target_t01h,18137,0.0037645021558769167,0.0013037919139616647,143
L0,osi_target_t01h,18139,0.002978295843707969,0.0008842232789267504,143
L0,osi_target_t01h,18141,0.0013668080904497457,0.0008699097385637586,143
L0,osi_target_t01h,18143,0.0036402685757324295,0.0016169746330473914,143
L0,osi_target_t01h,18145,0.0013629083552501163,0.0004942434771457368,143
L0,osi_target_t01h,18147,0.001723993982191274,0.0006850503968412208,143
L0,osi_target_t01h,18149,0.002129913383930105,0.001175621661862525,143
L0,osi_target_t01h,18151,0.011334975925170177,0.008606132860729065,143
L0,osi_target_t01h,18153,0.0025106959682435247,0.0011496304183318824,143
L0,osi_target_t01h,18155,0.003991433765233848,0.0014978080611789842,143
L0,osi_target_t01h,18157,0.001076309222564514,0.00041963679405265645,143
L0,osi_target_t01h,18159,0.004066335996978321,0.0012820630683741906,143
L0,osi_target_t01h,18161,0.00239413076264183,0.0010367507674654377,143
L0,osi_target_t01h,18163,0.0009445691626409952,0.0003855457179934135,143
L0,osi_target_t01h,18165,0.01375670722439429,0.003023361966837148,143
L0,osi_target_t01h,18167,0.001465545355408522,0.0006193357984091408,143
L0,osi_target_t01h,18169,0.0014901063118989105,0.00045462750963243026,143
L0,osi_target_t01h,18171,0.003827620766110035,0.001724618761038894,143
L0,osi_target_t01h,18173,0.0014331814472222928,0.0005644701436537093,143
L0,osi_target_t01h,18175,0.0030905082914085783,0.0010033391556128412,143
L0,osi_target_t01h,18177,0.002755815759479363,0.0016756586880507572,143
L0,osi_target_t01h,18179,0.0047208588449868406,0.0014459768563000067,143
L0,osi_target_t01h,18181,0.0022157857030073633,0.0009253634317870327,143
L0,osi_target_t01h,18183,0.0027370864157434224,0.0008840727650511024,143
L0,osi_target_t01h,39017,0.0007933790005062943,0.0003034496822694503,143
