horizon,gate_rows,gate_pct,actual_top5_threshold,actual_top5_rows,gate_and_actual_top5
osi_target_t24h,571,1.9909344490934449,0.0154,1430,384
osi_target_t48h,412,1.795676429567643,0.0099,1146,247
