candidate,horizon,rmse,mae,n,prediction_mean,prediction_max,zero_pct
L0,osi_target_t01h,0.011279784035266497,0.0033373913910967556,34177,0.005574410794966129,0.5073716928806861,51.03724727155689
L1,osi_target_t01h,0.011279784035266497,0.0033373913910967556,34177,0.005574410794966129,0.5073716928806861,51.03724727155689
L2,osi_target_t01h,0.011279784035266497,0.0033373913910967556,34177,0.005574410794966129,0.5073716928806861,51.03724727155689
L0,osi_target_t06h,0.0103282666639301,0.003209718940664248,32982,0.004738401647189208,0.3007440476053796,51.691831908313624
L1,osi_target_t06h,0.0103282666639301,0.003209718940664248,32982,0.004738401647189208,0.3007440476053796,51.691831908313624
L2,osi_target_t06h,0.0103282666639301,0.003209718940664248,32982,0.004738401647189208,0.3007440476053796,51.691831908313624
L0,osi_target_t24h,0.008710411518259539,0.002956278833563109,28680,0.0030416293450556374,0.11908970514629896,55.77057182705718
L1,osi_target_t24h,0.00872040904609804,0.002747740361959196,28680,0.002832549387026143,0.11093054851037691,60.65899581589959
L2,osi_target_t24h,0.008609503545453312,0.0027417302070555025,28680,0.0028690339921064326,0.11908970514629896,60.65899581589959
L0,osi_target_t48h,0.007895792270846023,0.002249936035520659,22944,0.0019107064553783905,0.054155665472037484,63.214783821478385
L1,osi_target_t48h,0.007907796537290282,0.002142405197117442,22944,0.001741895276285959,0.04672578105023737,67.98727336122734
L2,osi_target_t48h,0.007847608155583162,0.002142108390019861,22944,0.00178034951414228,0.054155665472037484,67.98727336122734
