horizon,candidate,reference,delta_rmse,delta_mae,rmse_change_pct
osi_target_t24h,L1,L0,9.99752783850151e-06,-0.0002085384716039129,0.11477675673008392
osi_target_t24h,L2,L0,-0.00010090797280622697,-0.00021454862650760638,-1.1584753785133461
osi_target_t24h,L2,L1,-0.00011090550064472848,-6.010154903693474e-06,-1.2717924131592562
osi_target_t48h,L1,L0,1.2004266444258505e-05,-0.00010753083840321686,0.1520337165984209
osi_target_t48h,L2,L0,-4.818411526286148e-05,-0.00010782764550079822,-0.6102505437076133
osi_target_t48h,L2,L1,-6.018838170711999e-05,-2.968070975813662e-07,-0.7611270905023115
