domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,C0_direct_osi,osi_target_t01h,F2_minus_F0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t01h,F2_minus_F0,34177,0.011312143773707869,0.0033507031924437506,4.373446023365277,-0.00015939952652730026,0.011074730688339226,0.0032574180214055004,4.191797423642255,-0.00012194784490082853,-0.00023741308536864326,-2.098745296364146,0.18164859972302239,17473
OSI,C2_equal_blend,osi_target_t01h,F2_minus_F0,34177,0.011792615211062889,0.0034547769166965447,4.752850941462889,-0.00016297941577318446,0.011645617365623393,0.003400874152969634,4.6350985415786035,-0.00014326268845341332,-0.0001469978454394956,-1.246524564810647,0.1177523998842851,17089
OSI,C3_aligned_component,osi_target_t01h,F2_minus_F0,34177,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,0.011279784035266497,0.0033373913910967556,4.348460282431759,-0.00017010159640818727,-0.00012586492459042316,-1.103531460887619,0.09758559880534001,16887
OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,0.011279784035266497,0.0033373913910967556,4.348460282431759,-0.00017010159640818727,-0.00012586492459042316,-1.103531460887619,0.09758559880534001,16887
P,raw,osi_target_t01h,F2_minus_F0,34177,0.018309515327014785,0.005326920307427146,11.457441139563741,-1.2689065306031394e-05,0.017889389477486715,0.005139015268137882,10.93767405511549,6.756106152203811e-05,-0.0004201258495280698,-2.2945765741171464,0.5197670844482509,32735
P,aligned,osi_target_t01h,F2_minus_F0,34177,0.017881301819799876,0.005254049854223768,10.927786611200894,-6.355295312570993e-05,0.017651727543472863,0.005157627371948589,10.648988776038562,-1.726524079149292e-05,-0.0002295742763270131,-1.2838789851016719,0.27879783516233125,32735
OSI,C0_direct_osi,osi_target_t06h,F2_minus_F0,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t06h,F2_minus_F0,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0
OSI,C2_equal_blend,osi_target_t06h,F2_minus_F0,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0
