case,population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
F0,all,a,26598,34177,186,0.33009246447664825,0.3300838708219729,0.008994603951967472,0.008994578661854982,582,3
F0,all,b,34177,34177,239,0.016275674915713443,0.016257543761037614,0.015199698900215487,0.015181798536727822,12238,0
F0,fold0,a,5720,6864,40,0.30749743313429484,0.30749721984326334,0.008257134350736038,0.008257132899359901,4,0
F0,fold0,b,6864,6864,48,0.01481122063090347,0.014763721102881773,0.014506163782191214,0.01445889514322959,2760,0
F0,fold1,a,4719,6864,33,0.32161063158052117,0.3216103768774417,0.009224011890985751,0.009224002587558008,10,0
F0,fold1,b,6864,6864,48,0.00762198019311404,0.007580311617711613,0.007511467178818653,0.007472208347562637,3076,0
F0,fold2,a,5291,6864,37,0.3395901427710248,0.33958836590986136,0.009500247645304256,0.009500247333848643,41,0
F0,fold2,b,6864,6864,48,0.009304344730103864,0.00926317778506066,0.009102635213506153,0.009067799892233316,2682,0
F0,fold3,a,5434,6721,38,0.3127276391524577,0.3127008058577852,0.007236199861551407,0.007236157930781618,294,3
F0,fold3,b,6721,6721,47,0.024706944382526786,0.02470507145777017,0.021381671436401288,0.021379848290627924,2160,0
F0,fold4,a,5434,6864,38,0.3659171398194246,0.3659041151350819,0.010394226985430811,0.010394156294339067,233,0
F0,fold4,b,6864,6864,48,0.018900154919506095,0.01889899625626872,0.018787783794571317,0.01878668785137462,1560,0
F2,all,a,26598,34177,186,0.3276379705759604,0.3275634104087345,0.008740891648685354,0.008740134484760888,1159,5
F2,all,b,34177,34177,239,0.016082134002602503,0.016063596409137907,0.01500136240227588,0.01498334062996338,13026,0
F2,fold0,a,5720,6864,40,0.3013484270868386,0.301314470377529,0.007921502162132648,0.007917807476136273,78,2
F2,fold0,b,6864,6864,48,0.014484164409500398,0.014440098745407389,0.014178451300807405,0.01413486836798546,2397,0
F2,fold1,a,4719,6864,33,0.3196014938500892,0.31949669846629625,0.008729956968337817,0.008729809858947992,117,0
F2,fold1,b,6864,6864,48,0.007299497801955048,0.00724899951416775,0.00721659443369288,0.007169912991277432,3049,0
F2,fold2,a,5291,6864,37,0.33217220595487706,0.33212484377883544,0.009402700695766713,0.009402536943186917,258,0
F2,fold2,b,6864,6864,48,0.009102962427340721,0.009066056076491396,0.008921780137970368,0.008892401559873914,2724,0
F2,fold3,a,5434,6721,38,0.3192254572371,0.3190296543700762,0.007596313932970748,0.007596267423331612,503,3
F2,fold3,b,6721,6721,47,0.024697058466298185,0.024694082039707493,0.02136645446356832,0.02136348224103209,2178,0
F2,fold4,a,5434,6864,38,0.3630407203099812,0.36303547717390966,0.009825948120022803,0.009825895035752239,203,0
F2,fold4,b,6864,6864,48,0.01856372303858654,0.018559861124871496,0.018460653014958302,0.01845693238030893,2678,0
