horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
osi_target_t01h,C0_direct_osi,all_counties,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t01h,C1_component_osi,all_counties,34177,0.01137237591678052,0.003470228922729608,4.42014333106405,-5.003712572044189e-05,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,-2.0451610166945938e-05,-0.1798358611833084,0.01588371049222559,51,239,2000,20260910,-6.954567807428772e-05,2.0042950054019435e-07,0.6895,0.0
osi_target_t01h,C1_component_osi,exclude_Morrow_diagnostic_only,34034,0.011019424472303042,0.0034101173361496596,4.132670876160727,2.525775456427526e-07,0.011019495964075967,0.0034104261225457516,4.13272450018202,1.5299948983057603e-06,7.149177292525843e-08,0.0006487795538134833,-5.3624021292719704e-05,49,238,2000,20260910,-5.368296564960476e-08,2.562510012636079e-07,0.1555,0.0
osi_target_t01h,C2_equal_blend,all_counties,34177,0.011365068409012994,0.0034526022115630274,4.414464684062189,-6.962227722061306e-05,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,-1.0806854811251654e-05,-0.09508833930714777,0.008391290847484356,45,239,2000,20260910,-3.639053957675588e-05,3.016964807370931e-08,0.86,0.0
osi_target_t01h,C3_aligned_component,all_counties,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51,239,2000,20260910,-6.863493435218222e-05,1.9930076906363674e-07,0.6895,0.0
osi_target_t01h,v18_rule,all_counties,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51,239,2000,20260910,-6.863493435218222e-05,1.9930076906363674e-07,0.6895,0.0
osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011072698786800929,0.0033992627070996016,4.172726944775963,-2.0371077986646358e-05,0.01107276993460616,0.003399571493495693,4.172780568797256,-1.9093660633983375e-05,7.114780523065356e-08,0.0006425516181796098,-5.3624021292719704e-05,49,238,2000,20260910,-5.323841375235762e-08,2.5385480875729996e-07,0.1555,0.0
osi_target_t06h,C0_direct_osi,all_counties,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,C1_component_osi,all_counties,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,C2_equal_blend,all_counties,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
