model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C0_direct_osi,first_four_target_hours,956,0.03022888984155932,0.009410172493059704,0.8735792066867907,-0.00047979201728371633,0.03022888984155932,0.009410172493059704,0.8735792066867907,-0.00047979201728371633,0.0,0.0,0.0,0
C0_direct_osi,remaining_scoreable_hours,33221,0.010377823084731784,0.003317403322974414,3.5778755211208693,-5.748298268474809e-05,0.010377823084731784,0.003317403322974414,3.5778755211208693,-5.748298268474809e-05,0.0,0.0,0.0,0
C1_component_osi,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,-0.00027688522944186583,-0.9186205327869068,0.015883710492225478,51
C1_component_osi,remaining_scoreable_hours,33221,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.0,0.0,0.0,0
C1_component_osi,changed_final_predictions,51,0.04747449943760387,0.011406557161682526,0.11494523293940358,-0.010124901682584033,0.04407247205548971,0.01091342325376667,0.099061522447178,-0.008573241139665639,-0.0034020273821141617,-7.166010010459356,0.015883710492225575,51
C2_equal_blend,first_four_target_hours,956,0.03014433740147443,0.009298085322674787,0.8686991099694772,-0.0006379285255299065,0.02999839289841108,0.009280359933965423,0.8603078191219931,-0.0005961717324576853,-0.00014594450306334994,-0.4841523007110826,0.008391290847484134,45
C2_equal_blend,remaining_scoreable_hours,33221,0.010331149804084063,0.0032843868702360705,3.5457655740927114,-5.3268140578619064e-05,0.010331149804084063,0.0032843868702360705,3.5457655740927114,-5.3268140578619064e-05,0.0,0.0,0.0,0
C2_equal_blend,changed_final_predictions,45,0.05123343174975946,0.013034292901869502,0.11811890379857672,-0.011653989872379094,0.04938007086784268,0.012657726866177218,0.10972761295109242,-0.010766890001778133,-0.001853360881916781,-3.6174833865691314,0.0083912908474843,45
C3_aligned_component,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,-0.00027688522944186583,-0.9186205327869068,0.015883710492225478,51
C3_aligned_component,remaining_scoreable_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.0,0.0,0.0,0
C3_aligned_component,changed_final_predictions,51,0.04747449943760387,0.011406557161682526,0.11494523293940358,-0.010124901682584033,0.04407247205548971,0.01091342325376667,0.099061522447178,-0.008573241139665639,-0.0034020273821141617,-7.166010010459356,0.015883710492225575,51
v18_rule,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,-0.00027688522944186583,-0.9186205327869068,0.015883710492225478,51
v18_rule,remaining_scoreable_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.0,0.0,0.0,0
v18_rule,changed_final_predictions,51,0.04747449943760387,0.011406557161682526,0.11494523293940358,-0.010124901682584033,0.04407247205548971,0.01091342325376667,0.099061522447178,-0.008573241139665639,-0.0034020273821141617,-7.166010010459356,0.015883710492225575,51
